player_id,player_name,position,PP_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P1a_weighted,rank
8477934,Leon Draisaitl,C,915.88,965,63.2177,59.7621,60.0,665,43.5645,41.772,45.2327,1630,106.7822,59.8589,60.0,9.6604,13
8476474,Stefan Noesen,R,356.43,320,53.867,51.7906,55.5635,299,50.332,47.8917,52.4593,619,104.199,59.6299,60.0,9.5325,14
8475692,Mats Zuccarello,R,695.02,623,53.7829,52.2915,55.0154,583,50.3297,48.5798,51.8586,1206,104.1126,59.8095,60.0,9.4717,15
8478864,Kirill Kaprizov,L,699.02,620,53.2176,51.6818,54.5022,605,51.9301,50.2934,53.3296,1225,105.1477,59.8124,60.0,9.4454,16
8481557,Matt Boldy,L,696.53,639,55.044,53.6355,56.1047,554,47.7221,45.7967,49.3896,1193,102.7661,59.8074,60.0,9.4252,17
8470794,Joe Pavelski,C,429.25,355,49.6214,47.3333,51.6186,332,46.4065,43.9187,48.6567,687,96.028,59.6664,60.0,9.3705,18
8478420,Mikko Rantanen,R,858.9,686,47.9218,46.2288,49.444,814,56.8634,55.8373,57.6372,1500,104.7852,59.8467,60.0,9.2829,19
8480208,Drake Batherson,R,662.58,554,50.1673,48.3279,51.7116,556,50.3484,48.5202,51.8792,1110,100.5157,59.7931,60.0,9.182,20
8477409,Carter Verhaeghe,C,627.07,555,53.1044,51.4699,54.4687,486,46.5022,44.4492,48.3641,1041,99.6066,59.7794,60.0,9.0912,21
8477933,Sam Reinhart,C,917.12,821,53.7118,52.4291,54.8103,660,43.1788,41.3879,44.8707,1481,96.8906,59.8448,60.0,9.0603,22
8483808,Andrei Kuzmenko,L,392.8,295,45.0611,42.3344,47.4508,337,51.4766,49.1688,53.3167,632,96.5377,59.6375,60.0,9.0515,23
8471887,Patric Hornqvist,R,109.97,82,44.7408,39.4034,49.0572,95,51.8339,47.2285,54.9354,177,96.5747,58.7254,60.0,9.0037,24
8476453,Nikita Kucherov,R,793.8,595,44.9735,43.0844,46.6959,773,58.4278,57.5943,58.9582,1368,103.4014,59.832,60.0,8.9772,25
8477493,Aleksander Barkov,C,746.87,663,53.2625,51.773,54.4951,535,42.9796,40.9695,44.8416,1198,96.2421,59.8082,60.0,8.9766,26
8477956,David Pastrnak,R,789.83,628,47.7063,45.9232,49.2979,673,51.1247,49.5257,52.4978,1301,98.831,59.8234,60.0,8.8468,27
8474564,Steven Stamkos,C,791.52,577,43.7388,41.7909,45.501,845,64.0542,59.7285,60.0,1422,107.7931,59.8383,60.0,8.839,28
8480801,Brady Tkachuk,L,769.75,631,49.1848,47.4449,50.7024,599,46.6905,44.8335,48.3516,1230,95.8753,59.8132,60.0,8.8369,29
8481604,Pavel Dorofeyev,L,272.5,205,45.1376,41.9504,48.0668,238,52.4037,49.824,54.5492,443,97.5413,59.4842,60.0,8.7809,30
8477404,Jake Guentzel,C,775.88,626,48.4093,46.646,49.9768,551,42.6095,40.6292,44.4528,1177,91.0188,59.8048,60.0,8.7358,31
8471698,T.J. Oshie,R,267.72,189,42.3582,38.8827,45.3961,256,57.3741,55.4027,58.4522,445,99.7323,59.4865,60.0,8.7323,32
8480830,Andrei Svechnikov,R,579.18,431,44.6491,42.4395,46.6936,541,56.0444,54.672,57.1088,972,100.6935,59.7638,60.0,8.7047,33
8478445,Mathew Barzal,C,501.8,370,44.2407,41.8107,46.4195,427,51.0562,49.0053,52.7469,797,95.2969,59.7122,60.0,8.6956,34
8473563,Nicklas Backstrom,C,158.68,106,40.0798,35.4134,44.1148,162,61.2541,58.6101,60.0,268,101.3339,59.1521,60.0,8.6744,35
8480014,Gabriel Vilardi,C,428.9,343,47.9832,45.5439,50.0811,346,48.4029,45.9896,50.4672,689,96.3861,59.6673,60.0,8.6362,36
8482702,Logan Stankoven,C,192.03,159,49.6789,46.1075,52.4951,138,43.1175,39.0805,46.6545,297,92.7964,59.2338,60.0,8.6263,37
8478483,Mitch Marner,R,894.95,676,45.321,43.5654,46.9405,689,46.1925,44.4682,47.7733,1365,91.5135,59.8316,60.0,8.6142,38
8470621,Corey Perry,R,397.38,321,48.4671,46.0187,50.6542,285,43.0315,40.3014,45.5941,606,91.4986,59.622,60.0,8.4983,39
8477492,Nathan MacKinnon,C,898.65,686,45.802,44.0515,47.3826,782,52.2117,50.7767,53.4171,1468,98.0137,59.8434,60.0,8.4544,40
8479337,Alex DeBrincat,R,762.98,635,49.9356,48.2447,51.4245,591,46.4755,44.6154,48.1684,1226,96.411,59.8126,60.0,8.4257,41
8478010,Brayden Point,C,757.18,524,41.5223,39.5054,43.4429,710,56.2611,55.1048,57.1794,1234,97.7835,59.8138,60.0,8.4199,42
