player_id,position,toi_total_sec,toi_ES_sec,toi_PP_sec,toi_PK_sec,toi_total_min
8476310,F,22024.0,17909.0,2731.0,1384.0,367.07
8476312,D,287747.0,253348.0,22844.0,11555.0,4795.78
8476316,G,198148.0,170687.0,17209.0,10252.0,3302.47
8476323,F,5198.0,4787.0,406.0,5.0,86.63
8476326,F,41327.0,33544.0,4492.0,3291.0,688.78
8476329,F,164262.0,137129.0,18565.0,8568.0,2737.7
8476331,D,445247.0,391416.0,36922.0,16909.0,7420.78
8476341,G,497886.0,416615.0,54257.0,27014.0,8298.1
8476343,G,5833.0,3986.0,1074.0,773.0,97.22
8476345,F,17922.0,16441.0,1116.0,365.0,298.7
8476346,F,273188.0,233648.0,26205.0,13335.0,4553.13
8476368,D,5327.0,4942.0,238.0,147.0,88.78
8476372,D,301984.0,266011.0,22696.0,13277.0,5033.07
8476374,F,280571.0,240571.0,25609.0,14391.0,4676.18
8476389,F,437874.0,353530.0,55560.0,28784.0,7297.9
8476390,F,2286.0,2125.0,99.0,62.0,38.1
8476391,F,5112.0,4369.0,486.0,257.0,85.2
8476392,F,332884.0,277497.0,37410.0,17977.0,5548.07
8476393,F,224616.0,202812.0,15227.0,6577.0,3743.6
8476396,F,2486.0,2220.0,131.0,135.0,41.43
8476399,F,359322.0,304419.0,34154.0,20749.0,5988.7
8476400,F,9621.0,8128.0,1045.0,448.0,160.35
8476404,F,4922.0,4582.0,159.0,181.0,82.03
8476410,F,40263.0,37126.0,2175.0,962.0,671.05
8476412,G,797394.0,682548.0,73952.0,40894.0,13289.9
8476415,F,2645.0,2395.0,101.0,149.0,44.08
8476419,F,354630.0,289857.0,40738.0,24035.0,5910.5
8476422,D,191459.0,168613.0,14512.0,8334.0,3190.98
8476425,F,3278.0,3278.0,0.0,0.0,54.63
8476428,F,4590.0,3797.0,405.0,388.0,76.5
8476429,D,332056.0,293362.0,24214.0,14480.0,5534.27
8476432,F,288933.0,239720.0,31748.0,17465.0,4815.55
8476433,G,66092.0,56172.0,5840.0,4080.0,1101.53
8476434,G,738062.0,624946.0,76471.0,36645.0,12301.03
8476436,F,10645.0,9328.0,950.0,367.0,177.42
8476437,F,34391.0,30956.0,2207.0,1228.0,573.18
8476438,F,305223.0,258322.0,29878.0,17023.0,5087.05
8476439,F,54872.0,50965.0,2860.0,1047.0,914.53
8476441,D,298827.0,259102.0,26330.0,13395.0,4980.45
8476442,F,163910.0,139131.0,16038.0,8741.0,2731.83
8476448,F,285507.0,234609.0,33581.0,17317.0,4758.45
8476449,D,50342.0,46318.0,2701.0,1323.0,839.03
8476453,F,412041.0,341029.0,47628.0,23384.0,6867.35
8476454,F,403103.0,323682.0,53130.0,26291.0,6718.38
8476455,F,99258.0,82953.0,11371.0,4934.0,1654.3
8476456,F,372605.0,305265.0,42816.0,24524.0,6210.08
8476457,D,499520.0,434159.0,43394.0,21967.0,8325.33
8476458,F,346653.0,294985.0,34748.0,16920.0,5777.55
8476459,F,436008.0,345548.0,59305.0,31155.0,7266.8
8476460,F,433332.0,370225.0,42570.0,20537.0,7222.2
8476461,F,238450.0,200111.0,22579.0,15760.0,3974.17
8476462,D,346427.0,298382.0,30979.0,17066.0,5773.78
8476463,D,377939.0,322125.0,37320.0,18494.0,6298.98
8476466,F,834.0,812.0,8.0,14.0,13.9
8476467,D,403483.0,350636.0,34672.0,18175.0,6724.72
8476468,F,414908.0,328031.0,56651.0,30226.0,6915.13
8476469,F,250910.0,204465.0,29412.0,17033.0,4181.83
