player_id,player_name,reb_attempts,league_denom,es_toi_min,P1b,P1b_lo,P1b_hi,P1b_pct,P1b_lo_pct,P1b_hi_pct,P1b_rank,P1b_per60,P1b_per60_lo95,P1b_per60_hi95,P1b_per60_rank,rank_delta_pct_vs_per60,toi_flag
8481641,Joel Kiviranta,31,16187,2887.383333333333,0.001915,0.00135,0.002717,0.1915,0.135,0.2717,186,0.6442,0.4545,0.9121,85,101,TOI_DEFLATED
8477429,Andrew Copp,50,16187,4677.45,0.003089,0.002344,0.00407,0.3089,0.2344,0.407,51,0.6414,0.4871,0.8439,86,-35,TOI_INFLATED
8476399,Blake Coleman,54,16187,5073.65,0.003336,0.002558,0.00435,0.3336,0.2558,0.435,29,0.6386,0.49,0.8316,87,-58,TOI_INFLATED
8478115,Pierre Engvall,36,16187,3395.8,0.002224,0.001607,0.003077,0.2224,0.1607,0.3077,140,0.6361,0.46,0.8784,88,52,TOI_DEFLATED
8482079,Marco Rossi,33,16187,3128.2166666666667,0.002039,0.001452,0.002862,0.2039,0.1452,0.2862,163,0.6329,0.4513,0.8867,89,74,TOI_DEFLATED
8473533,Jordan Staal,51,16187,4845.65,0.003151,0.002397,0.00414,0.3151,0.2397,0.414,43,0.6315,0.4808,0.8286,90,-47,TOI_INFLATED
8482093,Seth Jarvis,50,16187,4795.283333333334,0.003089,0.002344,0.00407,0.3089,0.2344,0.407,51,0.6256,0.4751,0.8232,91,-40,TOI_INFLATED
8475913,Mark Stone,39,16187,3779.983333333333,0.002409,0.001763,0.003292,0.2409,0.1763,0.3292,113,0.6191,0.4534,0.8444,92,21,TOI_DEFLATED
8476624,Barclay Goodrow,44,16187,4269.916666666667,0.002718,0.002026,0.003647,0.2718,0.2026,0.3647,83,0.6183,0.4611,0.8282,93,-10,
8480220,Noah Cates,38,16187,3714.0666666666666,0.002348,0.001711,0.00322,0.2348,0.1711,0.322,119,0.6139,0.4478,0.8407,94,25,TOI_DEFLATED
8478873,Troy Terry,53,16187,5185.416666666667,0.003274,0.002504,0.00428,0.3274,0.2504,0.428,31,0.6133,0.4694,0.8007,95,-64,TOI_INFLATED
8482110,Dawson Mercer,55,16187,5399.6,0.003398,0.002612,0.00442,0.3398,0.2612,0.442,26,0.6112,0.47,0.794,96,-70,TOI_INFLATED
8470794,Joe Pavelski,37,16187,3634.516666666667,0.002286,0.001659,0.003149,0.2286,0.1659,0.3149,130,0.6108,0.4436,0.8399,97,33,TOI_DEFLATED
8478463,Anthony Beauvillier,46,16187,4521.366666666667,0.002842,0.002131,0.003788,0.2842,0.2131,0.3788,66,0.6104,0.4582,0.8126,98,-32,TOI_INFLATED
8470621,Corey Perry,37,16187,3650.4,0.002286,0.001659,0.003149,0.2286,0.1659,0.3149,130,0.6082,0.4418,0.8364,99,31,TOI_DEFLATED
8478519,Anthony Cirelli,50,16187,4938.233333333334,0.003089,0.002344,0.00407,0.3089,0.2344,0.407,51,0.6075,0.4614,0.7994,100,-49,TOI_INFLATED
8480830,Andrei Svechnikov,46,16187,4550.566666666667,0.002842,0.002131,0.003788,0.2842,0.2131,0.3788,66,0.6065,0.4552,0.8073,101,-35,TOI_INFLATED
8478366,Frank Vatrano,46,16187,4564.9,0.002842,0.002131,0.003788,0.2842,0.2131,0.3788,66,0.6046,0.4538,0.8048,102,-36,TOI_INFLATED
8473994,Jamie Benn,46,16187,4597.166666666667,0.002842,0.002131,0.003788,0.2842,0.2131,0.3788,66,0.6004,0.4506,0.7992,103,-37,TOI_INFLATED
8478474,Lawson Crouse,46,16187,4611.083333333333,0.002842,0.002131,0.003788,0.2842,0.2131,0.3788,66,0.5986,0.4493,0.7968,104,-38,TOI_INFLATED
8475193,Tomas Tatar,35,16187,3510.6,0.002162,0.001555,0.003006,0.2162,0.1555,0.3006,153,0.5982,0.4306,0.8299,105,48,TOI_DEFLATED
8474149,Evgenii Dadonov,36,16187,3630.35,0.002224,0.001607,0.003077,0.2224,0.1607,0.3077,140,0.595,0.4303,0.8219,106,34,TOI_DEFLATED
8476461,Sean Couturier,33,16187,3335.1833333333334,0.002039,0.001452,0.002862,0.2039,0.1452,0.2862,163,0.5937,0.4233,0.8318,107,56,TOI_DEFLATED
8481481,Blake Lizotte,31,16187,3144.3166666666666,0.001915,0.00135,0.002717,0.1915,0.135,0.2717,186,0.5915,0.4173,0.8377,108,78,TOI_DEFLATED
8477409,Carter Verhaeghe,52,16187,5289.5,0.003212,0.002451,0.00421,0.3212,0.2451,0.421,37,0.5898,0.4503,0.772,109,-72,TOI_INFLATED
8475745,Charlie Coyle,51,16187,5213.95,0.003151,0.002397,0.00414,0.3151,0.2397,0.414,43,0.5869,0.4469,0.7702,110,-67,TOI_INFLATED
8478020,Michael Amadio,38,16187,3884.5,0.002348,0.001711,0.00322,0.2348,0.1711,0.322,119,0.5869,0.4282,0.804,110,9,
8476432,Boone Jenner,39,16187,3995.3333333333335,0.002409,0.001763,0.003292,0.2409,0.1763,0.3292,113,0.5857,0.429,0.799,112,1,
8475158,Ryan O'Reilly,51,16187,5261.2,0.003151,0.002397,0.00414,0.3151,0.2397,0.414,43,0.5816,0.4429,0.7633,113,-70,TOI_INFLATED
8473419,Brad Marchand,46,16187,4753.533333333334,0.002842,0.002131,0.003788,0.2842,0.2131,0.3788,66,0.5806,0.4357,0.7729,114,-48,TOI_INFLATED
8471215,Evgeni Malkin,43,16187,4481.833333333333,0.002656,0.001973,0.003576,0.2656,0.1973,0.3576,89,0.5757,0.4278,0.7738,115,-26,TOI_INFLATED
8477903,Garnet Hathaway,35,16187,3661.1666666666665,0.002162,0.001555,0.003006,0.2162,0.1555,0.3006,153,0.5736,0.4129,0.796,116,37,TOI_DEFLATED
8475184,Chris Kreider,48,16187,5049.3,0.002965,0.002237,0.003929,0.2965,0.2237,0.3929,56,0.5704,0.4307,0.7549,117,-61,TOI_INFLATED
8477989,Christian Dvorak,35,16187,3697.8333333333335,0.002162,0.001555,0.003006,0.2162,0.1555,0.3006,153,0.5679,0.4088,0.788,118,35,TOI_DEFLATED
8477933,Sam Reinhart,52,16187,5525.766666666666,0.003212,0.002451,0.00421,0.3212,0.2451,0.421,37,0.5646,0.431,0.7391,119,-82,TOI_INFLATED
8478493,Joel Eriksson Ek,45,16187,4789.733333333334,0.00278,0.002078,0.003718,0.278,0.2078,0.3718,78,0.5637,0.4217,0.7528,120,-42,TOI_INFLATED
8475760,Nick Bjugstad,35,16187,3737.133333333333,0.002162,0.001555,0.003006,0.2162,0.1555,0.3006,153,0.5619,0.4045,0.7798,121,32,TOI_DEFLATED
8476889,Radek Faksa,36,16187,3854.2,0.002224,0.001607,0.003077,0.2224,0.1607,0.3077,140,0.5604,0.4053,0.7743,122,18,
8479390,Taylor Raddysh,38,16187,4071.45,0.002348,0.001711,0.00322,0.2348,0.1711,0.322,119,0.56,0.4085,0.7671,123,-4,
8474150,Mikael Backlund,51,16187,5475.016666666666,0.003151,0.002397,0.00414,0.3151,0.2397,0.414,43,0.5589,0.4255,0.7336,124,-81,TOI_INFLATED
8481711,Matias Maccelli,32,16187,3438.3,0.001977,0.001401,0.002789,0.1977,0.1401,0.2789,176,0.5584,0.3961,0.7866,125,51,TOI_DEFLATED
8476292,Ondrej Palat,38,16187,4118.95,0.002348,0.001711,0.00322,0.2348,0.1711,0.322,119,0.5535,0.4037,0.7582,126,-7,
8482109,Alexis Lafrenière,48,16187,5219.733333333334,0.002965,0.002237,0.003929,0.2965,0.2237,0.3929,56,0.5518,0.4166,0.7302,127,-71,TOI_INFLATED
8476393,Nick Cousins,31,16187,3380.2,0.001915,0.00135,0.002717,0.1915,0.135,0.2717,186,0.5503,0.3881,0.7793,128,58,TOI_DEFLATED
8477987,Ryan Donato,39,16187,4264.766666666666,0.002409,0.001763,0.003292,0.2409,0.1763,0.3292,113,0.5487,0.4018,0.7485,129,-16,
8478440,Dylan Strome,48,16187,5257.4,0.002965,0.002237,0.003929,0.2965,0.2237,0.3929,56,0.5478,0.4136,0.7251,130,-74,TOI_INFLATED
8476419,Jean-Gabriel Pageau,44,16187,4830.95,0.002718,0.002026,0.003647,0.2718,0.2026,0.3647,83,0.5465,0.4075,0.7322,131,-48,TOI_INFLATED
8476454,Ryan Nugent-Hopkins,49,16187,5394.7,0.003027,0.002291,0.003999,0.3027,0.2291,0.3999,55,0.545,0.4126,0.7192,132,-77,TOI_INFLATED
8480188,Fabian Zetterlund,36,16187,3984.4,0.002224,0.001607,0.003077,0.2224,0.1607,0.3077,140,0.5421,0.3921,0.749,133,7,
8480185,Eetu Luostarinen,42,16187,4671.783333333334,0.002595,0.00192,0.003505,0.2595,0.192,0.3505,98,0.5394,0.3995,0.7277,134,-36,TOI_INFLATED
8471675,Sidney Crosby,52,16187,5852.383333333333,0.003212,0.002451,0.00421,0.3212,0.2451,0.421,37,0.5331,0.407,0.698,135,-98,TOI_INFLATED
8476826,Yanni Gourde,43,16187,4848.166666666667,0.002656,0.001973,0.003576,0.2656,0.1973,0.3576,89,0.5322,0.3955,0.7155,136,-47,TOI_INFLATED
8474641,Adam Henrique,37,16187,4219.2,0.002286,0.001659,0.003149,0.2286,0.1659,0.3149,130,0.5262,0.3822,0.7238,137,-7,
8478975,Mason Marchment,36,16187,4106.85,0.002224,0.001607,0.003077,0.2224,0.1607,0.3077,140,0.526,0.3803,0.7266,138,2,
8480113,Alex Iafallo,39,16187,4499.583333333333,0.002409,0.001763,0.003292,0.2409,0.1763,0.3292,113,0.52,0.3808,0.7095,139,-26,TOI_INFLATED
