season,team,state,zone,for_att,for_gl,ag_att,ag_gl
20232024,BUF,ES,MNFI,416,48,407,40
20232024,BUF,ES,FNFI,312,16,252,10
20232024,BUF,ES,Wide,1779,44,1710,35
20232024,BUF,ES,lane_other,915,9,955,8
20232024,BUF,ES,unk,0,0,0,0
20232024,BUF,PP,CNFI,71,8,145,20
20232024,BUF,PP,MNFI,53,5,85,8
20232024,BUF,PP,FNFI,77,3,74,5
20232024,BUF,PP,Wide,239,17,213,14
20232024,BUF,PP,lane_other,29,2,41,2
20232024,BUF,PP,unk,0,0,0,0
20232024,BUF,PK,CNFI,12,1,15,5
20232024,BUF,PK,MNFI,20,4,18,1
20232024,BUF,PK,FNFI,6,0,1,1
20232024,BUF,PK,Wide,57,0,60,2
20232024,BUF,PK,lane_other,156,1,136,0
20232024,BUF,PK,unk,0,0,0,0
20252026,MIN,ES,CNFI,394,53,313,41
20252026,MIN,ES,MNFI,234,19,231,21
20252026,MIN,ES,FNFI,184,3,193,9
20252026,MIN,ES,Wide,1036,30,1027,16
20252026,MIN,ES,lane_other,654,7,538,6
20252026,MIN,ES,unk,0,0,0,0
20252026,MIN,PP,CNFI,91,16,72,11
20252026,MIN,PP,MNFI,54,4,50,5
20252026,MIN,PP,FNFI,39,3,54,5
20252026,MIN,PP,Wide,128,11,122,8
20252026,MIN,PP,lane_other,31,3,11,0
20252026,MIN,PP,unk,0,0,0,0
20252026,MIN,PK,CNFI,3,0,6,0
20252026,MIN,PK,MNFI,5,3,9,0
20252026,MIN,PK,FNFI,1,0,3,1
20252026,MIN,PK,Wide,31,0,26,1
20252026,MIN,PK,lane_other,94,0,95,0
20252026,MIN,PK,unk,0,0,0,0
20232024,CBJ,ES,CNFI,492,77,639,78
20232024,CBJ,ES,MNFI,372,37,432,55
20232024,CBJ,ES,FNFI,279,7,320,11
20232024,CBJ,ES,Wide,1870,43,1959,44
20232024,CBJ,ES,lane_other,1124,15,1007,12
20232024,CBJ,ES,unk,0,0,0,0
20232024,CBJ,PP,CNFI,103,14,126,22
20232024,CBJ,PP,MNFI,63,5,65,4
20232024,CBJ,PP,FNFI,70,3,81,3
20232024,CBJ,PP,Wide,219,8,278,23
20232024,CBJ,PP,lane_other,26,2,32,2
20232024,CBJ,PP,unk,0,0,0,0
20232024,CBJ,PK,CNFI,12,2,11,1
20232024,CBJ,PK,MNFI,5,0,11,2
20232024,CBJ,PK,FNFI,6,0,6,1
20232024,CBJ,PK,Wide,56,2,66,2
20232024,CBJ,PK,lane_other,191,0,185,0
20232024,CBJ,PK,unk,0,0,0,0
20232024,MTL,ES,CNFI,536,74,602,73
20232024,MTL,ES,MNFI,357,42,439,46
20232024,MTL,ES,FNFI,271,13,370,6
20232024,MTL,ES,Wide,1660,29,1714,28
20232024,MTL,ES,lane_other,1077,8,942,18
20232024,MTL,ES,unk,0,0,0,0
20232024,MTL,PP,CNFI,105,17,208,30
20232024,MTL,PP,MNFI,75,6,67,5
