season,team,conference,gp,points,points_pct,wins,goal_diff,goal_diff_per_game,TNFI_pct,NFI_composite,F_top6_twoway,F_band,D_top4_twoway,D_band,starter_goalie_name,starter_NFI_GSAx_per60,g_high,archetype_q,arche_g_q,made_playoffs,round1_win,round2_win,cf_win,cup_win,conf_rank,contender_top4_conf
20222023,CGY,W,82,93,0.5671,38,8,0.0975609756097561,0.5516363636363636,4.889569554412226,1.3044363816101892,High,1.389286030103635,High,Jacob Markstrom,-0.0,True,A_HighF_HighD,A_HighF_HighD_Ghi,False,False,False,False,False,9,False
20222023,CHI,W,82,59,0.3598,26,-97,-1.1829268292682926,0.4255573248407643,-27.173881156069104,-1.3248989567352376,Low,-1.1806377070389915,Low,Petr Mrazek,-0.17,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,15,False
20222023,COL,W,81,107,0.6605,50,53,0.654320987654321,0.541969596827495,21.08363119645843,1.2192272537143083,Middle,1.6286744699792912,High,Alexandar Georgiev,0.01,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,4,True
20222023,DAL,W,82,108,0.6585,47,67,0.8170731707317073,0.5162614461635617,18.259484046801735,1.4250431100189835,High,1.067069486927348,High,Jake Oettinger,0.03,True,A_HighF_HighD,A_HighF_HighD_Ghi,True,True,True,False,False,3,True
20222023,DET,E,82,80,0.4878,35,-39,-0.4756097560975609,0.4692435577722361,-13.547055049906856,-0.5572054533295705,Low,-0.7154105678354596,Low,Ville Husso,0.03,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,12,False
20222023,EDM,W,82,109,0.6646,50,65,0.7926829268292683,0.5397489539748954,14.798376625779689,1.8050868425226376,High,1.4708794893117292,High,Stuart Skinner,-0.11,False,A_HighF_HighD,A_HighF_HighD_Glo,True,True,False,False,False,2,True
20222023,FLA,E,82,92,0.561,42,17,0.2073170731707317,0.522589928057554,23.582198381881703,1.7071898318312284,High,0.7285335325959149,Middle,Sergei Bobrovsky,0.13,True,MIDDLE,MIDDLE_Ghi,True,True,True,True,False,8,False
20222023,LAK,W,82,104,0.6341,47,23,0.2804878048780488,0.5177228786251342,9.297635500012111,1.1958395283991037,Middle,0.939432057573859,Middle,Pheonix Copley,0.08,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,5,False
20222023,MIN,W,82,103,0.628,46,21,0.2560975609756097,0.4956944964432797,4.3919360188636904,1.2474533903483611,Middle,0.969722445689304,Middle,Marc-Andre Fleury,0.06,True,MIDDLE,MIDDLE_Ghi,True,False,False,False,False,6,False
20222023,MTL,E,82,68,0.4146,31,-75,-0.9146341463414634,0.4397217928902627,-23.964655750552247,-1.0517522825666386,Low,-0.8380677025374452,Low,Jake Allen,-0.04,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,15,False
