player_id,player_name,position,PK_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P1a_weighted,rank
8477987,Ryan Donato,C,215.17,3,0.8366,0.2854,2.4129,1,0.2789,0.0493,1.5523,4,1.1154,0.4355,2.8111,0.1514,279
8482078,Lucas Raymond,L,331.15,4,0.7247,0.2825,1.8393,4,0.7247,0.2825,1.8393,8,1.4495,0.7378,2.8176,0.1425,280
8480009,Eeli Tolvanen,R,252.62,1,0.2375,0.0419,1.3228,5,1.1876,0.5082,2.7253,6,1.4251,0.6548,3.0459,0.1404,281
8479337,Alex DeBrincat,R,375.17,4,0.6397,0.2493,1.6261,8,1.2794,0.6509,2.4915,12,1.9191,1.1039,3.3056,0.1393,282
8475768,Jaden Schwartz,C,226.52,2,0.5298,0.1452,1.893,3,0.7946,0.2703,2.2877,5,1.3244,0.5666,3.031,0.1362,283
8480801,Brady Tkachuk,L,384.4,4,0.6243,0.2435,1.5884,3,0.4683,0.1596,1.3629,7,1.0926,0.5315,2.2287,0.1357,284
8476460,Mark Scheifele,C,342.28,4,0.7012,0.2734,1.781,6,1.0518,0.4839,2.2645,10,1.7529,0.9575,3.1788,0.1329,285
8477409,Carter Verhaeghe,C,328.92,2,0.3648,0.1001,1.3135,5,0.9121,0.3905,2.1047,7,1.2769,0.6206,2.5956,0.1316,286
8480829,Jesperi Kotkaniemi,C,244.32,3,0.7367,0.2514,2.1312,3,0.7367,0.2514,2.1312,6,1.4735,0.679,3.1561,0.1288,287
8477952,Robby Fabbri,C,160.27,1,0.3744,0.0662,2.073,3,1.1231,0.3838,3.2203,4,1.4975,0.5858,3.7507,0.1287,288
8476474,Stefan Noesen,R,196.0,2,0.6122,0.1682,2.1862,1,0.3061,0.0541,1.6998,3,0.9184,0.3131,2.6417,0.1268,289
8475168,Matt Duchene,C,348.08,3,0.5171,0.1762,1.5021,4,0.6895,0.2687,1.7506,7,1.2066,0.5866,2.4559,0.1262,290
8477492,Nathan MacKinnon,C,378.1,2,0.3174,0.0871,1.145,6,0.9521,0.4377,2.0516,8,1.2695,0.6457,2.472,0.1221,291
