player_id,player_name,es_toi_min,CNFI_SA,CNFI_SA_per60,CNFI_SA_lo95,CNFI_SA_hi95,CNFI_centrality,MNFI_SA,MNFI_SA_per60,MNFI_SA_lo95,MNFI_SA_hi95,MNFI_centrality,FNFI_SA,FNFI_SA_per60,FNFI_SA_lo95,FNFI_SA_hi95,FNFI_centrality,TNFI_SA,TNFI_SA_per60,TNFI_SA_lo95,TNFI_SA_hi95,P2_weighted,TNFI_rank_raw,P2_weighted_rank,rank_delta,weighting_flag
8477493,Aleksander Barkov,4356.22,642,8.8425,8.23,9.4932,4.226,411,5.6609,5.1615,6.2037,7.136,323,4.4488,4.0043,4.9388,7.628,1376,18.9522,18.1349,19.7909,1.8975,273,305,-32,HIGH_DANGER_MIX
8477353,Tyler Motte,2547.55,363,8.5494,7.7658,9.3945,4.107,248,5.8409,5.1853,6.5672,7.5,194,4.5691,3.988,5.2252,7.546,805,18.9594,17.8903,20.055,1.873,274,277,-3,
8474564,Steven Stamkos,5583.73,722,7.7583,7.2451,8.3012,4.226,618,6.6407,6.1626,7.1503,7.414,425,4.5668,4.1666,5.0016,7.661,1765,18.9658,18.241,19.704,1.8525,275,247,28,LOW_DANGER_MIX
8478109,Victor Olofsson,3601.37,510,8.4968,7.8372,9.2039,3.994,389,6.4809,5.8981,7.1151,7.586,240,3.9985,3.5373,4.5159,7.221,1139,18.9761,18.0789,19.9007,1.9342,276,362,-86,HIGH_DANGER_MIX
8480144,David Kampf,3843.05,532,8.3059,7.6725,8.9829,4.169,421,6.5729,6.0037,7.189,6.919,263,4.1061,3.6526,4.6115,7.681,1216,18.9849,18.1143,19.8781,1.9148,277,330,-53,HIGH_DANGER_MIX
8478420,Mikko Rantanen,6306.27,915,8.7056,8.1974,9.2405,4.24,615,5.8513,5.4268,6.3057,7.158,466,4.4337,4.0618,4.837,7.097,1996,18.9906,18.3095,19.6868,1.8956,278,303,-25,HIGH_DANGER_MIX
8478462,Nicolas Roy,4201.1,613,8.7548,8.1339,9.415,4.111,445,6.3555,5.8187,6.9358,7.178,272,3.8847,3.4617,4.3556,7.32,1330,18.995,18.1619,19.8492,1.9344,279,363,-84,HIGH_DANGER_MIX
8473504,Cal Clutterbuck,2042.95,263,7.7241,6.8942,8.6373,4.293,194,5.6976,4.9797,6.5065,7.268,190,5.5802,4.8695,6.3822,7.542,647,19.0019,17.8128,20.2315,1.7754,280,152,128,LOW_DANGER_MIX
8477527,Ross Johnston,1616.2,227,8.4272,7.4628,9.496,4.233,153,5.68,4.881,6.5958,6.464,132,4.9004,4.158,5.763,7.886,512,19.0075,17.6763,20.3956,1.8685,281,271,10,
8475191,Reilly Smith,4404.93,630,8.5813,7.9795,9.2202,4.152,443,6.0341,5.5219,6.588,7.524,323,4.3996,3.9596,4.8841,6.975,1396,19.015,18.2002,19.8484,1.9038,282,313,-31,HIGH_DANGER_MIX
8479423,Alex Nylander,548.87,84,9.1826,7.5187,11.1313,4.214,53,5.7938,4.4739,7.4472,6.623,37,4.0447,2.9573,5.4909,7.541,174,19.021,16.7643,21.4211,1.9653,283,394,-111,HIGH_DANGER_MIX
8470612,Ryan Getzlaf,901.95,122,8.1157,6.8686,9.5476,4.533,91,6.0536,4.9736,7.336,6.967,73,4.8561,3.8915,6.0335,7.014,286,19.0254,17.2521,20.8898,1.8343,284,226,58,LOW_DANGER_MIX
8479992,Michael Rasmussen,3869.85,564,8.7445,8.0983,9.4323,4.177,395,6.1243,5.5752,6.7202,7.522,269,4.1707,3.715,4.6774,7.632,1228,19.0395,18.1702,19.9291,1.9102,285,322,-37,HIGH_DANGER_MIX
8475754,Brock Nelson,5505.23,779,8.4901,7.953,9.0579,4.231,563,6.136,5.6725,6.6333,7.535,405,4.414,4.018,4.846,7.548,1747,19.0401,18.311,19.786,1.8933,286,301,-15,HIGH_DANGER_MIX
8480009,Eeli Tolvanen,4347.95,561,7.7416,7.1632,8.3591,4.328,455,6.2788,5.7536,6.8458,7.53,364,5.0231,4.5508,5.5393,7.497,1380,19.0435,18.2231,19.8827,1.8188,287,200,87,LOW_DANGER_MIX
8476469,Joel Armia,3407.75,462,8.1344,7.4688,8.8481,3.922,363,6.3913,5.7958,7.0391,7.766,257,4.525,4.0209,5.0857,7.837,1082,19.0507,18.1243,19.9989,1.8917,288,299,-11,HIGH_DANGER_MIX
8481726,Adam Edstrom,733.68,101,8.2597,6.8737,9.865,4.327,72,5.8881,4.7173,7.3049,7.028,60,4.9067,3.842,6.2286,6.8,233,19.0545,17.0873,21.1194,1.8473,289,243,46,LOW_DANGER_MIX
8479511,Janne Kuokkanen,702.03,78,6.6664,5.3968,8.1905,4.385,95,8.1193,6.7199,9.7576,6.653,50,4.2733,3.2665,5.5606,7.54,223,19.0589,17.0577,21.181,1.8473,290,243,47,LOW_DANGER_MIX
8477454,Adam Erne,2065.05,299,8.6874,7.8165,9.6379,4.361,218,6.334,5.5824,7.1738,7.303,139,4.0386,3.4373,4.7366,6.993,656,19.0601,17.8769,20.2848,1.9139,291,329,-38,HIGH_DANGER_MIX
8482496,Nils Aman,1300.08,179,8.261,7.2015,9.4496,3.799,139,6.415,5.4761,7.4937,7.935,95,4.3843,3.6091,5.3111,7.368,413,19.0603,17.5771,20.6104,1.9201,292,336,-44,HIGH_DANGER_MIX
8479390,Taylor Raddysh,4071.45,563,8.2968,7.6819,8.9545,4.274,421,6.2042,5.6659,6.7887,7.143,310,4.5684,4.1037,5.0821,7.21,1294,19.0694,18.2239,19.9397,1.8829,293,289,4,
8476392,Adam Lowry,4624.95,656,8.5104,7.9248,9.1314,4.151,433,5.6174,5.1336,6.1415,7.189,381,4.9428,4.4878,5.4392,7.37,1470,19.0705,18.2744,19.8842,1.8634,294,262,32,LOW_DANGER_MIX
8475722,Jason Zucker,3857.55,528,8.2125,7.5824,8.884,4.176,416,6.4704,5.9057,7.0805,7.358,283,4.4018,3.9327,4.9207,7.763,1227,19.0847,18.2119,19.9747,1.8892,295,296,-1,
8478010,Brayden Point,5565.82,769,8.2899,7.7606,8.8485,4.042,596,6.4249,5.9535,6.9285,7.403,406,4.3767,3.9841,4.8044,7.244,1771,19.0915,18.3645,19.8324,1.9009,296,311,-15,HIGH_DANGER_MIX
8479335,Rasmus Asplund,1483.25,203,8.2117,7.2196,9.3192,4.3,163,6.5936,5.6994,7.6111,6.791,106,4.2879,3.5665,5.1435,7.179,472,19.0932,17.7037,20.5455,1.9117,297,324,-27,HIGH_DANGER_MIX
8480829,Jesperi Kotkaniemi,3779.43,599,9.5094,8.8326,10.2299,4.17,378,6.0009,5.4518,6.6002,7.54,226,3.5878,3.1609,4.0693,7.124,1203,19.0981,18.2206,20.0021,1.9894,298,423,-125,HIGH_DANGER_MIX
8481716,Dmitri Voronkov,2276.83,344,9.0652,8.2173,9.9824,4.212,210,5.534,4.8611,6.2885,7.286,171,4.5063,3.8985,5.1993,8.327,725,19.1055,17.9752,20.2697,1.9128,299,328,-29,HIGH_DANGER_MIX
8476867,Brendan Gaunce,769.32,110,8.579,7.2041,10.1739,4.391,76,5.9273,4.7813,7.3175,7.039,59,4.6015,3.5967,5.8626,8.017,245,19.1079,17.1981,21.1416,1.9006,300,309,-9,
8479385,Jordan Kyrou,5246.75,681,7.7877,7.2579,8.3492,4.278,653,7.4675,6.9476,8.0196,7.194,337,3.8538,3.4744,4.2711,6.647,1671,19.109,18.3599,19.8722,1.919,301,335,-34,HIGH_DANGER_MIX
8475166,John Tavares,5459.7,743,8.1653,7.6345,8.7259,4.475,579,6.363,5.8891,6.8694,7.579,418,4.5937,4.1879,5.0347,7.545,1740,19.1219,18.3872,19.8699,1.8637,302,263,39,LOW_DANGER_MIX
8475235,Nicolas Deslauriers,2334.33,308,7.9166,7.13,8.778,4.435,241,6.1945,5.4934,6.9756,7.311,195,5.0121,4.3797,5.7282,7.282,744,19.1232,18.0103,20.2774,1.8375,303,232,71,LOW_DANGER_MIX
8481032,Paul Cotter,2995.87,408,8.1713,7.4619,8.9358,4.049,293,5.8681,5.2602,6.5373,7.652,254,5.087,4.5197,5.7176,7.606,955,19.1264,18.1388,20.1401,1.8426,304,237,67,LOW_DANGER_MIX
8474037,James van Riemsdyk,3902.08,533,8.1956,7.5707,8.8638,3.946,414,6.3658,5.8092,6.9692,8.077,297,4.5668,4.0923,5.0915,7.165,1244,19.1282,18.2624,20.0163,1.8908,305,298,7,
8478569,Noel Acciari,3161.18,462,8.7689,8.0562,9.5341,4.338,323,6.1306,5.5261,6.7938,7.594,223,4.2326,3.7279,4.8003,7.83,1008,19.1321,18.1721,20.1207,1.9252,306,345,-39,HIGH_DANGER_MIX
8479944,Zachary Aston-Reese,2540.08,325,7.6769,6.9313,8.4905,4.418,271,6.4014,5.7165,7.1579,7.336,214,5.055,4.444,5.7415,7.776,810,19.1332,18.0635,20.2371,1.8126,307,194,113,LOW_DANGER_MIX
8477987,Ryan Donato,4264.77,630,8.8633,8.2429,9.5208,4.098,448,6.3028,5.7715,6.8761,7.857,282,3.9674,3.5427,4.4385,7.819,1360,19.1335,18.3034,19.9811,1.947,308,378,-70,HIGH_DANGER_MIX
8477573,Nathan Walker,2254.48,331,8.8091,7.9703,9.7238,4.19,239,6.3607,5.6392,7.1653,7.469,149,3.9654,3.3941,4.6271,7.087,719,19.1352,18.0041,20.3115,1.9401,309,369,-60,HIGH_DANGER_MIX
8484221,Calum Ritchie,604.67,96,9.5259,7.9037,11.3961,3.75,47,4.6637,3.5353,6.1068,8.106,50,4.9614,3.7949,6.4385,8.2,193,19.151,16.9866,21.4315,1.9223,310,340,-30,HIGH_DANGER_MIX
8477476,Artturi Lehkonen,4310.0,605,8.4223,7.8192,9.0638,4.22,450,6.2645,5.7377,6.8336,7.467,321,4.4687,4.0208,4.9621,7.713,1376,19.1555,18.3303,19.9999,1.8985,311,307,4,
8476918,Jimmy Vesey,3053.35,438,8.6069,7.8887,9.3809,4.324,300,5.8952,5.2923,6.56,7.413,237,4.6572,4.1195,5.2596,7.624,975,19.1593,18.1833,20.1669,1.8867,312,294,18,LOW_DANGER_MIX
8471698,T.J. Oshie,2191.27,281,7.6942,6.8939,8.5744,4.324,231,6.3251,5.5953,7.1393,6.758,188,5.1477,4.4874,5.8962,6.67,700,19.167,18.0177,20.3589,1.8333,313,223,90,LOW_DANGER_MIX
8481540,Cole Caufield,4913.27,708,8.646,8.0739,9.2524,4.023,523,6.3868,5.888,6.9232,7.765,339,4.1398,3.7347,4.5858,7.274,1570,19.1726,18.4,19.9642,1.942,314,374,-60,HIGH_DANGER_MIX
8478402,Connor McDavid,6331.43,885,8.3867,7.8879,8.9129,4.341,706,6.6904,6.2397,7.1703,7.307,433,4.1033,3.746,4.4926,7.157,2024,19.1805,18.4993,19.8775,1.9266,315,348,-33,HIGH_DANGER_MIX
8477508,Curtis Lazar,2632.2,366,8.3428,7.5818,9.1682,4.194,282,6.4281,5.7536,7.1722,7.454,194,4.4222,3.8601,5.0595,7.134,842,19.1931,18.1417,20.2788,1.9156,316,332,-16,HIGH_DANGER_MIX
8471675,Sidney Crosby,5852.38,794,8.1403,7.6287,8.6816,4.021,615,6.3051,5.8495,6.7926,7.712,464,4.757,4.3584,5.1895,7.468,1873,19.2024,18.4938,19.9277,1.8831,317,290,27,LOW_DANGER_MIX
8481617,Vasily Podkolzin,3152.25,441,8.394,7.6943,9.1476,4.249,346,6.5858,5.9598,7.2698,7.197,222,4.2256,3.7207,4.7938,7.653,1009,19.2053,18.2433,20.1967,1.9335,318,361,-43,HIGH_DANGER_MIX
8478519,Anthony Cirelli,4938.23,603,7.3265,6.7965,7.8925,4.194,577,7.0106,6.4911,7.5665,7.231,401,4.8722,4.4346,5.3493,7.367,1581,19.2093,18.4381,19.9991,1.8458,319,240,79,LOW_DANGER_MIX
8479638,Justin Brazeau,1443.02,199,8.2743,7.2645,9.3997,4.477,136,5.6548,4.8139,6.6251,8.022,127,5.2806,4.4679,6.2247,7.78,462,19.2098,17.7959,20.6813,1.8284,320,214,106,LOW_DANGER_MIX
8470621,Corey Perry,3650.4,481,7.906,7.2716,8.5886,4.029,394,6.476,5.8972,7.1057,7.241,294,4.8323,4.3292,5.3894,7.384,1169,19.2143,18.32,20.1356,1.8774,321,282,39,LOW_DANGER_MIX
8478449,Roope Hintz,4644.75,616,7.9574,7.3899,8.5604,4.386,460,5.9422,5.4462,6.4773,7.454,412,5.3221,4.8515,5.833,7.568,1488,19.2217,18.4247,20.0344,1.8183,322,198,124,LOW_DANGER_MIX
8476432,Boone Jenner,3995.33,541,8.1245,7.5095,8.7828,4.274,436,6.5476,5.9904,7.151,7.122,303,4.5503,4.0822,5.0681,7.611,1280,19.2224,18.3665,20.1022,1.8918,323,300,23,LOW_DANGER_MIX
8478115,Pierre Engvall,3395.8,496,8.7638,8.0746,9.4999,4.411,358,6.3255,5.7319,6.9718,7.612,234,4.1345,3.6518,4.6752,7.94,1088,19.2237,18.2936,20.176,1.9323,324,356,-32,HIGH_DANGER_MIX
8474053,Logan Couture,2503.13,293,7.0232,6.3028,7.8147,3.908,313,7.5026,6.7598,8.3152,6.853,197,4.7221,4.1274,5.3947,7.513,803,19.2479,18.1689,20.3619,1.875,325,278,47,LOW_DANGER_MIX
8479293,Brandon Tanev,3178.82,445,8.3994,7.7012,9.1487,4.27,317,5.9834,5.3868,6.6372,7.603,258,4.8697,4.3298,5.4698,7.899,1020,19.2524,18.2912,20.2374,1.8711,326,274,52,LOW_DANGER_MIX
8474679,Gustav Nyquist,4493.13,632,8.4395,7.8482,9.0682,4.239,469,6.2629,5.7468,6.8199,7.19,341,4.5536,4.1105,5.0404,7.713,1442,19.256,18.4471,20.0845,1.9039,327,314,13,LOW_DANGER_MIX
8477501,Valeri Nichushkin,3959.88,585,8.8639,8.221,9.5472,4.0,386,5.8487,5.3174,6.4264,6.946,301,4.5607,4.0896,5.0809,7.518,1272,19.2733,18.4109,20.1554,1.9333,328,360,-32,HIGH_DANGER_MIX
8482088,Justin Sourdif,666.2,91,8.1957,6.7576,9.8889,3.912,64,5.764,4.5584,7.2511,8.703,59,5.3137,4.158,6.7557,8.492,214,19.2735,17.218,21.4635,1.8541,329,250,79,LOW_DANGER_MIX
8477426,Nick Paul,4781.37,616,7.73,7.1786,8.3183,4.024,538,6.7512,6.2328,7.308,7.29,382,4.7936,4.3528,5.2756,7.644,1536,19.2748,18.491,20.0788,1.8773,330,281,49,LOW_DANGER_MIX
8485414,Ben Kindel,603.67,87,8.6472,7.0971,10.4577,3.943,73,7.2557,5.834,8.9569,7.795,34,3.3793,2.4335,4.6579,8.676,194,19.2822,17.1111,21.5676,1.9705,331,406,-75,HIGH_DANGER_MIX
8481704,Juuso Parssinen,1602.4,243,9.0989,8.0972,10.205,4.28,153,5.7289,4.9239,6.6529,6.993,119,4.4558,3.7461,5.29,7.076,515,19.2836,17.9432,20.6849,1.9272,332,350,-18,HIGH_DANGER_MIX
8479356,Kieffer Bellows,961.25,122,7.6151,6.4426,8.9698,3.836,127,7.9272,6.732,9.3023,7.26,60,3.7451,2.9287,4.7726,6.75,309,19.2874,17.5662,21.1039,1.9878,333,421,-88,HIGH_DANGER_MIX
8479968,Vinni Lettieri,1020.3,139,8.1741,6.9948,9.5219,3.971,111,6.5275,5.4695,7.7654,7.694,78,4.5869,3.7022,5.6649,7.295,328,19.2884,17.6172,21.0514,1.9101,334,321,13,LOW_DANGER_MIX
8475413,Justin Dowling,673.7,90,8.0154,6.595,9.678,3.911,67,5.967,4.7423,7.459,8.119,60,5.3436,4.1871,6.7749,7.667,217,19.3261,17.2667,21.4893,1.8528,335,248,87,LOW_DANGER_MIX
8478099,Kevin Labanc,1942.57,275,8.4939,7.6045,9.4645,4.204,201,6.2083,5.4408,7.0669,7.726,150,4.633,3.9689,5.3952,7.247,626,19.3352,18.1063,20.5977,1.9074,336,318,18,LOW_DANGER_MIX
8476454,Ryan Nugent-Hopkins,5394.7,750,8.3415,7.8025,8.9104,4.443,619,6.8845,6.3902,7.411,6.924,370,4.1152,3.7284,4.5383,7.397,1739,19.3412,18.5996,20.0958,1.9392,337,368,-31,HIGH_DANGER_MIX
8478434,Keegan Kolesar,3947.37,584,8.8768,8.2335,9.5628,3.976,421,6.3992,5.8448,7.0007,7.482,268,4.0736,3.6278,4.5705,7.362,1273,19.3496,18.4871,20.2364,1.9763,338,409,-71,HIGH_DANGER_MIX
8482055,Drew O'Connor,3339.45,495,8.8937,8.196,9.6423,4.107,345,6.1986,5.6071,6.8465,8.157,237,4.2582,3.7652,4.8115,7.764,1077,19.3505,18.4145,20.3162,1.9552,339,387,-48,HIGH_DANGER_MIX
8484227,Will Smith,1611.45,236,8.7871,7.804,9.8761,4.047,163,6.0691,5.2433,7.012,8.067,121,4.5053,3.7935,5.3409,7.587,520,19.3614,18.0237,20.7606,1.9279,340,352,-12,HIGH_DANGER_MIX
8479994,Jaret Anderson-Dolan,876.68,120,8.2128,6.9398,9.6699,4.175,93,6.3649,5.2413,7.69,6.946,70,4.7908,3.8195,5.9785,7.357,283,19.3685,17.5548,21.2609,1.8971,341,304,37,LOW_DANGER_MIX
8478424,Jansen Harkins,1980.95,274,8.299,7.4286,9.2531,4.197,182,5.5125,4.7958,6.3237,7.374,184,5.5731,4.8526,6.3879,7.989,640,19.3846,18.1701,20.6393,1.8532,342,249,93,LOW_DANGER_MIX
8475151,Kyle Palmieri,4258.8,609,8.5799,7.968,9.2296,4.163,437,6.1567,5.6309,6.7248,7.568,332,4.6774,4.2165,5.1834,7.277,1378,19.4139,18.5798,20.2653,1.9277,343,351,-8,
