season,team,conference,gp,points,points_pct,wins,goal_diff,goal_diff_per_game,TNFI_pct,NFI_composite,F_top6_n,F_top6_twoway,F_bot6_n,F_bot6_twoway,D_top4_n,D_top4_twoway,starter_goalie_id,starter_goalie_name,starter_goalie_toi_min,starter_NFI_GSAx_per60,g_high,archetype,arche_g,made_playoffs,round1_win,round2_win,cf_win,cup_win,conf_rank,contender_top4_conf
20222023,CBJ,E,81,59,0.3642,25,-113,-1.3950617283950617,0.4406409322651129,-21.987978491071814,6,-0.6497321210769622,6,-0.9784525518699484,4,-0.5849587791942946,8478007,Elvis Merzlikins,1549.5166666666667,-0.06,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,16,False
20222023,CGY,W,82,93,0.5671,38,8,0.0975609756097561,0.5516363636363636,4.889569554412226,6,1.3044363816101892,6,0.28324471686582714,4,1.389286030103635,8474593,Jacob Markstrom,3345.483333333333,-0.0,True,A_HighF_HighD,A_HighF_HighD_Ghi,False,False,False,False,False,9,False
20222023,CHI,W,82,59,0.3598,26,-97,-1.1829268292682926,0.4255573248407643,-27.173881156069104,6,-1.3248989567352376,6,-1.3517123368427466,4,-1.1806377070389917,8475852,Petr Mrazek,2139.9666666666667,-0.17,False,D_LowF_LowD,D_LowF_LowD_Glo,False,False,False,False,False,15,False
20222023,COL,W,81,107,0.6605,50,53,0.654320987654321,0.541969596827495,21.08363119645843,6,1.2192272537143085,6,0.6201845191374773,4,1.6286744699792912,8480382,Alexandar Georgiev,3638.8166666666666,0.01,True,A_HighF_HighD,A_HighF_HighD_Ghi,True,False,False,False,False,4,True
20222023,DAL,W,82,108,0.6585,47,67,0.8170731707317073,0.5162614461635617,18.259484046801735,6,1.4250431100189835,6,-0.2819817553360801,4,1.067069486927348,8479979,Jake Oettinger,3582.883333333333,0.03,True,A_HighF_HighD,A_HighF_HighD_Ghi,True,True,True,False,False,3,True
20222023,DET,E,82,80,0.4878,35,-39,-0.47560975609756095,0.4692435577722361,-13.547055049906856,6,-0.5572054533295705,6,-0.6537106058576619,4,-0.7154105678354596,8478024,Ville Husso,3179.1833333333334,0.03,True,D_LowF_LowD,D_LowF_LowD_Ghi,False,False,False,False,False,12,False
20222023,EDM,W,82,109,0.6646,50,65,0.7926829268292683,0.5397489539748954,14.798376625779689,6,1.8050868425226376,6,0.25322644367440195,4,1.4708794893117292,8479973,Stuart Skinner,2881.016666666667,-0.11,False,A_HighF_HighD,A_HighF_HighD_Glo,True,True,False,False,False,2,True
20222023,FLA,E,82,92,0.561,42,17,0.2073170731707317,0.522589928057554,23.582198381881703,6,1.7071898318312284,6,-0.20604238171077452,4,0.7285335325959149,8475683,Sergei Bobrovsky,2811.4166666666665,0.13,True,A_HighF_HighD,A_HighF_HighD_Ghi,True,True,True,True,False,8,False
20222023,LAK,W,82,104,0.6341,47,23,0.2804878048780488,0.5177228786251342,9.297635500012111,6,1.1958395283991037,6,0.7702764642131997,4,0.939432057573859,8477831,Pheonix Copley,2053.35,0.08,True,A_HighF_HighD,A_HighF_HighD_Ghi,True,False,False,False,False,5,False
20222023,MIN,W,82,103,0.628,46,21,0.25609756097560976,0.4956944964432797,4.3919360188636904,6,1.2474533903483613,6,0.21795846760642223,4,0.9697224456893039,8470594,Marc-Andre Fleury,2610.366666666667,0.06,True,A_HighF_HighD,A_HighF_HighD_Ghi,True,False,False,False,False,6,False
