goalie_id,zone,shot_type,attempts,goals,save_pct,goalie_name,L_save_pct,L_att,L_goals,z_vs_league,delta_sv_pct,signif
8476932,CNFI,wrist,279,58,0.7921,Anthony Stolarz,0.8052,27362,5329,-0.55,-1.31,False
8476932,MNFI,wrist,282,35,0.8759,Anthony Stolarz,0.8542,24932,3636,1.03,2.17,False
8476341,CNFI,backhand,207,34,0.8357,Anton Forsberg,0.8322,13408,2250,0.14,0.36,False
8476341,CNFI,wrist,402,68,0.8308,Anton Forsberg,0.8052,27362,5329,1.3,2.56,False
8476341,MNFI,wrist,373,42,0.8874,Anton Forsberg,0.8542,24932,3636,1.82,3.32,False
8482821,CNFI,wrist,307,68,0.7785,Arvid Soderblom,0.8052,27362,5329,-1.18,-2.67,False
8482821,MNFI,wrist,262,38,0.855,Arvid Soderblom,0.8542,24932,3636,0.04,0.08,False
8475660,CNFI,tip-in,211,48,0.7725,Cam Talbot,0.827,14699,2543,-2.09,-5.45,True
8475660,CNFI,wrist,492,100,0.7967,Cam Talbot,0.8052,27362,5329,-0.48,-0.85,False
8475660,MNFI,wrist,444,73,0.8356,Cam Talbot,0.8542,24932,3636,-1.11,-1.86,False
8479394,CNFI,wrist,393,76,0.8066,Carter Hart,0.8052,27362,5329,0.07,0.14,False
8479394,MNFI,wrist,321,37,0.8847,Carter Hart,0.8542,24932,3636,1.55,3.06,False
8479193,CNFI,wrist,373,72,0.807,Casey DeSmith,0.8052,27362,5329,0.08,0.17,False
8479193,MNFI,wrist,295,36,0.878,Casey DeSmith,0.8542,24932,3636,1.16,2.38,False
8479292,CNFI,wrist,274,55,0.7993,Charlie Lindgren,0.8052,27362,5329,-0.25,-0.6,False
8479292,MNFI,wrist,221,34,0.8462,Charlie Lindgren,0.8542,24932,3636,-0.34,-0.8,False
8476945,CNFI,backhand,376,53,0.859,Connor Hellebuyck,0.8322,13408,2250,1.39,2.69,False
8476945,CNFI,tip-in,450,87,0.8067,Connor Hellebuyck,0.827,14699,2543,-1.14,-2.03,False
8476945,CNFI,wrist,774,151,0.8049,Connor Hellebuyck,0.8052,27362,5329,-0.02,-0.03,False
8476945,MNFI,snap,220,44,0.8,Connor Hellebuyck,0.8073,11549,2226,-0.27,-0.73,False
8476945,MNFI,wrist,799,105,0.8686,Connor Hellebuyck,0.8542,24932,3636,1.16,1.44,False
8478971,CNFI,wrist,303,45,0.8515,Connor Ingram,0.8052,27362,5329,2.03,4.62,True
8478971,MNFI,wrist,285,46,0.8386,Connor Ingram,0.8542,24932,3636,-0.74,-1.56,False
8478435,CNFI,wrist,235,48,0.7957,Dan Vladar,0.8052,27362,5329,-0.37,-0.95,False
8478435,MNFI,wrist,293,48,0.8362,Dan Vladar,0.8542,24932,3636,-0.87,-1.8,False
8480193,CNFI,wrist,202,34,0.8317,Daniil Tarasov,0.8052,27362,5329,0.95,2.64,False
8480193,MNFI,wrist,205,38,0.8146,Daniil Tarasov,0.8542,24932,3636,-1.6,-3.95,False
8475311,CNFI,backhand,289,54,0.8131,Darcy Kuemper,0.8322,13408,2250,-0.87,-1.9,False
8475311,CNFI,tip-in,319,51,0.8401,Darcy Kuemper,0.827,14699,2543,0.62,1.31,False
8475311,CNFI,wrist,625,105,0.832,Darcy Kuemper,0.8052,27362,5329,1.69,2.68,False
8475311,MNFI,snap,232,44,0.8103,Darcy Kuemper,0.8073,11549,2226,0.12,0.31,False
8475311,MNFI,wrist,524,70,0.8664,Darcy Kuemper,0.8542,24932,3636,0.79,1.22,False
8479496,CNFI,wrist,254,51,0.7992,David Rittich,0.8052,27362,5329,-0.24,-0.6,False
8479496,MNFI,wrist,200,36,0.82,David Rittich,0.8542,24932,3636,-1.37,-3.42,False
8481692,CNFI,wrist,282,60,0.7872,Dustin Wolf,0.8052,27362,5329,-0.76,-1.8,False
8481692,MNFI,wrist,232,36,0.8448,Dustin Wolf,0.8542,24932,3636,-0.4,-0.93,False
8478007,CNFI,backhand,255,41,0.8392,Elvis Merzlikins,0.8322,13408,2250,0.3,0.7,False
8478007,CNFI,tip-in,290,56,0.8069,Elvis Merzlikins,0.827,14699,2543,-0.9,-2.01,False
8478007,CNFI,wrist,472,86,0.8178,Elvis Merzlikins,0.8052,27362,5329,0.69,1.26,False
8478007,MNFI,snap,260,48,0.8154,Elvis Merzlikins,0.8073,11549,2226,0.33,0.81,False
8478007,MNFI,wrist,425,68,0.84,Elvis Merzlikins,0.8542,24932,3636,-0.83,-1.42,False
8479406,CNFI,backhand,204,42,0.7941,Filip Gustavsson,0.8322,13408,2250,-1.46,-3.81,False
8479406,CNFI,tip-in,245,49,0.8,Filip Gustavsson,0.827,14699,2543,-1.12,-2.7,False
8479406,CNFI,wrist,482,94,0.805,Filip Gustavsson,0.8052,27362,5329,-0.01,-0.03,False
8479406,MNFI,snap,205,36,0.8244,Filip Gustavsson,0.8073,11549,2226,0.62,1.71,False
8479406,MNFI,wrist,421,63,0.8504,Filip Gustavsson,0.8542,24932,3636,-0.22,-0.38,False
8475883,CNFI,backhand,231,36,0.8442,Frederik Andersen,0.8322,13408,2250,0.49,1.2,False
8475883,CNFI,tip-in,208,36,0.8269,Frederik Andersen,0.827,14699,2543,-0.0,-0.01,False
8475883,CNFI,wrist,428,81,0.8107,Frederik Andersen,0.8052,27362,5329,0.29,0.55,False
8475883,MNFI,wrist,303,40,0.868,Frederik Andersen,0.8542,24932,3636,0.68,1.38,False
8478048,CNFI,backhand,445,64,0.8562,Igor Shesterkin,0.8322,13408,2250,1.35,2.4,False
8478048,CNFI,tip-in,425,59,0.8612,Igor Shesterkin,0.827,14699,2543,1.86,3.42,False
8478048,CNFI,wrist,832,121,0.8546,Igor Shesterkin,0.8052,27362,5329,3.59,4.93,True
8478048,MNFI,snap,300,66,0.78,Igor Shesterkin,0.8073,11549,2226,-1.2,-2.73,False
8478048,MNFI,wrist,694,93,0.866,Igor Shesterkin,0.8542,24932,3636,0.88,1.18,False
8478492,CNFI,wrist,425,86,0.7976,Ilya Samsonov,0.8052,27362,5329,-0.4,-0.76,False
