player_id,player_name,position,PP_TOI_min,CNFI_n,CNFI_per60,CNFI_lo95,CNFI_hi95,MNFI_n,MNFI_per60,MNFI_lo95,MNFI_hi95,FNFI_n,FNFI_per60,FNFI_lo95,FNFI_hi95,total_n,total_per60,total_lo95,total_hi95,P3_weighted,rank
8480980,Connor Dewar,C,369.67,35,5.6808,4.1282,7.7231,13,2.11,1.2388,3.5507,6,0.9739,0.4472,2.0954,54,8.7647,6.8166,11.1335,1.0121,464
8480848,Ty Dellandrea,C,240.2,20,4.9958,3.2755,7.5123,10,2.4979,1.3672,4.4993,4,0.9992,0.39,2.5238,34,8.4929,6.1908,11.4866,1.007,465
8480870,Bo Groulx,C,107.5,9,5.0233,2.6676,9.0498,4,2.2326,0.8697,5.483,2,1.1163,0.3056,3.9012,15,8.3721,5.1606,12.9945,0.9975,466
8475343,Nic Dowd,C,463.83,38,4.9156,3.6148,6.6248,21,2.7165,1.7874,4.0917,16,2.0697,1.2801,3.3165,75,9.7018,7.8566,11.8734,0.99,467
8476878,Zemgus Girgensons,C,415.17,29,4.1911,2.9455,5.9134,20,2.8904,1.8847,4.3958,22,3.1794,2.1159,4.7375,71,10.2609,8.2746,12.6176,0.9886,468
8476442,Matt Nieto,L,267.3,23,5.1627,3.4851,7.5564,9,2.0202,1.07,3.7686,5,1.1223,0.4815,2.5849,37,8.3053,6.1342,11.1102,0.9787,469
8478569,Noel Acciari,C,396.48,34,5.1452,3.7254,7.0551,14,2.1186,1.2704,3.5077,6,0.908,0.4177,1.9595,54,8.1718,6.3623,10.4206,0.9673,470
8480806,Isac Lundeström,C,464.22,32,4.136,2.9563,5.7443,21,2.7142,1.7874,4.0917,16,2.068,1.2801,3.3165,69,8.9182,7.1533,11.0377,0.9419,471
8480762,Eric Robinson,L,312.6,24,4.6065,3.1239,6.6933,11,2.1113,1.1841,3.7095,5,0.9597,0.4105,2.2106,40,7.6775,5.7162,10.1608,0.9051,472
8480448,Parker Kelly,C,379.27,28,4.4296,3.0963,6.2822,14,2.2148,1.3277,3.6626,8,1.2656,0.644,2.4656,50,7.91,6.0912,10.1832,0.8635,473
8476374,Sean Kuraly,C,426.82,29,4.0767,2.862,5.7502,14,1.9681,1.1777,3.2566,8,1.1246,0.5714,2.1918,51,7.1694,5.5212,9.2185,0.8076,474
8478133,Jake Evans,C,601.6,43,4.2886,3.2075,5.69,15,1.496,0.9094,2.4421,12,1.1968,0.6863,2.071,70,6.9814,5.5842,8.6612,0.7992,475
8481147,Reese Johnson,C,122.13,10,4.9127,2.7078,8.6596,1,0.4913,0.0869,2.6983,0,0.0,0.0,1.8316,11,5.4039,3.0655,9.2555,0.7807,476
8479291,Kevin Rooney,C,232.43,16,4.1302,2.5736,6.5448,7,1.807,0.8814,3.6576,1,0.2581,0.0457,1.4405,24,6.1953,4.2304,8.9585,0.7361,477
8477930,Pierre-Edouard Bellemare,L,266.1,15,3.3822,2.0681,5.4567,7,1.5784,0.7683,3.1989,7,1.5784,0.7683,3.1989,29,6.5389,4.6192,9.1314,0.7034,478
8477887,Patrick Brown,C,140.98,8,3.4047,1.7416,6.4777,2,0.8512,0.2339,3.0144,1,0.4256,0.0752,2.3447,11,4.6814,2.6471,8.0577,0.5524,479
