goalie_id,goalie_name,total_faced,total_goals,toi_ES_min,spatial_save_pct,sv_lo,sv_hi,rank_spatial_savepct,NFI_GSAx_cumulative,rank_cumulative,NFI_GSAx_per60,rank_per60,rank_diff_per60_vs_cum,flag_gt20_shift,xG_calibrated,xG,NFI_GSAx,meets_4000min,rank_per60_4000min,rank_cumulative_4000min,tier,tier_label,rank_per60_tier2
8480382,Alexandar Georgiev,2280.0,328.0,9754.73,0.8327,0.8147,0.8493,40.0,1.19,36.0,0.007,41.0,-5.0,0,329.19,229.46,-98.54,1,25.0,23.0,1,Qualified,
8477465,Tristan Jarry,2374.0,334.0,9855.93,0.8254,0.8072,0.8422,61.0,0.67,40.0,0.004,42.0,-2.0,0,334.67,232.45,-101.55,1,26.0,26.0,1,Qualified,
8477968,Alex Nedeljkovic,1961.0,285.0,8239.33,0.8284,0.8088,0.8463,47.0,0.17,43.0,0.001,43.0,0.0,0,285.17,198.98,-86.02,1,27.0,27.0,1,Qualified,
8478872,Karel Vejmelka,2657.0,380.0,10794.22,0.8258,0.8089,0.8416,58.0,-0.32,44.0,-0.002,44.0,0.0,0,379.68,263.9,-116.1,1,28.0,28.0,1,Qualified,
8474593,Jacob Markstrom,2804.0,398.0,11868.72,0.834,0.8176,0.8491,36.0,-0.88,47.0,-0.004,45.0,2.0,0,397.12,275.99,-122.01,1,29.0,30.0,1,Qualified,
8479406,Filip Gustavsson,2176.0,305.0,9183.93,0.8286,0.8095,0.8462,46.0,-2.14,51.0,-0.014,50.0,1.0,0,302.86,210.43,-94.57,1,34.0,34.0,1,Qualified,
8478492,Ilya Samsonov,1639.0,239.0,7428.55,0.8272,0.8056,0.8468,53.0,-1.6,49.0,-0.013,49.0,0.0,0,237.4,165.31,-73.69,1,33.0,32.0,1,Qualified,
8479361,Joseph Woll,1317.0,187.0,4973.97,0.8328,0.8084,0.8547,39.0,-0.81,46.0,-0.01,46.0,0.0,0,186.19,129.7,-57.3,1,30.0,29.0,1,Qualified,
8476434,John Gibson,2846.0,404.0,10415.77,0.8275,0.8109,0.8428,52.0,-1.68,50.0,-0.01,46.0,4.0,0,402.32,280.34,-123.66,1,30.0,33.0,1,Qualified,
8478406,Mackenzie Blackwood,1914.0,276.0,8132.45,0.8251,0.805,0.8435,62.0,-1.5,48.0,-0.011,48.0,0.0,0,274.5,190.79,-85.21,1,32.0,31.0,1,Qualified,
8470880,Brian Elliott,431.0,62.0,1977.13,0.8343,0.791,0.8702,35.0,-0.55,45.0,-0.017,51.0,-6.0,0,61.45,42.56,-19.44,0,,,3,Insufficient Sample,
8475883,Frederik Andersen,1728.0,260.0,6883.77,0.8278,0.8072,0.8466,51.0,-3.22,56.0,-0.028,52.0,4.0,0,256.78,179.32,-80.68,1,35.0,36.0,1,Qualified,
8478499,Adin Hill,1726.0,248.0,7539.1,0.8255,0.8042,0.845,60.0,-3.59,57.0,-0.029,53.0,4.0,0,244.41,169.83,-78.17,1,36.0,37.0,1,Qualified,
8480947,Kevin Lankinen,1721.0,250.0,7123.25,0.8279,0.8067,0.8473,50.0,-5.18,65.0,-0.044,58.0,7.0,0,244.82,170.31,-79.69,1,41.0,42.0,1,Qualified,
8474596,Jake Allen,2012.0,295.0,7732.52,0.8244,0.8049,0.8423,65.0,-4.63,60.0,-0.036,54.0,6.0,0,290.37,202.13,-92.87,1,37.0,38.0,1,Qualified,
8480981,Joel Hofer,1024.0,148.0,4559.27,0.8268,0.7987,0.8516,54.0,-2.98,53.0,-0.039,55.0,-2.0,0,145.02,100.79,-47.21,1,38.0,35.0,1,Qualified,
8478916,Joey Daccord,1497.0,215.0,6948.28,0.8244,0.8011,0.8454,64.0,-4.63,60.0,-0.04,56.0,4.0,0,210.37,146.2,-68.8,1,39.0,38.0,1,Qualified,
