player_id,player_name,position,pos_group,es_toi_min,CNFI_blocks,CNFI_blocks_per60,CNFI_blocks_lo95,CNFI_blocks_hi95,MNFI_blocks,MNFI_blocks_per60,MNFI_blocks_lo95,MNFI_blocks_hi95,FNFI_blocks,FNFI_blocks_per60,FNFI_blocks_lo95,FNFI_blocks_hi95,TNFI_blocks,TNFI_blocks_per60,TNFI_blocks_lo95,TNFI_blocks_hi95,blocks_xG_prevented_total,blocks_xG_prevented_per60,TNFI_blocks_per60_rank,xG_prevented_per60_rank,PK_TOI_min,PK_CNFI_blocks,PK_CNFI_blocks_per60,PK_CNFI_blocks_lo95,PK_CNFI_blocks_hi95,PK_MNFI_blocks,PK_MNFI_blocks_per60,PK_MNFI_blocks_lo95,PK_MNFI_blocks_hi95,PK_FNFI_blocks,PK_FNFI_blocks_per60,PK_FNFI_blocks_lo95,PK_FNFI_blocks_hi95,PK_TNFI_blocks,PK_TNFI_blocks_per60,PK_TNFI_blocks_lo95,PK_TNFI_blocks_hi95,PK_blocks_xG_prevented_total,PK_blocks_xG_prevented_per60,PK_TNFI_blocks_per60_rank,PK_xG_prevented_per60_rank
8476854,Hampus Lindholm,D,D,5227.933333333333,131,1.5035,1.2694,1.7793,112,1.2854,1.0701,1.5428,11,0.1262,0.0705,0.2258,254,2.9151,2.5848,3.2851,28.72135,0.3296,279,257,412.6,30.0,4.3626,3.0811,6.1082,25.0,3.6355,2.48,5.2699,1.0,0.1454,0.0257,0.8152,56.0,8.1435,6.3549,10.3193,6.45423,0.9386,266.0,219.0
8480192,Johnathan Kovacevic,D,D,3805.4166666666665,98,1.5452,1.2708,1.8772,79,1.2456,1.0015,1.548,7,0.1104,0.0535,0.2276,184,2.9011,2.5191,3.3385,20.965200000000003,0.3306,280,254,206.3,20.0,5.8168,3.8238,8.7118,27.0,7.8526,5.4998,11.0388,3.0,0.8725,0.2979,2.5161,50.0,14.5419,11.3538,18.3377,5.41793,1.5757,128.0,124.0
8477903,Garnet Hathaway,R,F,3661.1666666666665,36,0.59,0.4267,0.815,94,1.5405,1.2617,1.8791,47,0.7702,0.5801,1.0217,177,2.9007,2.5116,3.3469,15.709699999999998,0.2575,281,351,197.28333333333333,5.0,1.5207,0.6533,3.4818,46.0,13.99,10.7921,17.8399,12.0,3.6496,2.1111,6.2064,63.0,19.1603,15.5189,23.2704,5.67038,1.7245,66.0,104.0
8477495,Seth Jones,D,D,6413.616666666667,138,1.291,1.0944,1.5218,155,1.45,1.241,1.6931,17,0.159,0.0993,0.2544,310,2.9001,2.6009,3.2314,34.1474,0.3195,282,272,462.6,29.0,3.7613,2.6377,5.3104,36.0,4.6693,3.4014,6.346,0.0,0.0,0.0,0.4937,65.0,8.4306,6.7018,10.5,7.393700000000001,0.959,249.0,214.0
8479992,Michael Rasmussen,C,F,3869.85,66,1.0233,0.8057,1.2983,73,1.1318,0.9018,1.419,48,0.7442,0.5621,0.9843,187,2.8993,2.52,3.3322,17.5617,0.2723,283,336,248.36666666666667,13.0,3.1405,1.8532,5.2564,28.0,6.7642,4.7567,9.5003,4.0,0.9663,0.3774,2.4438,45.0,10.871,8.3079,14.0494,4.638940000000001,1.1207,187.0,181.0
8480172,Jan Rutta,D,D,3897.133333333333,88,1.3548,1.1019,1.6643,91,1.401,1.1435,1.715,9,0.1386,0.0729,0.263,188,2.8944,2.5169,3.3256,20.9275,0.3222,284,269,191.48333333333332,23.0,7.2069,4.8957,10.4526,31.0,9.7136,7.0056,13.2698,0.0,0.0,0.0,1.183,54.0,16.9205,13.4178,21.023,6.10958,1.9144,92.0,84.0
8480012,Elias Pettersson,C,F,5330.633333333333,67,0.7541,0.5945,0.9557,168,1.891,1.6291,2.1931,22,0.2476,0.1636,0.3745,257,2.8927,2.5666,3.2575,26.33525,0.2964,285,302,453.8333333333333,8.0,1.0577,0.5373,2.0629,17.0,2.2475,1.4105,3.5487,5.0,0.661,0.2828,1.5312,30.0,3.9662,2.8005,5.5659,2.91695,0.3856,439.0,445.0
8481606,Jordan Spence,D,D,3280.15,86,1.5731,1.2768,1.936,62,1.1341,0.8864,1.4494,9,0.1646,0.0867,0.3124,157,2.8718,2.4644,3.3429,17.7602,0.3249,286,263,162.38333333333333,4.0,1.478,0.5786,3.7056,2.0,0.739,0.2035,2.6335,0.0,0.0,0.0,1.3899,6.0,2.217,1.025,4.7064,0.7223200000000001,0.2669,540.0,509.0
8476906,Shayne Gostisbehere,D,D,5686.016666666666,156,1.6461,1.4099,1.9207,102,1.0763,0.888,1.3037,14,0.1477,0.088,0.2477,272,2.8702,2.5553,3.2218,31.089200000000005,0.3281,287,259,358.65,5.0,0.8365,0.3578,1.9311,8.0,1.3384,0.68,2.601,1.0,0.1673,0.0295,0.9365,14.0,2.3421,1.4022,3.8632,1.4882900000000001,0.249,529.0,520.0
8479671,Mathieu Olivier,R,F,2785.9666666666667,27,0.5815,0.4001,0.8438,62,1.3353,1.0439,1.7055,44,0.9476,0.7071,1.2681,133,2.8644,2.4255,3.3779,11.22545,0.2418,288,377,91.86666666666666,3.0,1.9594,0.6691,5.4921,12.0,7.8374,4.5728,12.8569,2.0,1.3062,0.3589,4.5502,17.0,11.103,7.1215,16.5685,1.66236,1.0857,182.0,191.0
8480817,K'Andre Miller,D,D,6612.35,143,1.2976,1.1033,1.5253,153,1.3883,1.187,1.623,19,0.1724,0.1104,0.269,315,2.8583,2.5658,3.1826,34.668150000000004,0.3146,289,279,380.21666666666664,29.0,4.5763,3.2195,6.4472,29.0,4.5763,3.2195,6.4472,5.0,0.789,0.338,1.8257,63.0,9.9417,7.9068,12.3893,6.859610000000001,1.0825,206.0,193.0
8476856,Mathew Dumba,D,D,4669.05,101,1.2979,1.0701,1.5729,107,1.375,1.1401,1.6571,14,0.1799,0.1072,0.3016,222,2.8528,2.5084,3.242,24.39895,0.3135,290,280,264.31666666666666,24.0,5.448,3.7111,7.9021,24.0,5.448,3.7111,7.9021,0.0,0.0,0.0,0.8606,48.0,10.896,8.3979,13.9679,5.5377600000000005,1.2571,186.0,161.0
8482655,J.J. Moser,D,D,5155.816666666667,106,1.2336,1.0216,1.4882,126,1.4663,1.2338,1.7412,13,0.1513,0.0884,0.2586,245,2.8511,2.5224,3.2201,26.9228,0.3133,291,281,350.1,33.0,5.6555,4.0755,7.7674,49.0,8.3976,6.4526,10.8164,2.0,0.3428,0.0941,1.2356,84.0,14.3959,11.894,17.2448,9.2868,1.5916,132.0,121.0
