goalie_id,goalie_name,name_norm,total_faced,toi_ES_min,NFI_GSAx_cumulative,NFI_GSAx_per60,NFI_rank,playerId,name,seasons,games,icetime_min,xGoals,goals,MP_GSAx,MP_GSAx_per60,MP_rank
8476899,Matt Murray,matt murray,577.0,2314.03,2.93,0.076,32,8483575,Matt Murray,2,4,193.2,5.77,8.0,-2.23,-0.693,111
8482221,Devon Levi,devon levi,408.0,1836.45,2.81,0.092,33,8482221,Devon Levi,3,39,1820.0,88.91999999999999,80.0,8.92,0.294,32
8477831,Pheonix Copley,pheonix copley,412.0,2197.48,2.77,0.076,34,8477831,Pheonix Copley,5,49,2190.0,82.93,77.0,5.93,0.162,40
8482487,Jakub Dobes,jakub dobes,589.0,2054.5,2.01,0.059,35,8482487,Jakub Dobes,2,59,2804.4,127.58000000000001,107.0,20.58,0.44,19
8480382,Alexandar Georgiev,alexandar georgiev,2280.0,9754.73,1.19,0.007,36,8480382,Alexandar Georgiev,4,207,9685.8,400.72,398.0,2.72,0.017,52
8479312,Alex Lyon,alex lyon,1315.0,5262.45,1.01,0.012,37,8479312,Alex Lyon,5,127,5773.5,254.20999999999998,245.0,9.21,0.096,31
8477480,Eric Comrie,eric comrie,967.0,3830.32,0.9,0.014,38,8477480,Eric Comrie,5,93,4311.7,193.5,181.0,12.5,0.174,29
8478971,Connor Ingram,connor ingram,1354.0,5910.75,0.9,0.009,38,8478971,Connor Ingram,5,134,6229.7,261.15,260.0,1.15,0.011,65
8477465,Tristan Jarry,tristan jarry,2374.0,9855.93,0.67,0.004,40,8477465,Tristan Jarry,5,225,10364.8,436.0,430.0,6.0,0.035,39
8477361,Cal Petersen,cal petersen,531.0,2494.77,0.64,0.015,41,8477361,Cal Petersen,3,52,2440.9,95.77,108.0,-12.23,-0.301,158
8467950,Craig Anderson,craig anderson,669.0,2833.93,0.6,0.013,42,8467950,Craig Anderson,2,57,2764.0,120.74,133.0,-12.26,-0.266,159
8477968,Alex Nedeljkovic,alex nedeljkovic,1961.0,8239.33,0.17,0.001,43,8477968,Alex Nedeljkovic,5,190,8690.9,378.77,392.0,-13.23,-0.091,163
8478872,Karel Vejmelka,karel vejmelka,2657.0,10794.22,-0.32,-0.002,44,8478872,Karel Vejmelka,5,262,12052.6,520.74,519.0,1.74,0.009,59
8470880,Brian Elliott,brian elliott,431.0,1977.13,-0.55,-0.017,45,8470880,Brian Elliott,2,41,1947.3,80.12,81.0,-0.88,-0.027,98
8479361,Joseph Woll,joseph woll,1317.0,4973.97,-0.81,-0.01,46,8479361,Joseph Woll,5,117,5693.8,241.82,241.0,0.82,0.009,71
8474593,Jacob Markstrom,jacob markstrom,2804.0,11868.72,-0.88,-0.004,47,8474593,Jacob Markstrom,5,263,12625.1,494.61,499.0,-4.39,-0.021,127
8478406,Mackenzie Blackwood,mackenzie blackwood,1914.0,8132.45,-1.5,-0.011,48,8478406,Mackenzie Blackwood,5,185,8540.6,374.13,375.0,-0.87,-0.006,97
8478492,Ilya Samsonov,ilya samsonov,1639.0,7428.55,-1.6,-0.013,49,8478492,Ilya Samsonov,4,155,7382.7,307.11,293.0,14.11,0.115,27
8476434,John Gibson,john gibson,2846.0,10415.77,-1.68,-0.01,50,8476434,John Gibson,5,241,11157.9,511.46000000000004,514.0,-2.54,-0.014,112
8479406,Filip Gustavsson,filip gustavsson,2176.0,9183.93,-2.14,-0.014,51,8479406,Filip Gustavsson,5,210,10092.6,403.8,378.0,25.8,0.153,13
8482445,Devin Cooley,devin cooley,396.0,1089.07,-2.24,-0.123,52,8482445,Devin Cooley,2,37,1657.2,78.6,79.0,-0.4,-0.014,91
8480981,Joel Hofer,joel hofer,1024.0,4559.27,-2.98,-0.039,53,8480981,Joel Hofer,5,115,5290.5,214.51999999999998,189.0,25.52,0.289,14
8471306,Thomas Greiss,thomas greiss,604.0,2191.63,-3.07,-0.084,54,8471306,Thomas Greiss,2,52,2148.8,102.56,115.0,-12.44,-0.347,161
8482076,Nico Daws,nico daws,476.0,2379.3,-3.2,-0.081,55,8482076,Nico Daws,4,55,2369.2,97.16,102.0,-4.84,-0.123,134
8475883,Frederik Andersen,frederik andersen,1728.0,6883.77,-3.22,-0.028,56,8475883,Frederik Andersen,5,159,7594.5,298.94,285.0,13.94,0.11,28
8478499,Adin Hill,adin hill,1726.0,7539.1,-3.59,-0.029,57,8478499,Adin Hill,5,164,7907.6,304.97,311.0,-6.03,-0.046,141
8481020,Justus Annunen,justus annunen,718.0,3084.72,-3.84,-0.075,58,8481020,Justus Annunen,5,80,3504.8,150.07,146.0,4.07,0.07,42
8482661,Jesper Wallstedt,jesper wallstedt,409.0,1267.98,-4.11,-0.194,59,8482661,Jesper Wallstedt,3,40,1927.3,74.84,77.0,-2.16,-0.067,110
8474596,Jake Allen,jake allen,2012.0,7732.52,-4.63,-0.036,60,8474596,Jake Allen,5,179,8513.5,403.2,389.0,14.2,0.1,26
8478916,Joey Daccord,joey daccord,1497.0,6948.28,-4.63,-0.04,60,8478916,Joey Daccord,5,164,7834.6,321.84,300.0,21.84,0.167,18
8474682,Dustin Tokarski,dustin tokarski,452.0,1855.0,-4.87,-0.158,62,8474682,Dustin Tokarski,3,39,1849.8,76.17999999999999,85.0,-8.82,-0.286,149
