season,team,fwd_RelNFI_A,fwd_RelNFI,fwd_NFI_ZA,goalie_id,goalie_name,CNFI_rebound_goal_rate,z_score,team_reb_goals,team_CNFI_saves,team_CNFI_reb_rate,points,exposed,GSAx_rate
20222023,MIN,0.41455482122095877,0.14330821691489012,0.5062721577503672,8470594,Marc-Andre Fleury,1.8685,1.434,9,361,1.4958448753462605,103,True,0.43027888446215135
20222023,MTL,0.5408172722259923,0.22834715003230815,0.4387161190967984,8478470,Samuel Montembeault,0.9644,-0.855,8,416,1.153846153846154,68,False,-0.6347787215020116
20222023,NJD,0.21636032941196773,-0.02196430125150691,0.5437630100809375,8477970,Vitek Vanecek,1.5764,0.695,10,331,1.8126888217522659,112,True,-1.4166666666666667
20222023,NSH,0.2638105047672481,0.037556163341381274,0.4818128141435565,8477424,Juuse Saros,1.1158,-0.471,6,370,0.972972972972973,92,False,0.4897270775835633
20222023,NYI,0.31143786503801724,0.09946516147377242,0.49687218776073583,8478009,Ilya Sorokin,0.7482,-1.402,9,423,1.2765957446808511,93,False,2.293219303604154
20222023,NYR,0.3388437905883155,0.12109162120018037,0.4901759430010978,8478048,Igor Shesterkin,1.4969,0.493,10,438,1.36986301369863,107,True,2.2797101449275363
20222023,OTT,0.5644905825588535,0.4568479910564311,0.5167895046596144,8475660,Cam Talbot,1.4634,0.409,9,333,1.6216216216216217,86,True,-0.5038204393505253
20222023,PHI,0.2070711104809169,0.07414340309894749,0.4776889814899013,8479394,Carter Hart,1.9355,1.604,12,354,2.0338983050847457,75,True,0.4030955585464334
20222023,PIT,0.32878165344458554,0.13862994534207237,0.5150401313185182,8477465,Tristan Jarry,2.196,2.263,12,374,1.9251336898395723,91,True,0.02822240943555181
20222023,SEA,0.31757983106608956,0.012037833752332864,0.5121271346549838,8475831,Philipp Grubauer,1.1683,-0.338,14,358,2.346368715083799,100,False,-1.7773131207527444
20222023,SJS,0.4740976238063234,0.38874582681078484,0.5143316781205493,8473503,James Reimer,2.6374,3.38,10,363,1.6528925619834711,60,True,-2.1525625744934445
20222023,STL,0.4827591260325705,0.2911502402012552,0.4646313460699147,8476412,Jordan Binnington,1.3282,0.066,7,370,1.135135135135135,81,True,0.40893978574067236
20222023,TBL,0.4391756494642541,0.15650826362359396,0.5218561261861903,8476883,Andrei Vasilevskiy,1.0798,-0.562,7,385,1.0909090909090908,98,False,1.588420750931499
20222023,TOR,0.40960249467560605,0.3178852721085875,0.5497915947024743,8478492,Ilya Samsonov,1.9626,1.672,11,401,1.6458852867830422,111,True,-0.09762050030506407
20222023,VAN,0.7685814904613562,0.271760448247626,0.4912483361412242,8477967,Thatcher Demko,1.5889,0.726,12,351,2.0512820512820515,83,True,1.890810276679842
20222023,VGK,0.3869598430160825,0.13874134073868732,0.5361318061877769,8478499,Adin Hill,1.2283,-0.186,5,442,0.6787330316742082,111,False,-0.20799536500579374
20222023,WPG,0.1967872812596785,-0.003973436304498661,0.5089577522126781,8476945,Connor Hellebuyck,1.2956,-0.016,5,357,0.8403361344537815,95,True,1.463160777869077
20222023,WSH,0.22595180914230828,-0.2201695744239113,0.4891690733887008,8475311,Darcy Kuemper,1.0987,-0.515,8,354,1.3559322033898304,80,False,0.5478294275835573
20232024,ANA,0.1253073536967391,0.07254078869669715,0.4474237212005535,8476434,John Gibson,0.8115,-1.242,4,345,0.6956521739130435,59,False,-0.05903021784961349
20232024,BOS,0.24529116358559336,0.004003915023566218,0.5160833126174573,8480280,Jeremy Swayman,0.9978,-0.77,9,371,1.4555256064690028,109,False,1.503875968992248
20232024,BUF,0.20936825477961785,0.03670646842903197,0.48678550316631675,8480045,Ukko-Pekka Luukkonen,0.8621,-1.114,6,343,1.0495626822157436,84,False,-0.7988353626257279
20232024,CBJ,0.20654294296622153,0.1437754195632008,0.4521843652129471,8478007,Elvis Merzlikins,1.3953,0.236,3,380,0.4736842105263158,66,True,-0.4164222873900293
20232024,CGY,0.3049993561858785,-0.022902233955762016,0.4885516029485863,8474593,Jacob Markstrom,1.3056,0.009,5,345,0.8695652173913043,81,True,-0.03138373751783167
20232024,CHI,0.43228088234053574,0.289824687330956,0.42843045971886123,8475852,Petr Mrazek,1.3994,0.247,6,389,0.9254498714652957,52,True,-1.2323699421965317
20232024,COL,0.5040151107292163,0.6275163513287123,0.5377116452363484,8480382,Alexandar Georgiev,1.4782,0.446,10,359,1.671309192200557,107,True,0.05219298245614035
20232024,DAL,0.203205904524573,-0.032038764270255767,0.5632602252376363,8479979,Jake Oettinger,1.1765,-0.318,5,341,0.8797653958944283,113,False,0.20924422236102436
