player_id,player_name,position,pos_group,pos_source
8471817,Ryan Reaves,R,F,pbp_rosterSpots_2022plus
8471873,Anton Stralman,D,D,pbp_rosterSpots_2022plus
8471887,Patric Hornqvist,R,F,pbp_rosterSpots_2022plus
8473419,Brad Marchand,L,F,pbp_rosterSpots_2022plus
8473422,Nick Foligno,L,F,pbp_rosterSpots_2022plus
8473446,Erik Johnson,D,D,pbp_rosterSpots_2022plus
8473449,Kyle Okposo,R,F,pbp_rosterSpots_2022plus
8473453,Trevor Lewis,C,F,pbp_rosterSpots_2022plus
8473473,Milan Lucic,L,F,pbp_rosterSpots_2022plus
8473503,James Reimer,G,G,pbp_rosterSpots_2022plus
8473504,Cal Clutterbuck,R,F,pbp_rosterSpots_2022plus
8473507,Jeff Petry,D,D,pbp_rosterSpots_2022plus
8473512,Claude Giroux,R,F,pbp_rosterSpots_2022plus
8473533,Jordan Staal,C,F,pbp_rosterSpots_2022plus
8473544,Derick Brassard,C,F,pbp_rosterSpots_2022plus
8473548,Phil Kessel,C,F,pbp_rosterSpots_2022plus
8473563,Nicklas Backstrom,C,F,pbp_rosterSpots_2022plus
8473575,Semyon Varlamov,G,G,pbp_rosterSpots_2022plus
8473604,Jonathan Toews,C,F,pbp_rosterSpots_2022plus
8473986,Alex Killorn,L,F,pbp_rosterSpots_2022plus
8473994,Jamie Benn,L,F,pbp_rosterSpots_2022plus
8474009,Nick Bonino,C,F,pbp_rosterSpots_2022plus
8474013,Ian Cole,D,D,pbp_rosterSpots_2022plus
8474027,Justin Braun,D,D,pbp_rosterSpots_2022plus
8474031,Kevin Shattenkirk,D,D,pbp_rosterSpots_2022plus
8474034,Patrick Maroon,L,F,pbp_rosterSpots_2022plus
8474037,James van Riemsdyk,L,F,pbp_rosterSpots_2022plus
8474040,Sam Gagner,C,F,pbp_rosterSpots_2022plus
8474053,Logan Couture,C,F,pbp_rosterSpots_2022plus
8474062,Riley Nash,C,F,pbp_rosterSpots_2022plus
8474089,Brad Malone,C,F,pbp_rosterSpots_2022plus
8474090,Brendan Smith,D,D,pbp_rosterSpots_2022plus
8474102,David Perron,L,F,pbp_rosterSpots_2022plus
8474141,Patrick Kane,R,F,pbp_rosterSpots_2022plus
8474145,Robert Bortuzzo,D,D,pbp_rosterSpots_2022plus
8474149,Evgenii Dadonov,R,F,pbp_rosterSpots_2022plus
8474150,Mikael Backlund,C,F,pbp_rosterSpots_2022plus
8474151,Ryan McDonagh,D,D,pbp_rosterSpots_2022plus
8474157,Max Pacioretty,L,F,pbp_rosterSpots_2022plus
8474161,Jakub Voracek,R,F,pbp_rosterSpots_2022plus
8474162,Jake Muzzin,D,D,pbp_rosterSpots_2022plus
8474166,Alec Martinez,D,D,pbp_rosterSpots_2022plus
8474189,Lars Eller,C,F,pbp_rosterSpots_2022plus
8474190,Wayne Simmonds,R,F,pbp_rosterSpots_2022plus
8474207,Nick Holden,D,D,pbp_rosterSpots_2022plus
8474218,Jason Demers,D,D,pbp_rosterSpots_2022plus
8474563,Drew Doughty,D,D,pbp_rosterSpots_2022plus
8474564,Steven Stamkos,C,F,pbp_rosterSpots_2022plus
8474565,Alex Pietrangelo,D,D,pbp_rosterSpots_2022plus
8474567,Zach Bogosian,D,D,pbp_rosterSpots_2022plus
8474568,Luke Schenn,D,D,pbp_rosterSpots_2022plus
8474573,Josh Bailey,R,F,pbp_rosterSpots_2022plus
8474574,Tyler Myers,D,D,pbp_rosterSpots_2022plus
8474578,Erik Karlsson,D,D,pbp_rosterSpots_2022plus
8474586,Jordan Eberle,R,F,pbp_rosterSpots_2022plus
8474590,John Carlson,D,D,pbp_rosterSpots_2022plus
8474593,Jacob Markstrom,G,G,pbp_rosterSpots_2022plus
8474596,Jake Allen,G,G,pbp_rosterSpots_2022plus
8474600,Roman Josi,D,D,pbp_rosterSpots_2022plus
8474602,Justin Schultz,D,D,pbp_rosterSpots_2022plus
8474610,Zac Dalpe,C,F,pbp_rosterSpots_2022plus
8474612,Travis Hamonic,D,D,pbp_rosterSpots_2022plus
8474613,Derek Stepan,C,F,pbp_rosterSpots_2022plus
8474618,Marco Scandella,D,D,pbp_rosterSpots_2022plus
8474628,Michael Stone,D,D,pbp_rosterSpots_2022plus
8474636,Michael Hutchinson,G,G,pbp_rosterSpots_2022plus
8474641,Adam Henrique,C,F,pbp_rosterSpots_2022plus
8474673,TJ Brodie,D,D,pbp_rosterSpots_2022plus
8474679,Gustav Nyquist,R,F,pbp_rosterSpots_2022plus
8474682,Dustin Tokarski,G,G,pbp_rosterSpots_2022plus
8474683,Derek Grant,C,F,pbp_rosterSpots_2022plus
8474697,Mark Borowiecki,D,D,pbp_rosterSpots_2022plus
8474709,Matt Martin,L,F,pbp_rosterSpots_2022plus
8474715,Cam Atkinson,R,F,pbp_rosterSpots_2022plus
8474716,Jared Spurgeon,D,D,pbp_rosterSpots_2022plus
8474818,Jordie Benn,D,D,pbp_rosterSpots_2022plus
8474870,Tyler Johnson,C,F,pbp_rosterSpots_2022plus
8474884,Mike Hoffman,L,F,pbp_rosterSpots_2022plus
8474889,Martin Jones,G,G,pbp_rosterSpots_2022plus
8475149,Marcus Johansson,L,F,pbp_rosterSpots_2022plus
8475151,Kyle Palmieri,C,F,pbp_rosterSpots_2022plus
8475158,Ryan O'Reilly,C,F,pbp_rosterSpots_2022plus
8475160,Kyle Clifford,L,F,pbp_rosterSpots_2022plus
8475163,Alex Chiasson,R,F,pbp_rosterSpots_2022plus
8475164,Jakob Silfverberg,R,F,pbp_rosterSpots_2022plus
8475166,John Tavares,C,F,pbp_rosterSpots_2022plus
8475167,Victor Hedman,D,D,pbp_rosterSpots_2022plus
8475168,Matt Duchene,C,F,pbp_rosterSpots_2022plus
8475169,Evander Kane,L,F,pbp_rosterSpots_2022plus
8475170,Brayden Schenn,C,F,pbp_rosterSpots_2022plus
8475171,Oliver Ekman-Larsson,D,D,pbp_rosterSpots_2022plus
8475172,Nazem Kadri,C,F,pbp_rosterSpots_2022plus
8475177,Calvin de Haan,D,D,pbp_rosterSpots_2022plus
8475178,Zack Kassian,R,F,pbp_rosterSpots_2022plus
8475179,Dmitry Kulikov,D,D,pbp_rosterSpots_2022plus
8475181,Nick Leddy,D,D,pbp_rosterSpots_2022plus
8475184,Chris Kreider,L,F,pbp_rosterSpots_2022plus
8475188,Brayden McNabb,D,D,pbp_rosterSpots_2022plus
8475191,Reilly Smith,R,F,pbp_rosterSpots_2022plus
8475193,Tomas Tatar,L,F,pbp_rosterSpots_2022plus
8475197,Tyson Barrie,D,D,pbp_rosterSpots_2022plus
8475200,Dmitry Orlov,D,D,pbp_rosterSpots_2022plus
8475208,Brian Dumoulin,D,D,pbp_rosterSpots_2022plus
8475218,Mattias Ekholm,D,D,pbp_rosterSpots_2022plus
8475220,Marcus Foligno,L,F,pbp_rosterSpots_2022plus
8475225,Craig Smith,C,F,pbp_rosterSpots_2022plus
8475227,Chris Wideman,D,D,pbp_rosterSpots_2022plus
8475231,Casey Cizikas,C,F,pbp_rosterSpots_2022plus
8475233,David Savard,D,D,pbp_rosterSpots_2022plus
8475235,Nicolas Deslauriers,L,F,pbp_rosterSpots_2022plus
8475253,Garrett Wilson,L,F,pbp_rosterSpots_2022plus
8475278,Byron Froese,C,F,pbp_rosterSpots_2022plus
8475279,Ben Chiarot,D,D,pbp_rosterSpots_2022plus
8475287,Erik Haula,L,F,pbp_rosterSpots_2022plus
8475311,Darcy Kuemper,G,G,pbp_rosterSpots_2022plus
8475314,Anders Lee,L,F,pbp_rosterSpots_2022plus
8475324,Nick Jensen,D,D,pbp_rosterSpots_2022plus
8475343,Nic Dowd,C,F,pbp_rosterSpots_2022plus
8475413,Justin Dowling,C,F,pbp_rosterSpots_2022plus
8475455,Brenden Dillon,D,D,pbp_rosterSpots_2022plus
8475461,Andrew Agozzino,L,F,pbp_rosterSpots_2022plus
8475462,Radko Gudas,D,D,pbp_rosterSpots_2022plus
8475625,Matt Irwin,D,D,pbp_rosterSpots_2022plus
8475660,Cam Talbot,G,G,pbp_rosterSpots_2022plus
8475683,Sergei Bobrovsky,G,G,pbp_rosterSpots_2022plus
8475690,Chris Tanev,D,D,pbp_rosterSpots_2022plus
8475692,Mats Zuccarello,R,F,pbp_rosterSpots_2022plus
8475714,Calle Jarnkrok,C,F,pbp_rosterSpots_2022plus
8475717,Calvin Pickard,G,G,pbp_rosterSpots_2022plus
8475718,Justin Holl,D,D,pbp_rosterSpots_2022plus
8475722,Jason Zucker,L,F,pbp_rosterSpots_2022plus
8475726,Tyler Toffoli,C,F,pbp_rosterSpots_2022plus
8475744,Evgeny Kuznetsov,C,F,pbp_rosterSpots_2022plus
8475745,Charlie Coyle,C,F,pbp_rosterSpots_2022plus
8475747,Patrik Nemeth,D,D,pbp_rosterSpots_2022plus
8475750,Jon Merrill,D,D,pbp_rosterSpots_2022plus
8475752,Tyler Pitlick,C,F,pbp_rosterSpots_2022plus
8475753,Justin Faulk,D,D,pbp_rosterSpots_2022plus
8475754,Brock Nelson,C,F,pbp_rosterSpots_2022plus
8475755,Alexander Petrovic,D,D,pbp_rosterSpots_2022plus
8475760,Nick Bjugstad,C,F,pbp_rosterSpots_2022plus
8475762,Derek Forbort,D,D,pbp_rosterSpots_2022plus
8475763,Kevin Hayes,R,F,pbp_rosterSpots_2022plus
8475764,Cam Fowler,D,D,pbp_rosterSpots_2022plus
8475765,Vladimir Tarasenko,R,F,pbp_rosterSpots_2022plus
8475766,Austin Watson,L,F,pbp_rosterSpots_2022plus
8475768,Jaden Schwartz,C,F,pbp_rosterSpots_2022plus
8475772,Riley Sheahan,C,F,pbp_rosterSpots_2022plus
8475780,Chris Wagner,R,F,pbp_rosterSpots_2022plus
8475784,Jeff Skinner,L,F,pbp_rosterSpots_2022plus
8475786,Zach Hyman,L,F,pbp_rosterSpots_2022plus
8475789,Jack Campbell,G,G,pbp_rosterSpots_2022plus
8475790,Erik Gudbranson,D,D,pbp_rosterSpots_2022plus
8475791,Taylor Hall,L,F,pbp_rosterSpots_2022plus
8475793,Ryan Johansen,C,F,pbp_rosterSpots_2022plus
8475794,Tyler Seguin,C,F,pbp_rosterSpots_2022plus
8475795,Dylan McIlrath,D,D,pbp_rosterSpots_2022plus
8475797,Jarred Tinordi,D,D,pbp_rosterSpots_2022plus
8475798,Mikael Granlund,C,F,pbp_rosterSpots_2022plus
8475799,Nino Niederreiter,R,F,pbp_rosterSpots_2022plus
8475809,Scott Wedgewood,G,G,pbp_rosterSpots_2022plus
8475810,Bryan Rust,R,F,pbp_rosterSpots_2022plus
8475825,Jani Hakanpää,D,D,pbp_rosterSpots_2022plus
8475831,Philipp Grubauer,G,G,pbp_rosterSpots_2022plus
8475839,Louis Domingue,G,G,pbp_rosterSpots_2022plus
8475842,Sam Carrick,C,F,pbp_rosterSpots_2022plus
8475848,Brendan Gallagher,R,F,pbp_rosterSpots_2022plus
8475852,Petr Mrazek,G,G,pbp_rosterSpots_2022plus
8475855,Jesper Fast,R,F,pbp_rosterSpots_2022plus
8475857,Kevin Gravel,D,D,pbp_rosterSpots_2022plus
8475876,Zane McIntyre,G,G,pbp_rosterSpots_2022plus
8475883,Frederik Andersen,G,G,pbp_rosterSpots_2022plus
8475906,John Klingberg,D,D,pbp_rosterSpots_2022plus
8475913,Mark Stone,R,F,pbp_rosterSpots_2022plus
8475958,Michael Sgarbossa,C,F,pbp_rosterSpots_2022plus
8475968,Alex Belzile,R,F,pbp_rosterSpots_2022plus
8476166,Taylor Fedun,D,D,pbp_rosterSpots_2022plus
8476234,Keith Kinkaid,G,G,pbp_rosterSpots_2022plus
8476278,Colin Blackwell,C,F,pbp_rosterSpots_2022plus
8476292,Ondrej Palat,L,F,pbp_rosterSpots_2022plus
8476310,Lukas Sedlak,C,F,pbp_rosterSpots_2022plus
8476312,Josh Manson,D,D,pbp_rosterSpots_2022plus
8476316,Laurent Brossoit,G,G,pbp_rosterSpots_2022plus
8476323,Max McCormick,L,F,pbp_rosterSpots_2022plus
8476326,Josh Archibald,R,F,pbp_rosterSpots_2022plus
8476329,Travis Boyd,C,F,pbp_rosterSpots_2022plus
8476331,Dylan DeMelo,D,D,pbp_rosterSpots_2022plus
8476341,Anton Forsberg,G,G,pbp_rosterSpots_2022plus
8476346,Johnny Gaudreau,L,F,pbp_rosterSpots_2022plus
8476372,Nick Seeler,D,D,pbp_rosterSpots_2022plus
8476374,Sean Kuraly,C,F,pbp_rosterSpots_2022plus
8476389,Vincent Trocheck,C,F,pbp_rosterSpots_2022plus
8476390,Joseph Cramarossa,C,F,pbp_rosterSpots_2022plus
8476391,T.J. Tynan,C,F,pbp_rosterSpots_2022plus
8476392,Adam Lowry,C,F,pbp_rosterSpots_2022plus
8476393,Nick Cousins,C,F,pbp_rosterSpots_2022plus
8476396,Steven Fogarty,C,F,pbp_rosterSpots_2022plus
8476399,Blake Coleman,C,F,pbp_rosterSpots_2022plus
8476404,Andy Andreoff,C,F,pbp_rosterSpots_2022plus
8476410,Josh Leivo,L,F,pbp_rosterSpots_2022plus
8476412,Jordan Binnington,G,G,pbp_rosterSpots_2022plus
8476419,Jean-Gabriel Pageau,C,F,pbp_rosterSpots_2022plus
8476422,Mike Reilly,D,D,pbp_rosterSpots_2022plus
8476425,Joseph LaBate,C,F,pbp_rosterSpots_2022plus
8476429,Scott Mayfield,D,D,pbp_rosterSpots_2022plus
8476432,Boone Jenner,C,F,pbp_rosterSpots_2022plus
8476433,Magnus Hellberg,G,G,pbp_rosterSpots_2022plus
8476434,John Gibson,G,G,pbp_rosterSpots_2022plus
8476438,Brandon Saad,L,F,pbp_rosterSpots_2022plus
8476439,Brett Ritchie,R,F,pbp_rosterSpots_2022plus
8476441,Joel Edmundson,D,D,pbp_rosterSpots_2022plus
8476442,Matt Nieto,L,F,pbp_rosterSpots_2022plus
8476444,Christopher Gibson,G,G,pbp_rosterSpots_2022plus
8476448,William Karlsson,C,F,pbp_rosterSpots_2022plus
8476449,Scott Harrington,D,D,pbp_rosterSpots_2022plus
8476453,Nikita Kucherov,R,F,pbp_rosterSpots_2022plus
8476454,Ryan Nugent-Hopkins,C,F,pbp_rosterSpots_2022plus
8476455,Gabriel Landeskog,L,F,pbp_rosterSpots_2022plus
8476456,Jonathan Huberdeau,C,F,pbp_rosterSpots_2022plus
8476457,Adam Larsson,D,D,pbp_rosterSpots_2022plus
8476458,Ryan Strome,C,F,pbp_rosterSpots_2022plus
8476459,Mika Zibanejad,C,F,pbp_rosterSpots_2022plus
8476460,Mark Scheifele,C,F,pbp_rosterSpots_2022plus
8476461,Sean Couturier,C,F,pbp_rosterSpots_2022plus
8476462,Dougie Hamilton,D,D,pbp_rosterSpots_2022plus
8476463,Jonas Brodin,D,D,pbp_rosterSpots_2022plus
8476467,Jamie Oleksiak,D,D,pbp_rosterSpots_2022plus
8476468,J.T. Miller,C,F,pbp_rosterSpots_2022plus
8476469,Joel Armia,R,F,pbp_rosterSpots_2022plus
8476470,Nathan Beaulieu,D,D,pbp_rosterSpots_2022plus
8476473,Connor Murphy,D,D,pbp_rosterSpots_2022plus
8476474,Stefan Noesen,R,F,pbp_rosterSpots_2022plus
8476479,Phillip Danault,C,F,pbp_rosterSpots_2022plus
8476480,Vladislav Namestnikov,C,F,pbp_rosterSpots_2022plus
8476483,Rickard Rakell,R,F,pbp_rosterSpots_2022plus
8476525,Colin Miller,D,D,pbp_rosterSpots_2022plus
8476539,Jonathan Marchessault,R,F,pbp_rosterSpots_2022plus
8476624,Barclay Goodrow,C,F,pbp_rosterSpots_2022plus
8476779,Brad Hunt,D,D,pbp_rosterSpots_2022plus
8476792,Torey Krug,D,D,pbp_rosterSpots_2022plus
8476822,Luke Glendening,C,F,pbp_rosterSpots_2022plus
8476826,Yanni Gourde,C,F,pbp_rosterSpots_2022plus
8476850,Ryan Murray,D,D,pbp_rosterSpots_2022plus
8476851,Alex Galchenyuk,C,F,pbp_rosterSpots_2022plus
8476853,Morgan Rielly,D,D,pbp_rosterSpots_2022plus
8476854,Hampus Lindholm,D,D,pbp_rosterSpots_2022plus
8476856,Mathew Dumba,D,D,pbp_rosterSpots_2022plus
8476858,Phillip Di Giuseppe,L,F,pbp_rosterSpots_2022plus
8476861,Oscar Dansk,G,G,pbp_rosterSpots_2022plus
8476867,Brendan Gaunce,C,F,pbp_rosterSpots_2022plus
8476869,Brady Skjei,D,D,pbp_rosterSpots_2022plus
8476871,Tanner Pearson,L,F,pbp_rosterSpots_2022plus
8476872,Scott Laughton,C,F,pbp_rosterSpots_2022plus
8476873,Mark Jankowski,L,F,pbp_rosterSpots_2022plus
8476874,Olli Määttä,D,D,pbp_rosterSpots_2022plus
8476875,Mike Matheson,D,D,pbp_rosterSpots_2022plus
8476876,Malcolm Subban,G,G,pbp_rosterSpots_2022plus
8476878,Zemgus Girgensons,C,F,pbp_rosterSpots_2022plus
8476879,Cody Ceci,D,D,pbp_rosterSpots_2022plus
8476880,Tom Wilson,R,F,pbp_rosterSpots_2022plus
8476881,Tomas Hertl,C,F,pbp_rosterSpots_2022plus
8476882,Teuvo Teravainen,L,F,pbp_rosterSpots_2022plus
8476883,Andrei Vasilevskiy,G,G,pbp_rosterSpots_2022plus
8476884,Derrick Pouliot,D,D,pbp_rosterSpots_2022plus
8476885,Jacob Trouba,D,D,pbp_rosterSpots_2022plus
8476887,Filip Forsberg,L,F,pbp_rosterSpots_2022plus
8476889,Radek Faksa,C,F,pbp_rosterSpots_2022plus
8476891,Matt Grzelcyk,D,D,pbp_rosterSpots_2022plus
8476892,Colton Parayko,D,D,pbp_rosterSpots_2022plus
8476897,Oskar Sundqvist,C,F,pbp_rosterSpots_2022plus
8476899,Matt Murray,G,G,pbp_rosterSpots_2022plus
8476902,Esa Lindell,D,D,pbp_rosterSpots_2022plus
8476903,Jon Gillies,G,G,pbp_rosterSpots_2022plus
8476904,Chris Driedger,G,G,pbp_rosterSpots_2022plus
8476905,Chandler Stephenson,C,F,pbp_rosterSpots_2022plus
8476906,Shayne Gostisbehere,D,D,pbp_rosterSpots_2022plus
8476907,Mackenzie MacEachern,L,F,pbp_rosterSpots_2022plus
8476913,Devin Shore,C,F,pbp_rosterSpots_2022plus
8476914,Joonas Korpisalo,G,G,pbp_rosterSpots_2022plus
8476915,Jujhar Khaira,L,F,pbp_rosterSpots_2022plus
8476917,Adam Pelech,D,D,pbp_rosterSpots_2022plus
8476918,Jimmy Vesey,L,F,pbp_rosterSpots_2022plus
8476919,Chris Tierney,C,F,pbp_rosterSpots_2022plus
8476921,Jordan Martinook,L,F,pbp_rosterSpots_2022plus
8476923,Damon Severson,D,D,pbp_rosterSpots_2022plus
8476925,Colton Sissons,C,F,pbp_rosterSpots_2022plus
8476927,Teddy Blueger,C,F,pbp_rosterSpots_2022plus
8476931,Jake McCabe,D,D,pbp_rosterSpots_2022plus
8476932,Anthony Stolarz,G,G,pbp_rosterSpots_2022plus
8476934,Brock McGinn,L,F,pbp_rosterSpots_2022plus
8476941,Connor Carrick,D,D,pbp_rosterSpots_2022plus
8476945,Connor Hellebuyck,G,G,pbp_rosterSpots_2022plus
8476948,Charles Hudon,L,F,pbp_rosterSpots_2022plus
8476952,Dominic Toninato,C,F,pbp_rosterSpots_2022plus
8476958,Jaccob Slavin,D,D,pbp_rosterSpots_2022plus
8476960,Andreas Athanasiou,C,F,pbp_rosterSpots_2022plus
8476967,Brett Kulak,D,D,pbp_rosterSpots_2022plus
8476979,Erik Gustafsson,D,D,pbp_rosterSpots_2022plus
8476981,Josh Anderson,R,F,pbp_rosterSpots_2022plus
8476988,Matt Benning,D,D,pbp_rosterSpots_2022plus
8476994,Vinnie Hinostroza,C,F,pbp_rosterSpots_2022plus
8476999,Linus Ullmark,G,G,pbp_rosterSpots_2022plus
8477015,Connor Brown,R,F,pbp_rosterSpots_2022plus
8477018,Ben Hutton,D,D,pbp_rosterSpots_2022plus
8477021,Alexander Kerfoot,C,F,pbp_rosterSpots_2022plus
8477034,Jaycob Megna,D,D,pbp_rosterSpots_2022plus
8477035,Matt Tomkins,G,G,pbp_rosterSpots_2022plus
8477070,Liam O'Brien,C,F,pbp_rosterSpots_2022plus
8477073,Kurtis MacDermid,D,D,pbp_rosterSpots_2022plus
8477126,Jayson Megna,C,F,pbp_rosterSpots_2022plus
8477149,Scott Sabourin,R,F,pbp_rosterSpots_2022plus
8477180,Aaron Dell,G,G,pbp_rosterSpots_2022plus
8477210,Buddy Robinson,R,F,pbp_rosterSpots_2022plus
8477220,Nate Schmidt,D,D,pbp_rosterSpots_2022plus
8477234,Troy Grosenick,G,G,pbp_rosterSpots_2022plus
8477244,Chad Ruhwedel,D,D,pbp_rosterSpots_2022plus
8477293,Antti Raanta,G,G,pbp_rosterSpots_2022plus
8477320,Anton Blidh,L,F,pbp_rosterSpots_2022plus
8477330,Dominik Kubalik,L,F,pbp_rosterSpots_2022plus
8477335,Kyle Burroughs,D,D,pbp_rosterSpots_2022plus
8477341,Andreas Johnsson,L,F,pbp_rosterSpots_2022plus
8477346,MacKenzie Weegar,D,D,pbp_rosterSpots_2022plus
8477353,Tyler Motte,C,F,pbp_rosterSpots_2022plus
8477357,Saku Maenalanen,R,F,pbp_rosterSpots_2022plus
8477359,Tucker Poolman,D,D,pbp_rosterSpots_2022plus
8477361,Cal Petersen,G,G,pbp_rosterSpots_2022plus
8477365,Connor Clifton,D,D,pbp_rosterSpots_2022plus
8477369,Carson Soucy,D,D,pbp_rosterSpots_2022plus
8477380,Jonny Brodzinski,C,F,pbp_rosterSpots_2022plus
8477384,Joshua Brown,D,D,pbp_rosterSpots_2022plus
8477392,Hudson Fasching,R,F,pbp_rosterSpots_2022plus
8477401,John Hayden,C,F,pbp_rosterSpots_2022plus
8477402,Pavel Buchnevich,L,F,pbp_rosterSpots_2022plus
8477404,Jake Guentzel,C,F,pbp_rosterSpots_2022plus
8477405,Marcus Hogberg,G,G,pbp_rosterSpots_2022plus
8477406,Mattias Janmark,C,F,pbp_rosterSpots_2022plus
8477407,Anthony Duclair,L,F,pbp_rosterSpots_2022plus
8477409,Carter Verhaeghe,C,F,pbp_rosterSpots_2022plus
8477416,Oliver Bjorkstrand,R,F,pbp_rosterSpots_2022plus
8477419,Mason Geertsen,L,F,pbp_rosterSpots_2022plus
8477424,Juuse Saros,G,G,pbp_rosterSpots_2022plus
8477425,Miles Wood,L,F,pbp_rosterSpots_2022plus
8477426,Nick Paul,L,F,pbp_rosterSpots_2022plus
8477429,Andrew Copp,C,F,pbp_rosterSpots_2022plus
8477433,Ben Harpur,D,D,pbp_rosterSpots_2022plus
8477435,Ryan Graves,D,D,pbp_rosterSpots_2022plus
8477444,Andre Burakovsky,L,F,pbp_rosterSpots_2022plus
8477446,Michael McCarron,C,F,pbp_rosterSpots_2022plus
8477447,Shea Theodore,D,D,pbp_rosterSpots_2022plus
8477450,Jason Dickinson,C,F,pbp_rosterSpots_2022plus
8477451,Ryan Hartman,R,F,pbp_rosterSpots_2022plus
8477454,Adam Erne,L,F,pbp_rosterSpots_2022plus
8477456,J.T. Compher,L,F,pbp_rosterSpots_2022plus
8477457,Zach Fucale,G,G,pbp_rosterSpots_2022plus
8477460,Laurent Dauphin,C,F,pbp_rosterSpots_2022plus
8477462,Robert Hagg,D,D,pbp_rosterSpots_2022plus
8477463,Steven Santini,D,D,pbp_rosterSpots_2022plus
8477464,Nic Petan,C,F,pbp_rosterSpots_2022plus
8477465,Tristan Jarry,G,G,pbp_rosterSpots_2022plus
8477467,Gustav Olofsson,D,D,pbp_rosterSpots_2022plus
8477471,Dillon Heatherington,D,D,pbp_rosterSpots_2022plus
8477473,Justin Bailey,R,F,pbp_rosterSpots_2022plus
8477476,Artturi Lehkonen,L,F,pbp_rosterSpots_2022plus
8477478,William Carrier,L,F,pbp_rosterSpots_2022plus
8477479,Tyler Bertuzzi,L,F,pbp_rosterSpots_2022plus
8477480,Eric Comrie,G,G,pbp_rosterSpots_2022plus
8477482,Zachary Sanford,L,F,pbp_rosterSpots_2022plus
8477484,Spencer Martin,G,G,pbp_rosterSpots_2022plus
8477488,Brett Pesce,D,D,pbp_rosterSpots_2022plus
8477492,Nathan MacKinnon,C,F,pbp_rosterSpots_2022plus
8477493,Aleksander Barkov,C,F,pbp_rosterSpots_2022plus
8477494,Jonathan Drouin,L,F,pbp_rosterSpots_2022plus
8477495,Seth Jones,D,D,pbp_rosterSpots_2022plus
8477496,Elias Lindholm,C,F,pbp_rosterSpots_2022plus
8477497,Sean Monahan,C,F,pbp_rosterSpots_2022plus
8477498,Darnell Nurse,D,D,pbp_rosterSpots_2022plus
8477499,Rasmus Ristolainen,D,D,pbp_rosterSpots_2022plus
8477500,Bo Horvat,C,F,pbp_rosterSpots_2022plus
8477501,Valeri Nichushkin,R,F,pbp_rosterSpots_2022plus
8477503,Max Domi,C,F,pbp_rosterSpots_2022plus
8477504,Josh Morrissey,D,D,pbp_rosterSpots_2022plus
8477505,Alexander Wennberg,C,F,pbp_rosterSpots_2022plus
8477506,Ryan Pulock,D,D,pbp_rosterSpots_2022plus
8477507,Nikita Zadorov,D,D,pbp_rosterSpots_2022plus
8477508,Curtis Lazar,C,F,pbp_rosterSpots_2022plus
8477511,Anthony Mantha,R,F,pbp_rosterSpots_2022plus
8477520,Jean-Sebastien Dea,C,F,pbp_rosterSpots_2022plus
8477527,Ross Johnston,L,F,pbp_rosterSpots_2022plus
8477541,Dakota Mermis,D,D,pbp_rosterSpots_2022plus
8477573,Nathan Walker,L,F,pbp_rosterSpots_2022plus
