season,team,points,NFI_composite,P1_NF_F,P2_DefF,P3_OffF,P4_DefD,P5_OffD,P6_SvPct,P7_SvPct
20212022,PIT,103,12.169421006209626,10.167682926829269,21.829268292682926,8.917682926829269,60.243902439024396,5.960365853658536,0.9343863912515188,0.853515625
20212022,SEA,60,-12.253924483445292,7.271341463414634,17.835365853658537,6.722560975609756,54.23780487804878,4.7560975609756095,0.9143730886850153,0.8333333333333334
20212022,SJS,77,-10.802094127349996,7.728658536585366,22.66768292682927,6.966463414634146,58.97865853658537,5.198170731707317,0.9302325581395349,0.866913123844732
20212022,STL,109,-2.6187283966580273,7.789634146341463,25.503048780487806,9.786585365853659,66.55487804878048,5.213414634146341,0.9273127753303965,0.8898916967509025
20212022,TBL,110,12.461859337193415,10.990853658536585,25.0,9.588414634146343,69.46646341463415,5.86890243902439,0.929778933680104,0.8717434869739479
20212022,TOR,115,13.513776997668199,10.564024390243901,20.365853658536583,9.375,61.38719512195122,5.411585365853659,0.9337837837837838,0.8277227722772278
20212022,VAN,92,3.741636371641074,7.6067073170731705,21.615853658536587,7.63719512195122,57.98780487804878,4.878048780487805,0.9482758620689655,0.8886861313868613
20212022,VGK,94,14.273647943761242,9.664634146341463,19.801829268292682,7.621951219512196,57.19512195121951,5.640243902439025,0.9357923497267759,0.873015873015873
20212022,WPG,89,6.855093048193355,8.963414634146341,23.36890243902439,7.98780487804878,58.323170731707314,6.432926829268292,0.948180815876516,0.8722044728434505
20212022,WSH,100,0.07887809413877322,8.582317073170731,21.067073170731707,7.63719512195122,58.96341463414634,4.801829268292683,0.9388816644993498,0.8555133079847909
20222023,ANA,58,-34.341733853968776,7.682926829268293,26.981707317073173,5.396341463414634,66.03658536585365,3.810975609756098,0.9345300950369588,0.8614823815309842
20222023,ARI,70,-17.84213756719522,7.439024390243902,21.768292682926827,5.884146341463414,57.14939024390244,4.1310975609756095,0.9316239316239316,0.8620689655172413
20222023,BOS,135,25.992588679735974,9.710365853658537,19.710365853658537,8.231707317073171,59.11585365853659,5.304878048780488,0.9482496194824962,0.8990476190476191
20222023,BUF,89,-3.668454906508762,8.703703703703704,22.26851851851852,8.533950617283951,58.626543209876544,4.799382716049383,0.917189460476788,0.8668730650154799
20222023,CAR,113,33.20590210681015,13.521341463414632,19.435975609756095,8.094512195121952,62.271341463414636,5.4573170731707314,0.9230769230769231,0.8783269961977186
20222023,CBJ,59,-21.987978491071818,7.453703703703703,23.703703703703702,7.361111111111112,66.17283950617285,3.8580246913580245,0.9229885057471264,0.8513513513513513
20222023,CGY,93,4.889569554412226,8.71951219512195,18.79573170731707,8.628048780487806,54.69512195121951,5.777439024390245,0.9122340425531915,0.8482328482328483
20222023,CHI,59,-27.173881156069104,7.210365853658537,21.996951219512198,5.716463414634147,59.375,3.36890243902439,0.9230769230769231,0.8507692307692307
20222023,COL,107,21.08363119645843,9.1820987654321,21.388888888888886,8.08641975308642,64.79938271604938,8.040123456790123,0.94,0.8839590443686007
