player_id,player_name,es_toi_min,CNFI_SA,CNFI_SA_per60,CNFI_SA_lo95,CNFI_SA_hi95,MNFI_SA,MNFI_SA_per60,MNFI_SA_lo95,MNFI_SA_hi95,FNFI_SA,FNFI_SA_per60,FNFI_SA_lo95,FNFI_SA_hi95,TNFI_SA,TNFI_SA_per60,TNFI_SA_lo95,TNFI_SA_hi95,P4_weighted,TNFI_rank_raw,P4_weighted_rank,rank_delta,weighting_flag
8478397,Rasmus Andersson,7060.67,894,7.597,7.1434,8.0743,737,6.2629,5.8475,6.7035,541,4.5973,4.2385,4.9833,2172,18.4572,17.8169,19.1083,1.801,99,70,29,LOW_DANGER_MIX
8480834,Ty Emberson,2010.33,250,7.4614,6.6398,8.3716,209,6.2378,5.483,7.0853,160,4.7753,4.1133,5.5352,619,18.4745,17.2896,19.7096,1.7745,100,62,38,LOW_DANGER_MIX
8481056,Spencer Stastney,1240.53,195,9.4314,8.2767,10.706,124,5.9974,5.0669,7.0716,63,3.0471,2.3927,3.8655,382,18.4759,16.9656,20.0435,1.957,101,208,-107,HIGH_DANGER_MIX
8474590,John Carlson,6237.02,846,8.1385,7.6421,8.6619,594,5.7143,5.292,6.1665,482,4.6368,4.2546,5.0503,1922,18.4896,17.8094,19.1841,1.8221,102,98,4,
8480883,Ty Smith,1277.83,154,7.231,6.2268,8.3698,152,7.1371,6.1392,8.2702,88,4.132,3.3737,5.0443,394,18.5001,17.0149,20.0493,1.8149,103,88,15,LOW_DANGER_MIX
8478396,Noah Hanifin,6849.22,909,7.963,7.4934,8.4577,690,6.0445,5.6303,6.4859,514,4.5027,4.1426,4.8917,2113,18.5101,17.861,19.1733,1.8306,104,105,-1,
8476869,Brady Skjei,6775.6,1024,9.0678,8.5675,9.5908,627,5.5523,5.1517,5.9799,445,3.9406,3.601,4.3092,2096,18.5607,17.9059,19.2263,1.8801,105,138,-33,HIGH_DANGER_MIX
8479410,Mikhail Sergachev,5903.13,755,7.6739,7.1773,8.1998,638,6.4847,6.0248,6.9755,435,4.4214,4.038,4.8382,1828,18.58,17.8803,19.2953,1.8207,106,97,9,
8480865,Noah Dobson,6690.12,912,8.1792,7.6985,8.6853,639,5.7308,5.3222,6.1676,521,4.6726,4.3017,5.0726,2072,18.5826,17.9249,19.2542,1.812,107,83,24,LOW_DANGER_MIX
8477488,Brett Pesce,5589.8,844,9.0594,8.5103,9.6366,502,5.3884,4.9552,5.855,386,4.1433,3.7618,4.5599,1732,18.591,17.871,19.3253,1.8744,108,135,-27,HIGH_DANGER_MIX
8480879,Jacob Bernard-Docker,2383.57,337,8.4831,7.677,9.3553,237,5.9658,5.2823,6.7246,166,4.1786,3.6055,4.8333,740,18.6275,17.5289,19.756,1.8618,109,125,-16,HIGH_DANGER_MIX
