player_id,player_name,es_toi_min,QoT_spatial_TNFI,P5_weighted,P5_QoT_adj,z_P5_QoT_adj,P4_weighted,P4_QoT_adj,z_P4_QoT_adj,twoway_D_QoT_adj,twoway_D_score,off_rank_QoT_adj,def_rank_QoT_adj,twoway_D_rank_QoT_adj,twoway_D_rank_unadj,rank_delta
8479324,Ryan Lindgren,5754.1,3.1311383315128483,1.9072,0.16528451169297687,1.0302926255169862,2.1371,0.16041045023698963,0.8491092963789924,0.18118332913799384,-0.826456284017408,51,276,162,255,93
8473507,Jeff Petry,4674.62,3.1835322167841427,1.7806,-0.005924794967247848,-0.03693190910588284,1.9244,-0.0394100117503835,-0.2086111428414894,0.17167923373560656,-0.2922911997254346,177,154,163,217,54
8477986,Brandon Montour,6429.37,3.481651260666716,2.2357,0.1953500920267337,1.2177048965306068,2.089,0.1984740277533128,1.0505932861988752,0.1671116103317316,0.8732758245129657,40,294,164,102,-62
8479398,Samuel Girard,5417.18,3.6057848114195705,2.2993,0.15326005580049218,0.9553387892198879,2.0101,0.1500887104741171,0.7944726740485177,0.16086611517137017,1.560235473414845,58,272,165,43,-122
8478851,Alexandre Carrier,5210.57,3.277291389062571,1.7829,-0.08345341708069087,-0.5202026451948676,1.8125,-0.12826200114495356,-0.6789361751896629,0.15873352999479529,0.293364182719021,251,80,166,164,-2
8476869,Brady Skjei,6775.6,3.5176764539419154,2.0912,0.020177449866567,0.12577511096671204,1.8801,-0.0015702089491638205,-0.008311671802073761,0.1340867827687858,1.3087587536114025,151,187,167,60,-107
8477969,Marcus Pettersson,6197.62,3.469377408788798,2.0304,0.0005003195578492381,0.003118716603113148,1.8715,-0.022043147648062034,-0.11668218349722237,0.11980090010033552,1.0841791628846753,172,170,168,77,-91
8480222,Sebastian Aho,2445.9,3.3421052906683784,1.9887,0.06716260109379668,0.4186546695071748,1.9816,0.056770642619795586,0.3005071074774781,0.11814756202969667,0.3335861287746302,110,230,169,158,-11
8479425,Filip Hronek,6266.98,3.2206395120657185,1.8107,-0.0074187625834318816,-0.04624448051350978,1.925,-0.029688244627175342,-0.15715038807549972,0.11090590756198994,-0.1622991584150626,180,164,170,204,34
8481607,Albert Johansson,1590.3,3.048456420988192,1.5828,-0.08871829056630842,-0.5530209671958283,1.8731,-0.12391453242167216,-0.6559234842882821,0.1029025170924538,-0.9029731976792056,258,85,171,263,92
8481059,Scott Perunovich,1437.27,3.1898597823290555,1.6955,-0.09641222348765832,-0.6009807080626186,1.8307,-0.13155456075565186,-0.696364858733631,0.09538415067101236,-0.1866478059189261,262,78,172,207,35
8470613,Brent Burns,6833.0,3.620549350934897,2.1921,0.0334892020162032,0.20875324323089087,1.8812,0.02481815018720468,0.1313712542527727,0.07738198897811815,1.7491994768337689,143,206,173,35,-138
8476885,Jacob Trouba,6455.68,3.1537040431757752,1.9804,0.2192715683053017,1.36681820635524,2.2171,0.24595758497684939,1.3019405631629517,0.06487764319228839,-0.9142545583347884,32,310,174,265,91
8482482,Adam Wilsby,962.4,3.3701620878601783,1.8683,-0.07712557332487813,-0.4807583518956389,1.8152,-0.10273239633077558,-0.5437989397503612,0.06304058785472227,0.65704790620136,247,105,175,119,-56
8483485,Denton Mateychuk,1448.53,3.271599188869084,1.6934,-0.16810695259942876,-1.047886167840394,1.7324,-0.20976126574210796,-1.1103406324133465,0.06245446457295256,0.3096113782051201,295,41,176,162,-14
8482655,J.J. Moser,5155.82,3.281414767672594,1.842,-0.027864152349478255,-0.17368978126199525,1.8957,-0.04404838645932263,-0.23316370210200343,0.05947392084000819,0.1267699871394085,197,148,177,176,-1
8478013,Jake Walman,4444.12,3.0379818224056354,1.7719,0.10930001312299686,0.6813160914842004,2.1203,0.12071058713354876,0.6389638677220516,0.042352223762148755,-1.3382428880975938,88,260,178,286,108
8482176,Wyatt Kaiser,2353.55,2.8915679658089495,1.5336,-0.004340008056799682,-0.02705322023100764,2.023,-0.012581071470274985,-0.06659606483266335,0.03954284460165571,-1.891411189303112,175,179,179,314,135
8480883,Ty Smith,1277.83,3.5045120673144825,2.0066,-0.05321410172354435,-0.33170740571941715,1.8149,-0.07000629684573845,-0.37056811054992617,0.03886070483050902,1.270041074581901,224,124,180,62,-118
8478055,Gustav Forsling,6733.93,3.575546858644124,2.3897,0.26940531407161883,1.6793243693557183,2.1803,0.312855574714499,1.6560553038882806,0.023269065467437677,1.0845951652658392,18,326,181,76,-105
8475764,Cam Fowler,6786.5,3.118236787711538,1.7014,-0.0295308300622128,-0.18407893230195246,1.945,-0.03486102526917234,-0.18453174711264383,0.00045281481069137097,-0.7483923234793035,201,160,182,251,69
8475825,Jani Hakanpää,3493.95,3.312722150907887,1.8538,-0.04271994724311501,-0.2662926257047826,1.8828,-0.049252361811275236,-0.26071018578147614,-0.005582439923306481,0.2452829712526402,213,145,183,169,-14
8480834,Ty Emberson,2010.33,3.191768113849109,1.6303,-0.16323701892984865,-1.0175296831635636,1.7745,-0.18728545203760283,-0.9913681943210497,-0.026161488842513902,-0.1858802261167046,294,48,184,206,22
8478399,Jonas Siegenthaler,5494.52,3.44976269190644,1.872,-0.14119927893674844,-0.8801585479895191,1.7419,-0.15646486473174726,-0.8282239156122818,-0.05193463237723728,1.050378343472857,287,63,185,84,-101
8480817,K'Andre Miller,6612.35,3.249286506405379,1.9739,0.13139055616102513,0.8190163717622656,2.1143,0.16665379950898118,0.8821575541424794,-0.06314118238021382,-0.4143057069074047,69,281,186,225,39
8480887,Jordan Harris,2458.58,3.06859785220114,1.7391,0.050432851758758224,0.31437062504295177,2.0639,0.07183666231398522,0.3802568828996253,-0.06588625785667351,-1.1932002420432206,133,243,187,278,91
8482111,Justin Barron,2739.63,3.2430233471522723,1.8675,0.030323147747561396,0.18901780443171615,1.9988,0.04961418095880421,0.262625422608755,-0.07360761817703884,-0.2907191507948962,147,226,188,216,28
8477495,Seth Jones,6413.62,3.059698061980774,1.6073,-0.07378967103953671,-0.45996417409380824,1.9229,-0.0713510965409665,-0.37768661137888565,-0.08227756271492259,-1.0507687923065672,240,123,189,272,83
8477435,Ryan Graves,4816.88,3.382835994322801,1.9667,0.010483583868815982,0.06534888864295942,1.9438,0.02898312104703704,0.15341791936097757,-0.08806903071801815,0.4307203075036638,161,209,190,142,-48
8479442,Troy Stecher,3884.25,3.25171460524662,1.9115,0.06692321938595303,0.41716249576537184,2.0437,0.09665067815545392,0.5116062525969128,-0.09444375683154099,-0.327101537277876,112,252,191,218,27
8477205,Andrej Sustr,506.45,3.0507597784476923,1.7132,0.03972058021552205,0.2475962233734659,2.0632,0.066751682124218,0.35334028273638524,-0.10574405936291933,-1.3041090069502352,139,237,192,283,91
8479376,Victor Mete,598.33,3.152736601264714,1.8474,0.08709526963348169,0.542903948480508,2.0966,0.12521976705584592,0.6628325532435458,-0.1199286047630378,-0.8825572771039328,99,263,193,260,67
8481605,Jackson LaCombe,3430.42,3.245466307041932,1.6971,-0.14215684205109813,-0.8861274691248167,1.8093,-0.13928528723105682,-0.7372863305475408,-0.14884113857727588,-0.0695165832353692,288,72,194,192,-2
8477851,Jordan Oesterle,2309.17,3.06221798134373,1.5942,-0.08903518582697956,-0.55499631774009,1.917,-0.07663164644567577,-0.4056384312725245,-0.14935788646756543,-1.0783434494214934,259,122,195,274,79
8476988,Matt Benning,2466.28,3.1778698877181752,1.7845,0.0027962365788363197,0.017430198975495803,1.9988,0.033598066614725086,0.17784645988322934,-0.16041626090773353,-0.6576777597936917,171,214,196,243,47
8478443,Brandon Carlo,5648.6,3.2801621272041204,1.8235,-0.04529762669474202,-0.2823604599062786,1.9182,-0.021856312287810598,-0.11569319779805232,-0.1666672621082263,-0.0707364658164572,215,171,197,193,-4
8474578,Erik Karlsson,6868.53,3.5639188456386246,2.0663,-0.04409433982261923,-0.27485983218241555,1.8555,-0.014802839673748514,-0.07835667041154856,-0.196503161770867,1.325185662311996,214,177,198,59,-139
8476525,Colin Miller,3368.02,3.3608760392537307,1.8856,-0.051919227235027954,-0.3236358712312573,1.9014,-0.018815105761361917,-0.09959501510483662,-0.2240408561264207,0.2902194531920565,223,174,199,165,-34
8474563,Drew Doughty,5781.3,3.416570602277465,1.7596,-0.2253388035533006,-1.4046380097310147,1.686,-0.22052419053630135,-1.1673126032885346,-0.23732540644248012,0.8409229871811672,316,37,200,106,-94
8478500,Ivan Provorov,7190.8,3.1897371352436608,1.6576,-0.13420779906074265,-0.8365775125741769,1.8502,-0.1120847100333835,-0.5933040467792663,-0.2432734657949106,-0.4544967107309616,283,96,201,227,26
8480058,Pierre-Olivier Joseph,2660.3,3.4347611582735675,2.0593,0.05887335685342654,0.36698408570905977,2.0177,0.11564743733037641,0.6121628235227394,-0.24517873781367966,0.4600645611295288,121,258,202,140,-62
8482807,Ethan Del Mastro,676.17,2.959628543261718,1.3744,-0.2214882811299168,-1.3806359733843223,1.8057,-0.21315032531687694,-1.1282801244269098,-0.2523558489574125,-1.4777196544557785,314,38,203,291,88
8480950,Ilya Lyubushkin,4701.65,3.2769322277988544,1.8818,0.015752380721297587,0.09819166675239525,2.0091,0.06824970933185615,0.3612698710291366,-0.26307820427674133,-0.2804676762256263,158,238,204,215,11
