rank,player_name,es_toi_min,two_way_D_score,z_offensive,z_defensive,P5_weighted,P4_weighted,blocks_xG_prevented_per60,small_sample_flag
51,Dylan Samberg,3991.53,1.2893120552526207,0.5796292217540575,-0.7096828334985632,1.997,1.8029,0.3836,N
52,Ty Smith,1277.83,1.270041074581901,0.6220726271322317,-0.6479684474496694,2.0066,1.8149,0.2711,Y
53,Ethan Bear,2128.33,1.2542899409667818,1.0115792952381817,-0.2427106457286004,2.0947,1.8937,0.2716,N
54,Nate Schmidt,5131.02,1.2099213479829276,1.1636681645099725,-0.0462531834729552,2.1291,1.9319,0.343,N
55,Quinn Hughes,7255.15,1.2086995138342296,0.0999303172194871,-1.1087691966147424,1.8885,1.7253,0.1885,N
56,Roman Josi,6774.65,1.2052398479437136,0.2723566515683184,-0.9328831963753952,1.9275,1.7595,0.3704,N
57,Chad Ruhwedel,2279.92,1.1972099320044438,0.5893558354865556,-0.6078540965178882,1.9992,1.8227,0.2971,N
58,Sean Durzi,4699.42,1.1926064971499404,0.5230380145831582,-0.6695684825667821,1.9842,1.8107,0.5372,N
59,Aaron Ekblad,5282.97,1.1712194593605068,2.2671967043424934,1.095977244981987,2.3787,2.154,0.3078,N
60,Josh Morrissey,7498.75,1.1333888425289178,0.7471922492366393,-0.3861965932922786,2.0349,1.8658,0.2555,N
61,Alex Pietrangelo,5661.37,1.1307904630712604,1.0624229579307851,-0.0683675051404753,2.1062,1.9276,0.4593,N
62,Rasmus Sandin,5248.05,1.1285485364955723,1.224238440935073,0.0956899044395008,2.1428,1.9595,0.3585,N
63,Thomas Chabot,5730.4,1.0929744657061882,0.046433941690747,-1.046540524015441,1.8764,1.7374,0.3918,N
64,Gustav Forsling,6733.93,1.0845951652658392,2.315829773004985,1.2312346077391456,2.3897,2.1803,0.2241,N
65,Marcus Pettersson,6197.62,1.0841791628846753,0.7272969029656214,-0.3568822599190538,2.0304,1.8715,0.3999,N
66,Emil Andrae,1211.62,1.0776788994230426,-0.0331474433933291,-1.1108263428163718,1.8584,1.7249,0.4277,Y
67,Brendan Smith,2710.55,1.0608835512611814,0.7502870808787985,-0.3105964703823829,2.0356,1.8805,0.4017,N
68,TJ Brodie,4812.8,1.060303675726322,0.9775361471744386,-0.0827675285518834,2.087,1.9248,0.4002,N
69,Alec Regula,528.98,1.0580874752619698,-0.7732543246752374,-1.8313417999372072,1.691,1.5848,0.718,Y
70,Dougie Hamilton,4973.03,1.0562097512687485,0.4354984909906743,-0.6207112602780742,1.9644,1.8202,0.3282,N
71,John Marino,5329.9,1.051462711898803,0.395265679642614,-0.6561970322561888,1.9553,1.8133,0.2917,N
72,Jonas Siegenthaler,5494.52,1.050378343472857,0.0269807142257508,-1.0233976292471063,1.872,1.7419,0.4377,N
73,Morgan Rielly,6475.82,1.0421706162329825,1.0571175322585138,0.0149469160255312,2.105,1.9438,0.3705,N
74,Brett Kulak,5804.53,1.0179503717658749,1.863984353249842,0.8460339814839671,2.2875,2.1054,0.4188,N
75,Adam Fox,6499.73,1.0108541513562157,0.7763720904341346,-0.234482060922081,2.0415,1.8953,0.3715,N
76,P.K. Subban,1276.87,1.0024954105602033,0.3329269279934211,-0.6695684825667821,1.9412,1.8107,0.3553,Y
77,Matt Roy,5898.9,1.0011738302956128,0.8073204068557203,-0.1938534234398925,2.0485,1.9032,0.4769,N
78,Simon Edvinsson,2749.87,0.9900289064671464,-0.5075409222556274,-1.4975698287227737,1.7511,1.6497,0.4613,N
