player_id,player_name,es_toi_min,P1a_weighted_CNFI,P1a_weighted_MNFI,P1a_weighted_total,P2_weighted,z_P1a_weighted,z_P2_weighted,twoway_score,off_rank,def_rank,twoway_rank
8471215,Evgeni Malkin,4481.83,1.5739,0.9063,2.4802,1.8232,0.8583142652171961,-0.4518254854689889,1.310139750686185,111,205,108
8483505,Matthew Poitras,769.68,1.3609,0.9068,2.2677,1.6914,0.17534029575683946,-1.131483117954365,1.3068234137112045,235,59,109
8471669,Paul Stastny,1764.22,1.8168,1.0283,2.8451,2.0554,2.0311010955987694,0.7455683101539593,1.28553278544481,21,491,110
8478542,Evan Rodrigues,4701.32,1.6049,1.0793,2.6841999999999997,1.9562,1.513969275899138,0.2340202286475141,1.279949047251624,51,388,111
8473512,Claude Giroux,5475.8,1.3514,0.8941,2.2455,1.6828,0.10398960341792146,-1.1758310363107702,1.2798206397286918,246,51,112
8478519,Anthony Cirelli,4938.23,1.5625,0.941,2.5035,1.8458,0.933200352221555,-0.3352832814161085,1.2684836336376635,101,240,113
8481560,Arthur Kaliyev,2046.12,1.472,1.0105,2.4825,1.8366,0.86570645406312,-0.3827252405880776,1.2484316946511975,107,231,114
8480007,Jonas Rondbjerg,733.42,1.142,0.8639,2.0059,1.5396,-0.6660836346183204,-1.914275444291847,1.2481918096735267,461,12,115
8482116,Tim Stützle,5816.95,1.3429,0.8491,2.192,1.6557,-0.06795913712856733,-1.315578546480374,1.2476194093518067,282,38,116
8481592,Jakob Pelletier,901.9,1.3268,0.9257,2.2525,1.6961,0.12648756947073359,-1.1072464648991205,1.2337340343698542,243,63,117
8478020,Michael Amadio,3884.5,1.4587,0.9164,2.3751,1.7731,0.5205233749099804,-0.7101778935685138,1.2307012684784941,161,149,118
8481596,Shane Pinto,3236.73,1.3606,0.8943,2.2549,1.6982,0.1342011578316982,-1.0964173220446496,1.2306184798763478,241,65,119
8480015,Owen Tippett,4703.13,1.3458,0.9114,2.2572,1.7022,0.14159334667762197,-1.0757903832742284,1.2173837299518504,240,66,120
8480995,Pontus Holmberg,2164.8,1.4449,0.8758,2.3207,1.742,0.3456820387281283,-0.8705523425085376,1.2162343812366658,191,109,121
8476483,Rickard Rakell,5281.75,1.5352,0.8881,2.4233,1.8077,0.67543794115934,-0.53175487320437,1.2071928143637098,129,188,122
8480185,Eetu Luostarinen,4671.78,1.6745,1.0401,2.7146,1.9905,1.6116747284713497,0.41089622860387537,1.2007784998674744,42,425,123
8477511,Anthony Mantha,3091.4,1.4706,0.8835,2.3541,1.7667,0.453029476751544,-0.7431809956011874,1.1962104723527314,173,140,124
8479638,Justin Brazeau,1443.02,1.604,0.8407,2.4447,1.8284,0.744217437377937,-0.4250104650674409,1.1692279024453778,124,214,125
8482092,Ridly Greig,2854.25,1.3511,0.8402,2.1913,1.6741,-0.07020893373384897,-1.2206946281364368,1.1504856944025879,285,44,126
8477940,Nikolaj Ehlers,4268.8,1.4597,1.0205,2.4802,1.8563,0.8583142652171961,-0.28113756714375326,1.1394518323609493,111,255,127
8475149,Marcus Johansson,4596.98,1.3578,0.8115,2.1693,1.6649,-0.1409168270426867,-1.268136587308405,1.1272197602657181,309,39,128
8485414,Ben Kindel,603.67,1.6669,0.9906,2.6575,1.9705,1.4281556053834148,0.3077615347517696,1.120394070631645,55,406,129
8482740,Wyatt Johnston,4193.05,1.6508,0.9537,2.6045,1.9388,1.2578138624121245,0.14429304499618287,1.1135208174159417,67,367,130
8471228,Alexander Radulov,857.17,1.3089,0.9851,2.294,1.7462,0.2598683682124036,-0.8488940567995956,1.1087624250119992,215,115,131
8476881,Tomas Hertl,5227.15,1.4528,0.8317,2.2845,1.7464,0.22933541428358745,-0.8478627098610746,1.077198124144662,222,117,132
8480849,Barrett Hayton,3881.07,1.3474,0.8478,2.1952,1.6915,-0.05767435264728308,-1.1309674444851046,1.0732930918378214,280,60,133
8481553,Bobby Brink,2303.03,1.2477,0.7378,1.9855,1.5611,-0.7316491356865147,-1.803405648400834,1.0717565127143194,476,13,134
8480220,Noah Cates,3714.07,1.2821,0.7452,2.0273,1.5877,-0.597304138399725,-1.6662365055775337,1.0689323671778088,439,17,135
8476454,Ryan Nugent-Hopkins,5394.7,1.7265,0.8645,2.591,1.9392,1.214424927881703,0.14635573887322476,1.0680691890084781,71,368,136
