name,name_raw,season_end_year,age,height_in,weight_lbs
martin biron,Martin Biron,2012,34.0,74.0,186.0
chris mason,Chris Mason,2012,35.0,72.0,198.0
thomas greiss,Thomas Greiss,2012,26.0,74.0,219.0
jason labarbera,Jason LaBarbera,2012,32.0,75.0,232.0
richard bachman,Richard Bachman,2012,24.0,70.0,183.0
peter budaj,Peter Budaj,2012,29.0,73.0,196.0
jonathan bernier,Jonathan Bernier,2012,23.0,72.0,185.0
brent johnson,Brent Johnson,2012,34.0,75.0,199.0
anders lindback,Anders LindbÃ¤ck,2012,23.0,78.0,215.0
ty conklin,Ty Conklin,2012,35.0,73.0,185.0
alex auld,Alex Auld,2012,31.0,76.0,215.0
joey macdonald,Joey MacDonald,2012,31.0,72.0,197.0
matt hackett,Matt Hackett,2012,21.0,74.0,179.0
ben scrivens,Ben Scrivens,2012,25.0,74.0,181.0
allen york,Allen York,2012,22.0,75.0,188.0
ben bishop,Ben Bishop,2012,25.0,79.0,210.0
brian boucher,Brian Boucher,2012,35.0,74.0,198.0
dan ellis,Dan Ellis,2012,31.0,73.0,195.0
andrew raycroft,Andrew Raycroft,2012,31.0,73.0,178.0
henrik karlsson,Henrik Karlsson,2012,28.0,78.0,209.0
rick dipietro,Rick DiPietro,2012,30.0,72.0,185.0
braden holtby,Braden Holtby,2012,22.0,73.0,215.0
leland irving,Leland Irving,2012,23.0,72.0,177.0
jacob markstram,Jacob MarkstrÃ¶m,2012,22.0,78.0,207.0
justin peters,Justin Peters,2012,25.0,73.0,210.0
kevin poulin,Kevin Poulin,2012,21.0,74.0,205.0
robin lehner,Robin Lehner,2012,20.0,76.0,240.0
brad thiessen,Brad Thiessen,2012,25.0,72.0,181.0
dustin tokarski,Dustin Tokarski,2012,22.0,72.0,198.0
marty turco,Marty Turco,2012,36.0,71.0,184.0
jeff deslauriers,Jeff Deslauriers,2012,27.0,76.0,203.0
anders nilsson,Anders Nilsson,2012,21.0,78.0,232.0
sabastien caron,SÃ©bastien Caron,2012,31.0,73.0,170.0
drew macintyre,Drew MacIntyre,2012,28.0,73.0,190.0
curtis mcelhinney,Curtis McElhinney,2012,28.0,74.0,203.0
mike murphy,Mike Murphy,2012,23.0,71.0,172.0
jussi rynnas,Jussi RynnÃ¤s,2012,24.0,77.0,205.0
yann danis,Yann Danis,2012,30.0,72.0,185.0
brian foster,Brian Foster,2012,24.0,73.0,155.0
shawn hunwick,Shawn Hunwick,2012,24.0,67.0,163.0
anton khudobin,Anton Khudobin,2012,25.0,71.0,195.0
peter mannino,Peter Mannino,2012,27.0,73.0,195.0
iiro tarkki,Iiro Tarkki,2012,26.0,74.0,191.0
league average,League Average,2012,,,
ondaej pavelec,OndÅej Pavelec,2013,25.0,75.0,212.0
henrik lundqvist,Henrik Lundqvist,2013,30.0,73.0,182.0
antti niemi,Antti Niemi,2013,29.0,74.0,209.0
pekka rinne,Pekka Rinne,2013,30.0,77.0,217.0
niklas backstram,Niklas BÃ¤ckstrÃ¶m,2013,34.0,74.0,192.0
jimmy howard,Jimmy Howard,2013,28.0,73.0,218.0
evgeni nabokov,Evgeni Nabokov,2013,37.0,72.0,202.0
ilya bryzgalov,Ilya Bryzgalov,2013,32.0,75.0,213.0
ryan miller,Ryan Miller,2013,32.0,74.0,168.0
carey price,Carey Price,2013,25.0,75.0,217.0
sergei bobrovsky,Sergei Bobrovsky,2013,24.0,74.0,180.0
devan dubnyk,Devan Dubnyk,2013,26.0,78.0,224.0
jonathan quick,Jonathan Quick,2013,27.0,73.0,219.0
braden holtby,Braden Holtby,2013,23.0,73.0,215.0
kari lehtonen,Kari Lehtonen,2013,29.0,76.0,209.0
tuukka rask,Tuukka Rask,2013,25.0,75.0,176.0
semyon varlamov,Semyon Varlamov,2013,24.0,74.0,201.0
mike smith,Mike Smith,2013,30.0,77.0,220.0
marc andra fleury,Marc-AndrÃ© Fleury,2013,28.0,74.0,185.0
james reimer,James Reimer,2013,24.0,74.0,200.0
corey crawford,Corey Crawford,2013,28.0,74.0,216.0
cory schneider,Cory Schneider,2013,26.0,74.0,210.0
martin brodeur,Martin Brodeur,2013,40.0,74.0,220.0
jonas hiller,Jonas Hiller,2013,30.0,74.0,191.0
viktor fasth,Viktor Fasth,2013,30.0,72.0,181.0
craig anderson,Craig Anderson,2013,31.0,74.0,187.0
brian elliott,Brian Elliott,2013,27.0,74.0,221.0
miikka kiprusoff,Miikka Kiprusoff,2013,36.0,73.0,185.0
anders lindback,Anders LindbÃ¤ck,2013,24.0,78.0,215.0
jacob markstram,Jacob MarkstrÃ¶m,2013,23.0,78.0,207.0
ben bishop,Ben Bishop,2013,26.0,79.0,210.0
ray emery,Ray Emery,2013,30.0,74.0,196.0
joey macdonald,Joey MacDonald,2013,32.0,72.0,197.0
roberto luongo,Roberto Luongo,2013,33.0,75.0,215.0
ben scrivens,Ben Scrivens,2013,26.0,74.0,181.0
tomaa vokoun,TomÃ¡Å¡ Vokoun,2013,36.0,73.0,210.0
steve mason,Steve Mason,2013,24.0,76.0,210.0
scott clemmensen,Scott Clemmensen,2013,35.0,74.0,201.0
dan ellis,Dan Ellis,2013,32.0,73.0,195.0
johan hedberg,Johan Hedberg,2013,39.0,72.0,190.0
justin peters,Justin Peters,2013,26.0,73.0,210.0
mathieu garon,Mathieu Garon,2013,35.0,73.0,206.0
jean sabastien gigua re,Jean-SÃ©bastien GiguÃ¨re,2013,35.0,73.0,202.0
cam ward,Cam Ward,2013,28.0,73.0,194.0
jaroslav halak,Jaroslav HalÃ¡k,2013,27.0,71.0,189.0
jake allen,Jake Allen,2013,22.0,74.0,197.0
jason labarbera,Jason LaBarbera,2013,33.0,75.0,232.0
josa thaodore,JosÃ© ThÃ©odore,2013,36.0,71.0,172.0
jonathan bernier,Jonathan Bernier,2013,24.0,72.0,185.0
anton khudobin,Anton Khudobin,2013,26.0,71.0,195.0
richard bachman,Richard Bachman,2013,25.0,70.0,183.0
peter budaj,Peter Budaj,2013,30.0,73.0,196.0
michal neuvirth,Michal Neuvirth,2013,24.0,73.0,209.0
jhonas enroth,Jhonas Enroth,2013,24.0,70.0,175.0
nikolai khabibulin,Nikolai Khabibulin,2013,40.0,73.0,208.0
robin lehner,Robin Lehner,2013,21.0,76.0,240.0
chris mason,Chris Mason,2013,36.0,72.0,198.0
jonas gustavsson,Jonas Gustavsson,2013,28.0,76.0,201.0
al montoya,Al Montoya,2013,27.0,74.0,200.0
martin biron,Martin Biron,2013,35.0,74.0,186.0
thomas greiss,Thomas Greiss,2013,27.0,74.0,219.0
leland irving,Leland Irving,2013,24.0,72.0,177.0
darcy kuemper,Darcy Kuemper,2013,22.0,77.0,215.0
josh harding,Josh Harding,2013,28.0,73.0,202.0
cristopher nilstorp,Cristopher Nilstorp,2013,28.0,75.0,192.0
kevin poulin,Kevin Poulin,2013,22.0,74.0,205.0
brian boucher,Brian Boucher,2013,36.0,74.0,198.0
chad johnson,Chad Johnson,2013,26.0,75.0,197.0
yann danis,Yann Danis,2013,31.0,72.0,185.0
cadrick desjardins,CÃ©drick Desjardins,2013,27.0,72.0,192.0
rick dipietro,Rick DiPietro,2013,31.0,72.0,185.0
philipp grubauer,Philipp Grubauer,2013,21.0,73.0,188.0
petr mrazek,Petr MrÃ¡zek,2013,20.0,74.0,192.0
alex stalock,Alex Stalock,2013,25.0,71.0,170.0
daniel taylor,Daniel Taylor,2013,26.0,72.0,198.0
sami aittokallio,Sami Aittokallio,2013,20.0,73.0,174.0
jeff frazee,Jeff Frazee,2013,25.0,72.0,195.0
matt hackett,Matt Hackett,2013,22.0,74.0,179.0
carter hutton,Carter Hutton,2013,27.0,72.0,208.0
keith kinkaid,Keith Kinkaid,2013,23.0,75.0,186.0
michael leighton,Michael Leighton,2013,31.0,75.0,186.0
jussi rynnas,Jussi RynnÃ¤s,2013,25.0,77.0,205.0
league average,League Average,2013,,,
kari lehtonen,Kari Lehtonen,2014,30.0,76.0,209.0
marc andra fleury,Marc-AndrÃ© Fleury,2014,29.0,74.0,185.0
antti niemi,Antti Niemi,2014,30.0,74.0,209.0
ben bishop,Ben Bishop,2014,27.0,79.0,210.0
henrik lundqvist,Henrik Lundqvist,2014,31.0,73.0,182.0
semyon varlamov,Semyon Varlamov,2014,25.0,74.0,201.0
mike smith,Mike Smith,2014,31.0,77.0,220.0
steve mason,Steve Mason,2014,25.0,76.0,210.0
corey crawford,Corey Crawford,2014,29.0,74.0,216.0
carey price,Carey Price,2014,26.0,75.0,217.0
ryan miller,Ryan Miller,2014,33.0,74.0,168.0
sergei bobrovsky,Sergei Bobrovsky,2014,25.0,74.0,180.0
tuukka rask,Tuukka Rask,2014,26.0,75.0,176.0
ondaej pavelec,OndÅej Pavelec,2014,26.0,75.0,212.0
roberto luongo,Roberto Luongo,2014,34.0,75.0,215.0
jonathan bernier,Jonathan Bernier,2014,25.0,72.0,185.0
craig anderson,Craig Anderson,2014,32.0,74.0,187.0
jaroslav halak,Jaroslav HalÃ¡k,2014,28.0,71.0,189.0
jimmy howard,Jimmy Howard,2014,29.0,73.0,218.0
jonas hiller,Jonas Hiller,2014,31.0,74.0,191.0
jonathan quick,Jonathan Quick,2014,28.0,73.0,219.0
braden holtby,Braden Holtby,2014,24.0,73.0,215.0
tim thomas,Tim Thomas,2014,39.0,71.0,201.0
cory schneider,Cory Schneider,2014,27.0,74.0,210.0
eddie lack,Eddie LÃ¤ck,2014,26.0,76.0,187.0
carter hutton,Carter Hutton,2014,28.0,72.0,208.0
evgeni nabokov,Evgeni Nabokov,2014,38.0,72.0,202.0
karri rama,Karri RÃ¤mÃ¶,2014,27.0,74.0,206.0
ben scrivens,Ben Scrivens,2014,27.0,74.0,181.0
martin brodeur,Martin Brodeur,2014,41.0,74.0,220.0
anton khudobin,Anton Khudobin,2014,27.0,71.0,195.0
robin lehner,Robin Lehner,2014,22.0,76.0,240.0
james reimer,James Reimer,2014,25.0,74.0,200.0
devan dubnyk,Devan Dubnyk,2014,27.0,78.0,224.0
ilya bryzgalov,Ilya Bryzgalov,2014,33.0,75.0,213.0
brian elliott,Brian Elliott,2014,28.0,74.0,221.0
reto berra,Reto Berra,2014,27.0,76.0,218.0
cam ward,Cam Ward,2014,29.0,73.0,194.0
josh harding,Josh Harding,2014,29.0,73.0,202.0
frederik andersen,Frederik Andersen,2014,24.0,76.0,229.0
ray emery,Ray Emery,2014,31.0,74.0,196.0
jhonas enroth,Jhonas Enroth,2014,25.0,70.0,175.0
curtis mcelhinney,Curtis McElhinney,2014,30.0,74.0,203.0
al montoya,Al Montoya,2014,28.0,74.0,200.0
kevin poulin,Kevin Poulin,2014,23.0,74.0,205.0
jonas gustavsson,Jonas Gustavsson,2014,29.0,76.0,201.0
chad johnson,Chad Johnson,2014,27.0,75.0,197.0
darcy kuemper,Darcy Kuemper,2014,23.0,77.0,215.0
thomas greiss,Thomas Greiss,2014,28.0,74.0,219.0
marek mazanec,Marek Mazanec,2014,22.0,76.0,202.0
antti raanta,Antti Raanta,2014,24.0,72.0,195.0
peter budaj,Peter Budaj,2014,31.0,73.0,196.0
pekka rinne,Pekka Rinne,2014,31.0,77.0,217.0
alex stalock,Alex Stalock,2014,26.0,71.0,170.0
anders lindback,Anders LindbÃ¤ck,2014,25.0,78.0,215.0
jean sabastien gigua re,Jean-SÃ©bastien GiguÃ¨re,2014,36.0,73.0,202.0
niklas backstram,Niklas BÃ¤ckstrÃ¶m,2014,35.0,74.0,192.0
justin peters,Justin Peters,2014,27.0,73.0,210.0
cam talbot,Cam Talbot,2014,26.0,75.0,202.0
jeff zatkoff,Jeff Zatkoff,2014,26.0,74.0,186.0
dan ellis,Dan Ellis,2014,33.0,73.0,195.0
martin jones,Martin Jones,2014,24.0,77.0,203.0
anders nilsson,Anders Nilsson,2014,23.0,78.0,232.0
scott clemmensen,Scott Clemmensen,2014,36.0,74.0,201.0
