shooter_player_id,name,x_coord_norm,y_coord_norm,shot_type,season,game_id
8484153,Leo Carlsson,81,3,snap,20252026,2025020933
8483490,Pavel Mintyukov,76,10,snap,20252026,2025020933
8480068,Ryan Poehling,77,12,snap,20252026,2025020933
8475184,Chris Kreider,88,1,backhand,20252026,2025020933
8483445,Cutter Gauthier,90,-6,bat,20252026,2025020952
8483445,Cutter Gauthier,66,-21,slap,20252026,2025020952
8484153,Leo Carlsson,80,-3,backhand,20252026,2025020952
8482745,Mason McTavish,82,0,wrist,20252026,2025020952
8483445,Cutter Gauthier,73,-21,snap,20252026,2025020968
8483445,Cutter Gauthier,67,18,snap,20252026,2025020973
8483445,Cutter Gauthier,70,-15,snap,20252026,2025020973
8484762,Beckett Sennecke,81,7,snap,20252026,2025020973
8480068,Ryan Poehling,82,3,backhand,20252026,2025020973
8478366,Frank Vatrano,7,-32,wrist,20252026,2025020973
8483445,Cutter Gauthier,69,-12,snap,20252026,2025020987
8475462,Radko Gudas,26,-27,slap,20252026,2025020987
8481605,Jackson LaCombe,43,-15,slap,20252026,2025020987
8484153,Leo Carlsson,72,7,wrist,20252026,2025020987
8475184,Chris Kreider,83,-3,tip-in,20252026,2025020987
8483445,Cutter Gauthier,72,-5,snap,20252026,2025020987
8473986,Alex Killorn,77,-1,snap,20252026,2025020987
8485512,Tim Washe,81,5,snap,20252026,2025021022
8480068,Ryan Poehling,79,7,tip-in,20252026,2025021022
8473986,Alex Killorn,65,-17,wrist,20252026,2025021022
8481605,Jackson LaCombe,-72,9,wrist,20252026,2025021022
8483445,Cutter Gauthier,84,-8,wrist,20252026,2025021029
8482178,Ian Moore,66,-10,snap,20252026,2025021029
8483490,Pavel Mintyukov,67,14,snap,20252026,2025021029
8473986,Alex Killorn,55,6,wrist,20252026,2025021029
8484153,Leo Carlsson,82,-2,snap,20252026,2025021059
8484153,Leo Carlsson,51,6,slap,20252026,2025021059
8478873,Troy Terry,71,-4,backhand,20252026,2025021059
8483445,Cutter Gauthier,74,-9,snap,20252026,2025021059
8483445,Cutter Gauthier,83,0,backhand,20252026,2025021082
8484153,Leo Carlsson,81,-6,wrist,20252026,2025021082
8480068,Ryan Poehling,79,6,wrist,20252026,2025021098
8473986,Alex Killorn,66,-11,snap,20252026,2025021098
8483445,Cutter Gauthier,43,-22,snap,20252026,2025021098
8475798,Mikael Granlund,46,-11,wrist,20252026,2025021098
8475184,Chris Kreider,60,-24,snap,20252026,2025021117
8481605,Jackson LaCombe,32,-3,wrist,20252026,2025021117
8484762,Beckett Sennecke,82,0,wrist,20252026,2025021117
8478873,Troy Terry,75,-6,backhand,20252026,2025021117
8475798,Mikael Granlund,63,-6,snap,20252026,2025021117
8478873,Troy Terry,80,1,backhand,20252026,2025021117
8473986,Alex Killorn,82,4,backhand,20252026,2025021134
8475798,Mikael Granlund,85,-1,bat,20252026,2025021134
8475798,Mikael Granlund,67,-4,snap,20252026,2025021134
8482745,Mason McTavish,66,24,snap,20252026,2025021134
8478873,Troy Terry,58,-29,wrist,20252026,2025021134
8475798,Mikael Granlund,50,6,snap,20252026,2025021147
8475798,Mikael Granlund,88,18,snap,20252026,2025021147
8475798,Mikael Granlund,55,9,slap,20252026,2025021147
8484762,Beckett Sennecke,82,-5,tip-in,20252026,2025021154
8483445,Cutter Gauthier,81,13,snap,20252026,2025021154
8484153,Leo Carlsson,77,10,snap,20252026,2025021176
8483445,Cutter Gauthier,61,-31,snap,20252026,2025021176
8474590,John Carlson,58,15,snap,20252026,2025021176
8484153,Leo Carlsson,65,14,wrist,20252026,2025021176
8480068,Ryan Poehling,69,-11,wrist,20252026,2025021190
8473986,Alex Killorn,77,14,wrist,20252026,2025021190
8478873,Troy Terry,83,-13,wrist,20252026,2025021190
8480068,Ryan Poehling,71,-2,slap,20252026,2025021206
8479705,Jeffrey Viel,86,2,wrist,20252026,2025021206
8484762,Beckett Sennecke,84,0,backhand,20252026,2025021219
8484153,Leo Carlsson,63,-18,wrist,20252026,2025021219
8482745,Mason McTavish,62,-20,snap,20252026,2025021219
8484153,Leo Carlsson,81,5,wrist,20252026,2025021258
8474590,John Carlson,38,-17,slap,20252026,2025021258
8473986,Alex Killorn,84,5,wrist,20252026,2025021258
8474590,John Carlson,42,4,slap,20252026,2025021258
8474590,John Carlson,55,23,slap,20252026,2025021258
8478366,Frank Vatrano,85,-6,backhand,20252026,2025021258
8483445,Cutter Gauthier,81,-9,snap,20252026,2025021280
8483445,Cutter Gauthier,59,-23,slap,20252026,2025021280
8484153,Leo Carlsson,85,-12,backhand,20252026,2025021280
8482745,Mason McTavish,68,21,wrist,20252026,2025021296
8482745,Mason McTavish,79,-1,tip-in,20252026,2025021296
