team,season,ca_D,ca_O,cf_D,cf_O,cm_a_D,cm_a_O,cm_f_D,cm_f_O,fen_a_D,fen_a_O,fen_f_D,fen_f_O,n_shifts_D,n_shifts_O,sec_D,sec_O,Corsi_DZ,Fenwick_DZ,CNFI_MNFI_DZ,V5_DZ,V1_DZ,OZ_ratio
FLA,20232024,12145.0,14547.0,10953.0,15164.0,2627.0,2760.0,2375.0,3824.0,8715.0,8809.0,7589.0,12204.0,6295.0,7551.0,781549.0,1020109.0,0.47419690016451643,0.46546859666339546,0.47481007596961217,0.47481007596961217,10.939813114724734,0.5453560595117724
FLA,20242025,11415.0,14875.0,10814.0,16073.0,2554.0,3011.0,2259.0,3876.0,8349.0,9192.0,7636.0,12881.0,6031.0,7895.0,760499.0,1058596.0,0.48648162310495296,0.4776978417266187,0.46935383336796177,0.46935383336796177,10.693505185411157,0.5669251759299153
FLA,20252026,8048.0,8469.0,6834.0,8189.0,2408.0,2184.0,1568.0,2183.0,6300.0,5600.0,4617.0,6463.0,4192.0,4463.0,544389.0,589807.0,0.4592124714420105,0.4229183841714757,0.39436619718309857,0.39436619718309857,10.369055950799888,0.5156556903523974
LAK,20222023,12025.0,11912.0,11417.0,14599.0,3473.0,2909.0,2649.0,4092.0,9504.0,8140.0,7498.0,11154.0,6348.0,6920.0,807825.0,928075.0,0.4870318232232745,0.44100694035995763,0.4327017314603071,0.4327017314603071,11.80503203045214,0.5215556225504975
LAK,20232024,12253.0,12865.0,13189.0,14768.0,3054.0,2669.0,2456.0,3053.0,9083.0,8224.0,8843.0,11503.0,6672.0,7175.0,867168.0,934335.0,0.5183947802845689,0.4933058127858976,0.4457350272232305,0.4457350272232305,10.19594818997011,0.5181627789412869
LAK,20242025,12805.0,12841.0,12605.0,13993.0,2742.0,2500.0,2428.0,3209.0,9245.0,7981.0,8234.0,10563.0,6836.0,6850.0,890520.0,903848.0,0.49606454151908697,0.4710795812117398,0.4696324951644101,0.4696324951644101,9.815388761622422,0.5005114715767938
LAK,20252026,8860.0,7992.0,8339.0,8898.0,2144.0,1579.0,1724.0,2139.0,6502.0,4994.0,5497.0,6689.0,4524.0,4335.0,598048.0,572400.0,0.4848537705680563,0.45812151012584384,0.44570837642192346,0.44570837642192346,10.377762320081331,0.48933288181510326
MIN,20222023,13998.0,11900.0,12495.0,13111.0,3646.0,2574.0,2642.0,3199.0,11195.0,7962.0,8084.0,10069.0,6930.0,6758.0,887446.0,895694.0,0.471634016532669,0.41931635458270655,0.4201653944020356,0.4201653944020356,10.71749717729304,0.49371712448860317
MIN,20232024,13420.0,12223.0,12781.0,12955.0,2972.0,2509.0,2246.0,2906.0,10186.0,8040.0,7529.0,9373.0,6857.0,6752.0,897650.0,897684.0,0.48780580893859016,0.42500705616709006,0.43043311613645074,0.43043311613645074,9.00751963460146,0.496142258799324
MIN,20242025,14475.0,12265.0,13299.0,12352.0,3208.0,2557.0,2579.0,2671.0,11497.0,8587.0,8127.0,8668.0,7012.0,6250.0,904626.0,842679.0,0.47882912076042344,0.41413575214023646,0.445654052185934,0.445654052185934,10.263246910878086,0.47127130146282614
