player_id,name,pos,n_seasons,toi_total,raw_mean,ZA_mean,CONV_mean,team_recent,rank_raw,rank_ZA,rank_CONV,delta_ZA_to_CONV,delta_raw_to_CONV
8471276,David Krejci,F,1,1204.9833333333333,0.48975409836065575,0.4826947577013151,-1.411576770305044,BOS,305,341,536,-195,-231
8476905,Chandler Stephenson,F,4,5368.65,0.4356559583243564,0.43873574469033094,-1.438975144697161,SEA,505,508,537,-29,-32
8482125,Alexander Holtz,F,2,1549.8,0.46455323702514717,0.4593263270538416,-1.5306651172310386,VGK,422,452,538,-86,-116
8477330,Dominik Kubalik,F,2,2107.7166666666667,0.422646383467279,0.42261094373047914,-1.5603205238077877,OTT,518,522,539,-17,-21
8481721,Arseny Gritsyuk,F,1,512.9666666666667,0.41624365482233505,0.41496905164773185,-1.5878596682418344,NJD,527,532,540,-8,-13
8477944,Jakub Vrana,F,3,981.9333333333334,0.40823673058967175,0.40306681344376943,-1.6395352023069076,WSH,537,543,541,2,-4
8478495,Denis Gurianov,F,2,1092.1166666666666,0.44912678873672873,0.45274734176210285,-1.7198916621238602,NSH,477,478,542,-64,-65
8484241,Matthew Wood,F,1,583.65,0.42105263157894735,0.4096042380046502,-1.8842781782007745,NSH,520,537,543,-6,-23
8475744,Evgeny Kuznetsov,F,2,2569.083333333333,0.43657413586013616,0.4281814952242172,-1.9053079557445454,WSH,504,515,544,-29,-40
8483447,Conor Geekie,F,1,629.05,0.4573643410852713,0.46019543082886105,-1.935296120918353,TBL,446,447,545,-98,-99
8479328,Julien Gauthier,F,2,767.2333333333333,0.4015123646024934,0.407068512515379,-2.0045593725994215,NYI,542,540,546,-6,-4
8480021,Jack Studnicka,F,2,760.4833333333333,0.3918908085140498,0.401366405469756,-2.0703549113899262,SJS,547,545,547,-2,0
8475235,Nicolas Deslauriers,F,3,1515.3,0.4377162523266067,0.43585539727541905,-2.076122377423446,PHI,501,509,548,-39,-47
8474715,Cam Atkinson,F,2,1467.6666666666667,0.44535361842105264,0.44247959730153114,-2.0815845322120667,TBL,487,503,549,-46,-62
8482070,Mitchell Chaffee,F,2,1101.4833333333333,0.4271141901576684,0.4295864852396356,-2.251201557245235,TBL,516,512,550,-38,-34
8480870,Bo Groulx,F,2,752.4833333333333,0.3491924157303371,0.3619459703719352,-2.2579772747708504,TOR,555,555,551,4,4
8484186,Ryan Leonard,F,1,615.0333333333333,0.4098939929328622,0.41957442771547093,-2.414523798027496,WSH,533,527,552,-25,-19
8474573,Josh Bailey,F,1,968.5,0.4282238442822384,0.42143519693924325,-2.6177853760578365,NYI,514,525,553,-28,-39
8483499,Liam Ohgren,F,2,893.7666666666667,0.3634588068181818,0.36410189037552954,-2.7372900920289753,VAN,553,554,554,0,-1
8477357,Saku Maenalanen,F,1,661.25,0.3977272727272727,0.40981704967894556,-3.218943515765437,WPG,545,536,555,-19,-10
8482451,Mikael Pyyhtia,F,2,792.3166666666667,0.33613445378151263,0.34069798322645845,-3.470406699984306,CBJ,556,556,556,0,0
8479514,Rem Pitlick,F,1,598.4,0.3265993265993266,0.3301325265993266,-3.7239910610652776,MTL,557,557,557,0,0
