player_id,player_name,es_toi_min,TNFI_SA_per60,P4_weighted,TNFI_SF_per60,P5_weighted,z_P5_weighted,z_P4_weighted,twoway_D_score,off_rank,def_rank,twoway_D_rank
8480192,Johnathan Kovacevic,3805.42,18.2582,1.8188,17.9744,1.8057,-0.2661440541672631,-0.6279112719837788,0.3617672178165157,199,95,153
8475455,Brenden Dillon,6018.13,19.9996,1.951,19.84,1.9589,0.4111819566594295,0.05197554765486798,0.3592064090045615,115,203,154
8477810,Joel Hanley,2659.63,18.2732,1.8175,18.6341,1.8016,-0.2842709252141915,-0.634596997139076,0.3503260719248845,201,94,155
8483448,Isaiah George,512.7,17.7882,1.7611,16.3839,1.7352,-0.5778378124132281,-0.9246546115688756,0.34681679915564756,249,57,156
8479980,Nicolas Hague,5145.37,20.2551,2.0145,20.3834,2.0282,0.7175702892331224,0.3785475071635969,0.33902278206952546,78,241,157
8480222,Sebastian Aho,2445.9,20.2134,1.9816,19.453,1.9887,0.5429333608541771,0.2093472320795469,0.33358612877463023,97,224,158
8479976,Juuso Välimäki,3071.63,18.4202,1.7973,18.4006,1.7731,-0.4102747849306463,-0.7384828803213805,0.32820809539073426,225,68,159
8484321,Nikolas Matinpalo,1008.22,19.1625,1.8948,18.2699,1.8861,0.08931946587494384,-0.23705349367411796,0.3263729595490618,148,148,160
8475462,Radko Gudas,5096.75,20.0716,1.9973,20.2129,2.005,0.6149987262358682,0.29009022049351646,0.3249085057423517,90,229,161
8483485,Denton Mateychuk,1448.53,18.3496,1.7324,17.2312,1.6934,-0.762643473330694,-1.0722548515358141,0.3096113782051201,283,39,162
8482684,Luke Hughes,3557.35,18.2495,1.8675,18.8736,1.8497,-0.07161177951729998,-0.3774537219353518,0.30584194241805185,166,132,163
8478851,Alexandre Carrier,5210.57,18.8271,1.8125,18.4241,1.7829,-0.36694714194042694,-0.660311324659448,0.29336418271902104,214,84,164
8476525,Colin Miller,3368.02,19.507,1.9014,19.6495,1.8856,0.08710887184482988,-0.2031105813472267,0.29021945319205655,149,156,165
8478136,Jake Middleton,5770.23,19.7046,1.816,17.9057,1.7857,-0.35456781537179227,-0.6423112953951869,0.28774348002339467,212,92,166
8476467,Jamie Oleksiak,5843.93,18.378,1.8036,18.2035,1.7711,-0.4191171610510992,-0.7060828276457103,0.2869656665946111,228,73,167
8476931,Jake McCabe,6118.95,19.9054,1.9199,18.7973,1.9023,0.16094271245061234,-0.10796756952184902,0.26891028197246136,141,172,168
8475825,Jani Hakanpää,3493.95,19.5939,1.8828,18.4777,1.8538,-0.05348490847037155,-0.2987678797230118,0.24528297125264023,164,143,169
8475171,Oliver Ekman-Larsson,5726.7,19.6658,1.9537,19.6867,1.9345,0.3033049679899042,0.0658612845158687,0.2374436834740355,123,207,170
8484304,Uvis Balinskis,1657.53,17.3028,1.7527,18.2078,1.6999,-0.7339057509392224,-0.9678546818031023,0.2339489308638799,278,52,171
8476917,Adam Pelech,5647.13,19.0504,1.9015,18.976,1.8703,0.019464694523365723,-0.20259629479681932,0.22206098932018503,155,157,172
8483565,Nick Blankenburg,2289.37,18.3981,1.8437,17.9001,1.7988,-0.2966502517828262,-0.49985392093232467,0.20320366914949844,203,114,173
8476906,Shayne Gostisbehere,5686.02,19.4688,1.9478,19.4477,1.9184,0.23212384022025825,0.035518378041829175,0.19660546217842909,133,200,174
8481593,Jayden Struble,2049.92,19.2593,1.8856,18.8203,1.8327,-0.14677197654114926,-0.28436785631160366,0.1375958797704544,181,145,175
