player_id,player_name,es_toi_min,CNFI_SF,CNFI_SF_per60,CNFI_SF_lo95,CNFI_SF_hi95,MNFI_SF,MNFI_SF_per60,MNFI_SF_lo95,MNFI_SF_hi95,FNFI_SF,FNFI_SF_per60,FNFI_SF_lo95,FNFI_SF_hi95,TNFI_SF,TNFI_SF_per60,TNFI_SF_lo95,TNFI_SF_hi95,P5_weighted,TNFI_rank_raw,P5_weighted_rank,rank_delta,weighting_flag
8479323,Adam Fox,6499.73,1001,9.2404,8.7258,9.7787,717,6.6187,6.1752,7.0893,508,4.6894,4.3125,5.0959,2226,20.5485,19.8613,21.2453,2.0415,65,69,-4,
8474578,Erik Karlsson,6868.53,1051,9.181,8.6812,9.7028,777,6.7875,6.3505,7.2495,524,4.5774,4.2145,4.9681,2352,20.5459,19.8766,21.2229,2.0663,66,53,13,HIGH_DANGER_MIX
8483457,Lane Hutson,2608.85,384,8.8315,8.0464,9.6778,283,6.5086,5.8265,7.2591,226,5.1977,4.5857,5.882,893,20.5378,19.4588,21.6422,2.0207,67,83,-16,LOW_DANGER_MIX
8479984,Cal Foote,1414.05,207,8.7833,7.7355,9.9466,168,7.1285,6.1782,8.2031,109,4.625,3.8581,5.5298,484,20.5368,19.081,22.0452,2.0539,68,63,5,
8474013,Ian Cole,5734.87,872,9.1231,8.5793,9.6945,608,6.3611,5.8986,6.8549,482,5.0428,4.6284,5.4905,1962,20.5271,19.7964,21.2694,2.0276,69,80,-11,LOW_DANGER_MIX
8476854,Hampus Lindholm,5227.93,770,8.8371,8.2762,9.429,599,6.8746,6.3734,7.4096,418,4.7973,4.3744,5.2571,1787,20.5091,19.7446,21.287,2.0342,70,75,-5,
8477355,Will Butcher,586.3,57,5.8332,4.5501,7.437,71,7.2659,5.8307,9.0047,72,7.3682,5.923,9.1158,200,20.4673,18.2431,22.8366,1.7321,71,251,-180,LOW_DANGER_MIX
8474673,TJ Brodie,4812.8,749,9.3376,8.7392,9.9681,563,7.0188,6.4919,7.5817,329,4.1016,3.6939,4.5501,1641,20.4579,19.6615,21.268,2.087,72,51,21,HIGH_DANGER_MIX
8477504,Josh Morrissey,7498.75,1134,9.0735,8.5974,9.5704,796,6.3691,5.9626,6.7993,623,4.9848,4.6225,5.3724,2553,20.4274,19.7883,21.075,2.0349,73,74,-1,
8474166,Alec Martinez,3393.17,489,8.6468,7.9623,9.3804,387,6.8432,6.2277,7.5116,279,4.9334,4.407,5.5171,1155,20.4234,19.4791,21.3914,2.018,74,86,-12,LOW_DANGER_MIX
8480878,Nils Lundkvist,3024.13,463,9.1861,8.4429,9.9829,346,6.8648,6.2135,7.5754,220,4.3649,3.8416,4.9536,1029,20.4158,19.4162,21.4415,2.059,75,60,15,HIGH_DANGER_MIX
8476923,Damon Severson,6096.3,920,9.0547,8.5291,9.6075,666,6.5548,6.0999,7.0398,487,4.7931,4.4006,5.2177,2073,20.4025,19.6963,21.1229,2.0281,76,79,-3,
8480058,Pierre-Olivier Joseph,2660.3,397,8.9539,8.1728,9.7977,304,6.8564,6.1648,7.6162,203,4.5784,4.0095,5.2217,904,20.3887,19.3255,21.4842,2.0593,77,57,20,HIGH_DANGER_MIX
8479980,Nicolas Hague,5145.37,786,9.1655,8.5919,9.7715,574,6.6934,6.195,7.2275,388,4.5245,4.1106,4.977,1748,20.3834,19.6158,21.1683,2.0282,78,78,0,
8475197,Tyson Barrie,3367.83,539,9.6026,8.8825,10.3683,343,6.1108,5.5246,6.7508,262,4.6677,4.1531,5.2395,1144,20.3811,19.4318,21.3502,2.0462,79,67,12,HIGH_DANGER_MIX
8475179,Dmitry Kulikov,4882.2,710,8.7256,8.1493,9.336,564,6.9313,6.4116,7.4878,383,4.7069,4.2742,5.1798,1657,20.3638,19.5755,21.1689,2.0027,80,91,-11,LOW_DANGER_MIX
8478416,Erik Cernak,4891.45,758,9.2979,8.7065,9.9235,514,6.3049,5.8082,6.8399,388,4.7593,4.3249,5.2343,1660,20.3621,19.5756,21.1674,2.0659,81,54,27,HIGH_DANGER_MIX
8474600,Roman Josi,6774.65,906,8.024,7.5498,8.5224,774,6.855,6.4132,7.3223,607,5.3759,4.9814,5.7978,2287,20.2549,19.5839,20.9348,1.9275,82,126,-44,LOW_DANGER_MIX
8477969,Marcus Pettersson,6197.62,949,9.1874,8.6618,9.7376,666,6.4476,5.9991,6.9245,477,4.6179,4.235,5.0317,2092,20.2529,19.5516,20.9639,2.0304,83,77,6,
