game_id,season,game_type,game_date,home_abbrev,away_abbrev
2023020005,20232024,regular,2023-10-11,TOR,MTL
2023020006,20232024,regular,2023-10-11,BOS,CHI
2023020007,20232024,regular,2023-10-11,CGY,WPG
2023020008,20232024,regular,2023-10-11,LAK,COL
2023020009,20232024,regular,2023-10-11,VAN,EDM
2023020010,20232024,regular,2023-10-12,BUF,NYR
2023020011,20232024,regular,2023-10-12,CBJ,PHI
2023020012,20232024,regular,2023-10-12,NJD,DET
2023020013,20232024,regular,2023-10-12,DAL,STL
2023020014,20232024,regular,2023-10-12,MIN,FLA
2023020015,20232024,regular,2023-10-12,NSH,SEA
2023020016,20232024,regular,2023-10-12,SJS,VGK
2023020017,20232024,regular,2023-10-13,NJD,ARI
2023020018,20232024,regular,2023-10-13,WSH,PIT
2023020019,20232024,regular,2023-10-14,OTT,PHI
2023020020,20232024,regular,2023-10-14,WPG,FLA
2023020021,20232024,regular,2023-10-14,BOS,NSH
2023020022,20232024,regular,2023-10-14,CBJ,NYR
2023020023,20232024,regular,2023-10-14,DET,TBL
2023020024,20232024,regular,2023-10-14,MTL,CHI
2023020025,20232024,regular,2023-10-14,PIT,CGY
2023020026,20232024,regular,2023-10-14,TOR,MIN
2023020027,20232024,regular,2023-10-14,NYI,BUF
2023020028,20232024,regular,2023-10-14,STL,SEA
2023020029,20232024,regular,2023-10-14,EDM,VAN
2023020030,20232024,regular,2023-10-14,SJS,COL
2023020031,20232024,regular,2023-10-14,VGK,ANA
2023020032,20232024,regular,2023-10-14,LAK,CAR
2023020033,20232024,regular,2023-10-15,OTT,TBL
2023020034,20232024,regular,2023-10-15,ANA,CAR
2023020035,20232024,regular,2023-10-16,CBJ,DET
2023020036,20232024,regular,2023-10-16,NJD,FLA
2023020037,20232024,regular,2023-10-16,NYR,ARI
2023020038,20232024,regular,2023-10-16,TOR,CHI
2023020039,20232024,regular,2023-10-16,WSH,CGY
2023020042,20232024,regular,2023-10-17,PHI,VAN
2023020041,20232024,regular,2023-10-17,MTL,MIN
2023020040,20232024,regular,2023-10-17,BUF,TBL
2023020043,20232024,regular,2023-10-17,NYI,ARI
2023020044,20232024,regular,2023-10-17,NSH,EDM
2023020045,20232024,regular,2023-10-17,WPG,LAK
2023020046,20232024,regular,2023-10-17,SEA,COL
2023020047,20232024,regular,2023-10-17,SJS,CAR
2023020048,20232024,regular,2023-10-17,VGK,DAL
2023020049,20232024,regular,2023-10-18,OTT,WSH
2023020050,20232024,regular,2023-10-18,DET,PIT
2023020051,20232024,regular,2023-10-19,BUF,CGY
2023020052,20232024,regular,2023-10-19,FLA,TOR
2023020053,20232024,regular,2023-10-19,NYR,NSH
2023020055,20232024,regular,2023-10-19,TBL,VAN
2023020054,20232024,regular,2023-10-19,PHI,EDM
2023020056,20232024,regular,2023-10-19,MIN,LAK
2023020057,20232024,regular,2023-10-19,STL,ARI
2023020058,20232024,regular,2023-10-19,WPG,VGK
2023020059,20232024,regular,2023-10-19,ANA,DAL
2023020060,20232024,regular,2023-10-19,SEA,CAR
2023020061,20232024,regular,2023-10-19,COL,CHI
2023020062,20232024,regular,2023-10-19,SJS,BOS
2023020063,20232024,regular,2023-10-20,CBJ,CGY
2023020064,20232024,regular,2023-10-20,NYI,NJD
2023020065,20232024,regular,2023-10-21,OTT,DET
2023020066,20232024,regular,2023-10-21,ARI,ANA
