player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Filip Hronek,VAN,D,287,4,0.7862,0.8329,8.7,8.0,8.4,8.1,7.8,7.4,4.7,4.7,8.0,7.3,6.3,6.4,7.9,7.9,5.0,4.6,0.341,0.034,-0.1584,0.0722,-0.1584,DECLINING
Robert Bortuzzo,UTA,D,87,2,0.7845,0.805,8.8,8.2,8.4,8.1,5.3,5.4,7.2,7.0,5.0,5.1,4.3,4.3,7.3,7.4,4.5,4.3,0.0436,,,0.0436,,
Logan Mailloux,STL,D,74,1,0.7645,0.8166,7.5,8.6,7.2,8.1,6.5,6.4,4.4,4.5,4.9,4.1,3.4,3.7,4.6,5.1,3.9,4.1,,,,,,
Adam Fox,NYR,D,283,4,0.794,0.8109,9.1,7.8,8.7,8.0,9.2,8.9,6.4,6.5,7.7,7.0,4.8,5.0,8.6,8.5,6.1,5.6,-0.0911,-0.1486,0.0466,-0.0644,0.0466,STABLE
Samuel Girard,PIT,D,268,4,0.7807,0.77,8.7,8.4,8.1,8.0,9.1,9.4,4.9,5.6,7.6,7.5,5.0,5.0,8.4,8.5,6.3,6.3,-0.0953,0.0995,-0.4638,-0.1532,-0.4638,DECLINING
Mikhail Sergachev,UTA,D,267,4,0.7928,0.819,9.1,7.8,8.7,8.0,8.3,8.0,6.5,6.4,8.4,7.8,5.8,5.9,8.9,8.8,5.9,5.6,0.0537,0.1477,-0.2249,-0.0078,-0.2249,DECLINING
Cam Fowler,STL,D,312,4,0.7892,0.7814,9.1,8.1,8.6,8.0,7.7,7.5,6.5,6.5,5.9,5.5,3.0,3.2,7.6,7.7,4.0,3.8,0.0785,-0.1249,-0.0602,-0.0355,-0.0602,DECLINING
Nick DeSimone,UTA,D,97,3,0.7777,0.8102,8.2,8.2,7.9,8.0,5.9,5.7,4.9,4.7,5.9,5.2,4.5,4.7,5.7,5.8,4.3,4.1,,0.1955,-0.0605,0.0675,-0.0605,DECLINING
Ian Cole,UTA,D,319,4,0.7826,0.8203,8.5,8.1,8.2,8.0,9.1,9.1,9.1,9.1,8.4,8.3,4.8,4.8,8.2,8.3,4.9,4.8,0.4312,-0.0122,-0.1706,0.0828,-0.1706,DECLINING
Jake Middleton,MIN,D,301,4,0.7894,0.8481,8.6,7.6,8.4,8.0,9.4,9.4,4.9,5.3,7.4,7.0,5.6,5.7,8.3,8.4,6.9,6.8,0.2916,-0.3676,0.2016,0.0419,0.2016,RISING
