player_name,team,pos,GP,OZI_pooled_score,OZI_23_24,OZI_24_25,OZI_25_26,OZI_trend,OZI_recent,OZI_flag,DZI_pooled_score,DZI_23_24,DZI_24_25,DZI_25_26,DZI_trend,DZI_recent,DZI_flag,NZI_pooled_score,NZI_23_24,NZI_24_25,NZI_25_26,NZI_trend,NZI_recent,NZI_flag,TNZI_pooled_score,TNZI_23_24,TNZI_24_25,TNZI_25_26,TNZI_trend,TNZI_recent,TNZI_flag
Tony DeAngelo,NYI,D,212,9.2,0.0425,0.1554,-0.0704,0.0425,-0.0704,DECLINING,8.7,-0.584,0.2263,0.1134,-0.0814,0.1134,RISING,8.1,-0.3149,0.4709,-0.1913,-0.0118,-0.1913,DECLINING,7.5,-0.584,0.5627,-0.0954,-0.0389,-0.0954,DECLINING
Marcus Pettersson,VAN,D,309,7.4,0.1225,-0.0718,-0.088,-0.0124,-0.088,DECLINING,8.5,-0.1446,0.2257,-0.1934,-0.0374,-0.1934,DECLINING,8.1,-0.0294,-0.1081,0.1304,-0.0023,0.1304,RISING,7.9,-0.0736,-0.0191,0.163,0.0234,0.163,RISING
Connor Mackey,NYR,D,36,7.4,,,,,,,3.7,,,,,,,3.6,,,,,,,4.6,,,,,,
Andreas Englund,NSH,D,167,6.4,0.691,-0.599,,0.046,-0.599,DECLINING,7.0,0.2629,-0.2313,,0.0158,-0.2313,DECLINING,5.4,0.2831,-0.0366,,0.1232,-0.0366,STABLE,7.0,0.0477,0.249,,0.1484,0.249,RISING
Braden Schneider,NYR,D,325,6.3,0.1591,-0.5631,0.1747,-0.0764,0.1747,RISING,7.2,-0.0845,-0.1352,0.0744,-0.0485,0.0744,RISING,7.3,-0.0561,-0.2464,0.4736,0.057,0.4736,RISING,7.0,-0.1622,-0.0192,0.2576,0.0254,0.2576,RISING
Brandon Montour,SEA,D,290,8.1,0.1383,-0.0607,-0.084,-0.0021,-0.084,DECLINING,9.4,-0.2145,0.2015,-0.2413,-0.0848,-0.2413,DECLINING,8.2,0.0946,0.0516,-0.225,-0.0263,-0.225,DECLINING,7.6,-0.0982,0.0008,-0.1569,-0.0848,-0.1569,DECLINING
Kaiden Guhle,MTL,D,208,7.2,0.1143,-0.0623,-0.2238,-0.0573,-0.2238,DECLINING,8.1,0.2424,-0.3324,0.3113,0.0738,0.3113,RISING,7.5,0.2301,-0.1109,0.2492,0.1228,0.2492,RISING,8.2,0.0778,0.1012,-0.0595,0.0398,-0.0595,DECLINING
Tyler Kleven,OTT,D,166,6.1,,,0.1713,0.1713,0.1713,RISING,6.2,,,0.1462,0.1462,0.1462,RISING,7.3,,,0.3151,0.3151,0.3151,RISING,8.0,,,0.1021,0.1021,0.1021,RISING
Daemon Hunt,MIN,D,45,6.6,,,,,,,4.7,,,,,,,5.3,,,,,,,5.4,,,,,,
Alexander Nikishin,CAR,D,81,7.1,,,,,,,9.3,,,,,,,8.4,,,,,,,7.0,,,,,,
