player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Morgan Geekie,BOS,C,303,4,0.7617,0.7221,6.6,4.5,6.5,5.5,7.9,7.8,7.3,7.5,8.3,7.7,5.2,5.2,8.1,8.0,4.5,4.6,-0.0547,-0.0039,-0.2169,-0.0918,-0.2169,DECLINING
Mika Zibanejad,NYR,C,326,4,0.7686,0.7396,7.9,5.0,7.9,6.6,6.4,5.6,6.6,6.0,6.6,5.6,4.9,5.1,7.6,7.4,4.7,4.6,-0.099,0.159,-0.1754,-0.0385,-0.1754,DECLINING
Mark Scheifele,WPG,C,318,4,0.7652,0.7391,7.2,4.4,7.2,5.9,8.2,7.8,3.9,4.2,8.2,7.5,7.3,7.3,7.4,7.2,4.6,4.6,0.1256,0.1566,-0.2146,0.0225,-0.2146,DECLINING
Matvei Gridin,CGY,R,36,1,0.7402,0.7451,5.1,4.8,5.2,5.4,3.6,2.9,0.4,0.3,4.6,4.3,3.8,3.8,4.7,5.0,3.8,4.6,,,,,,
Oliver Wahlstrom,BOS,R,110,3,0.7609,0.7618,6.9,5.1,6.9,6.2,5.2,5.0,4.3,4.5,6.1,6.2,7.0,6.9,5.8,5.6,4.6,4.6,-0.2532,0.3494,,0.0481,0.3494,RISING
Jakub Lauko,BOS,C,139,3,0.7575,0.7238,3.5,2.6,3.3,2.5,5.3,5.1,5.8,5.9,6.0,5.7,4.2,4.2,7.4,7.4,4.3,4.6,0.4111,-0.082,,0.1645,-0.082,DECLINING
Tom Wilson,WSH,R,260,4,0.7699,0.7403,7.6,5.3,7.3,6.2,7.5,6.9,6.6,6.4,7.6,6.5,6.4,6.6,7.7,7.5,4.8,4.6,0.1128,0.1388,-0.0046,0.0824,-0.0046,STABLE
Tomas Hertl,VGK,C,289,4,0.7631,0.7313,7.7,5.3,7.6,6.6,7.3,6.9,5.6,5.7,7.3,6.5,5.4,5.4,7.5,7.4,4.5,4.6,-0.2401,0.2095,-0.0315,-0.0207,-0.0315,STABLE
Noah Philp,CAR,C,32,0,0.736,0.7509,2.2,2.9,2.3,2.6,4.1,4.5,2.6,3.4,4.5,6.0,5.8,5.3,4.0,4.3,3.7,4.6,,,,,,
Tyler Bertuzzi,CHI,L,291,4,0.7627,0.7252,6.7,4.4,6.6,5.4,7.2,6.7,7.5,7.2,8.4,7.7,5.8,5.8,8.0,7.9,4.6,4.6,0.2469,0.0903,-0.1691,0.056,-0.1691,DECLINING
