player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Jack St. Ivany,PIT,D,53,1,0.7844,0.7844,5.6,6.6,4.9,5.4,4.9,4.8,3.9,3.8,3.7,3.8,3.6,3.7,6.4,6.6,4.5,4.5,,,,,,
Connor Clifton,PIT,D,280,4,0.7872,0.7674,6.9,6.7,6.6,6.6,7.3,7.5,6.4,6.7,7.0,7.1,3.4,3.5,7.6,7.7,4.6,4.5,-0.0254,-0.0084,0.0016,-0.0108,0.0016,STABLE
Andreas Englund,NSH,D,167,3,0.7844,0.7743,6.4,5.4,5.9,5.2,7.0,7.2,5.9,6.1,5.4,5.6,3.7,3.7,7.0,7.2,4.5,4.5,0.0477,0.249,,0.1484,0.249,RISING
Justin Barron,NSH,D,200,4,0.7936,0.7679,7.8,6.8,6.9,6.2,8.5,8.4,5.8,6.0,7.1,6.5,4.1,4.3,8.0,8.0,4.7,4.5,0.0714,0.0306,0.0005,0.0342,0.0005,STABLE
Donovan Sebrango,FLA,D,44,1,0.7812,0.7839,3.5,5.8,3.3,4.7,7.4,7.2,7.2,7.1,8.0,7.2,5.0,5.2,6.0,6.3,4.4,4.5,,,,,,
Charlie McAvoy,BOS,D,260,4,0.796,0.7658,9.3,7.9,8.7,7.9,6.9,6.7,6.8,6.5,7.2,6.8,3.9,4.0,8.2,8.1,4.8,4.4,-0.0373,-0.1341,0.0046,-0.0556,0.0046,STABLE
Ben Chiarot,DET,D,316,4,0.7954,0.7743,8.0,7.2,7.5,7.0,7.9,7.7,6.9,6.9,6.8,6.2,4.3,4.4,7.6,7.6,4.8,4.4,-0.1157,0.0686,0.0345,-0.0042,0.0345,STABLE
Riley Stillman,EDM,D,59,1,0.7808,0.7779,6.9,5.6,6.7,5.9,4.0,3.8,4.7,4.4,4.7,5.0,2.8,2.9,6.2,6.5,4.3,4.4,,,,,,
Calle Rosen,STL,D,55,1,0.7832,0.7627,7.6,6.3,7.4,6.7,4.0,4.1,5.0,4.9,5.0,6.0,2.9,2.8,7.1,7.4,4.3,4.4,,,,,,
Noah Dobson,MTL,D,308,4,0.8,0.7786,7.9,6.9,7.4,6.7,9.3,9.2,6.4,6.6,8.2,7.7,6.8,6.8,7.8,7.7,5.0,4.4,-0.0192,-0.1156,0.0779,-0.019,0.0779,RISING
Ilya Lyubushkin,DAL,D,275,4,0.7906,0.7702,7.9,7.0,7.1,6.4,7.4,7.1,7.4,7.1,6.3,6.2,4.1,4.2,7.5,7.6,4.6,4.4,-0.0519,0.2178,-0.1873,-0.0071,-0.1873,DECLINING
MacKenzie Weegar,UTA,D,322,4,0.7929,0.7577,9.3,8.5,8.9,8.5,8.7,8.5,8.7,8.6,6.3,5.5,1.4,1.8,8.4,8.4,4.7,4.4,0.0287,-0.1595,-0.0572,-0.0627,-0.0572,DECLINING
Drew Helleson,ANA,D,119,2,0.7859,0.776,6.5,7.4,6.0,6.6,6.1,5.9,4.6,4.5,5.8,5.7,3.3,3.5,6.8,7.0,4.5,4.4,,,0.3976,0.3976,0.3976,RISING
Noah Juulsen,PHI,D,153,3,0.7885,0.7792,7.9,8.1,7.7,8.0,6.1,5.9,5.0,4.8,5.5,5.4,4.0,4.0,6.7,6.9,4.5,4.4,,-0.1607,-0.0398,-0.1003,-0.0398,STABLE
Erik Karlsson,PIT,D,321,4,0.7972,0.7595,8.5,7.0,7.8,6.8,8.6,8.4,7.1,7.1,8.5,7.9,4.0,4.2,8.6,8.6,4.8,4.4,-0.2095,0.168,0.0425,0.0003,0.0425,STABLE
Tyson Barrie,CGY,D,139,2,0.791,0.7749,8.3,6.1,7.6,6.1,6.8,7.0,3.7,4.1,7.1,7.2,4.6,4.6,6.9,7.0,4.5,4.3,-0.5097,,,-0.5097,,
Timothy Liljegren,WSH,D,238,4,0.7969,0.78,8.3,7.0,7.8,7.0,7.6,7.3,5.5,5.4,6.4,5.9,4.3,4.5,7.3,7.3,4.8,4.3,-0.2092,0.1371,0.0145,-0.0192,0.0145,STABLE
Jonathan Aspirot,BOS,D,61,1,0.7864,0.7966,5.2,6.1,5.4,6.1,5.8,5.5,6.0,5.6,5.3,4.4,3.6,3.9,5.5,5.7,4.4,4.3,,,,,,
Ryan Pulock,NYI,D,290,4,0.7983,0.7746,8.4,7.3,8.0,7.4,7.9,7.7,5.7,5.7,7.8,7.3,6.7,6.7,7.7,7.7,4.8,4.3,-0.2066,0.1551,-0.0986,-0.05,-0.0986,DECLINING
Robert Bortuzzo,UTA,D,87,2,0.7899,0.7671,8.8,8.2,8.4,8.1,5.3,5.4,7.2,7.0,5.0,5.1,4.3,4.3,7.3,7.4,4.5,4.3,-0.4071,,,-0.4071,,
Justin Schultz,SEA,D,143,2,0.7892,0.7804,8.5,6.8,8.0,7.0,6.8,6.7,5.3,5.3,5.8,6.0,4.8,4.8,6.6,6.8,4.5,4.3,-0.0141,,,-0.0141,,
Cal Foote,NJD,D,54,1,0.7795,0.7738,5.3,4.4,4.8,4.1,8.0,8.4,7.2,7.8,6.5,7.4,3.9,3.7,5.9,6.2,4.1,4.2,,,,,,
Tyler Tucker,STL,D,158,4,0.7776,0.7487,7.2,7.9,6.9,7.5,5.2,5.3,5.3,5.3,6.5,6.9,2.7,2.7,6.9,7.3,3.9,4.2,-0.0846,0.2163,0.0705,0.0674,0.0705,RISING
Jake McCabe,TOR,D,295,4,0.7978,0.7647,8.8,7.5,8.3,7.5,7.2,6.9,7.4,7.1,6.7,5.9,2.6,2.9,7.9,7.9,4.7,4.2,0.0137,0.1377,-0.1566,-0.0017,-0.1566,DECLINING
Erik Gustafsson,DET,D,208,3,0.7958,0.7759,8.0,6.8,7.3,6.5,6.8,6.7,6.4,6.3,6.6,6.3,4.6,4.6,7.1,7.1,4.6,4.2,-0.3541,-0.0037,,-0.1789,-0.0037,STABLE
Samuel Bolduc,NYI,D,52,1,0.7918,0.803,5.8,5.6,5.7,5.7,2.8,2.6,3.3,3.0,6.0,5.9,5.8,5.8,5.3,5.5,4.6,4.2,,,,,,
Yan Kuznetsov,CGY,D,58,1,0.7876,0.7914,6.6,7.7,6.5,7.4,7.2,6.8,4.4,4.3,5.3,4.2,2.4,2.8,5.6,5.8,4.4,4.2,,,,,,
