player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Mattias Samuelsson,BUF,D,236,4,0.7467,0.7016,7.9,6.9,7.8,7.4,7.8,7.4,5.2,5.1,7.1,6.5,3.9,4.1,7.9,7.9,5.6,5.2,-0.207,0.0179,0.3549,0.0553,0.3549,RISING
Rasmus Dahlin,BUF,D,309,4,0.7475,0.7005,9.4,8.3,8.9,8.3,8.5,8.2,6.4,6.3,7.1,6.4,3.9,4.1,8.2,8.2,5.4,5.0,0.09,-0.1838,0.3732,0.0932,0.3732,RISING
Vladislav Kolyachonok,BOS,D,55,1,0.7545,0.715,4.1,4.6,3.9,4.2,4.7,4.0,4.7,3.9,4.9,3.8,3.7,4.1,4.8,5.0,3.4,3.1,,,,,,
Dakota Mermis,TOR,D,64,1,0.7504,0.7055,7.7,7.7,7.4,7.5,5.4,5.2,4.5,4.2,6.3,5.4,3.8,4.1,6.0,6.0,3.8,3.4,,,,,,
Braden Schneider,NYR,D,325,4,0.74,0.7036,6.3,5.9,5.5,5.1,7.2,7.1,7.7,7.6,7.3,7.1,4.0,4.1,7.0,7.1,3.3,3.1,-0.0561,-0.2464,0.4736,0.057,0.4736,RISING
Nick Holden,OTT,D,65,1,0.7326,0.7237,7.6,5.9,7.3,6.3,4.5,4.5,3.9,3.9,5.6,5.9,4.1,4.1,7.0,7.2,4.9,4.8,,,,,,
Charlie McAvoy,BOS,D,260,4,0.7442,0.698,9.3,7.9,8.7,7.9,6.9,6.7,6.8,6.5,7.2,6.8,3.9,4.0,8.2,8.1,4.8,4.4,-0.1775,-0.1347,0.0061,-0.102,0.0061,STABLE
Pavel Mintyukov,ANA,D,203,3,0.7451,0.7033,8.0,8.2,7.3,7.5,7.5,7.3,7.2,7.0,6.1,5.6,3.8,4.0,7.4,7.6,4.6,4.5,,0.0453,0.1663,0.1058,0.1663,RISING
Sam Rinzel,CHI,D,63,1,0.7504,0.6778,5.5,5.0,5.0,4.6,5.6,4.7,7.5,6.4,8.7,7.9,3.8,4.0,7.5,7.6,3.7,3.4,,,,,,
Chris Tanev,TOR,D,226,3,0.7553,0.7095,9.3,7.8,9.1,8.4,6.9,6.3,5.2,4.8,4.9,3.7,3.6,4.0,7.9,7.7,5.8,5.2,0.0591,-0.0349,,0.0121,-0.0349,STABLE
Justin Holl,STL,D,199,3,0.7423,0.7026,6.8,5.8,6.6,6.1,6.0,5.9,6.2,6.0,6.7,6.4,3.9,4.0,7.3,7.3,4.4,4.0,-0.3562,0.1047,,-0.1258,0.1047,RISING
Hampus Lindholm,BOS,D,237,3,0.7379,0.6929,9.6,8.3,9.1,8.3,8.1,8.1,6.5,6.6,8.0,8.0,4.0,4.0,8.4,8.4,4.8,4.6,-0.2529,,,-0.2529,,
Jamie Drysdale,PHI,D,190,3,0.7493,0.6964,8.2,8.4,8.2,8.5,7.3,6.9,5.5,5.3,6.5,5.8,3.7,4.0,8.0,8.0,5.9,5.8,,-0.1994,0.1152,-0.0421,0.1152,RISING
Noah Juulsen,PHI,D,153,3,0.7382,0.719,7.9,8.1,7.7,8.0,6.1,5.9,5.0,4.8,5.5,5.4,4.0,4.0,6.7,6.9,4.5,4.4,,0.0532,-0.2106,-0.0787,-0.2106,DECLINING
Luke Schenn,BUF,D,259,4,0.7414,0.7159,7.5,6.9,6.9,6.5,8.0,8.0,6.6,6.8,5.2,5.0,3.8,4.0,6.7,6.8,4.5,4.2,0.0015,-0.0685,-0.228,-0.0983,-0.228,DECLINING
Henri Jokiharju,BOS,D,235,4,0.742,0.7011,9.0,8.7,8.8,8.8,8.1,8.0,5.9,6.1,6.3,6.0,3.8,3.9,7.9,8.0,5.5,5.4,0.1543,-0.0068,-0.1076,0.0133,-0.1076,DECLINING
Erik Brannstrom,VAN,D,178,3,0.7335,0.7015,8.8,7.9,8.1,7.6,7.7,7.8,7.8,8.0,7.2,7.5,4.0,3.9,7.8,7.9,4.9,4.8,-0.0789,0.014,,-0.0324,0.014,STABLE
Sam Dickinson,SJS,D,71,1,0.7344,0.6957,6.9,8.5,6.5,7.6,8.6,8.9,5.3,6.0,7.6,7.8,3.9,3.9,5.8,6.3,1.9,2.5,,,,,,
Jordan Harris,BOS,D,162,3,0.7439,0.6862,6.2,4.1,5.3,3.7,8.5,8.6,6.2,6.6,7.6,7.2,3.7,3.9,6.7,6.6,3.8,3.2,0.1081,-0.3709,,-0.1314,-0.3709,DECLINING
Jaycob Megna,VGK,D,110,2,0.7306,0.718,7.6,6.1,7.1,6.1,5.0,5.2,5.2,5.3,5.6,6.0,4.0,3.9,7.0,7.2,3.7,3.7,-0.2508,,,-0.2508,,
Jonathan Aspirot,BOS,D,61,1,0.7518,0.7036,5.2,6.1,5.4,6.1,5.8,5.5,6.0,5.6,5.3,4.4,3.6,3.9,5.5,5.7,4.4,4.3,,,,,,
Haydn Fleury,WPG,D,129,4,0.7396,0.7132,5.0,5.6,4.8,5.2,6.3,6.1,5.8,5.6,5.1,4.9,3.7,3.9,6.2,6.4,4.3,4.1,0.402,-0.2233,-0.3601,-0.0605,-0.3601,DECLINING
Daemon Hunt,MIN,D,45,1,0.7439,0.7096,6.6,7.5,6.3,6.9,4.7,4.8,3.9,4.0,5.3,4.8,3.7,3.9,5.4,5.9,3.1,3.4,,,,,,
Travis Dermott,MIN,D,80,1,0.7338,0.7235,7.6,6.7,7.4,7.0,5.5,5.2,5.9,5.6,4.9,5.1,3.9,3.9,6.7,6.8,4.4,4.2,,,,,,
Simon Edvinsson,DET,D,175,2,0.7479,0.6873,7.2,7.2,6.7,6.7,7.6,7.3,6.7,6.6,7.6,6.9,3.7,3.9,8.3,8.3,5.0,4.7,,,0.1628,0.1628,0.1628,RISING
Arber Xhekaj,MTL,D,230,4,0.7346,0.6921,5.9,5.8,5.1,4.9,8.0,8.2,5.2,5.7,7.4,7.6,3.8,3.8,7.6,7.7,3.6,3.4,0.137,-0.2815,0.4254,0.0936,0.4254,RISING
Chris Wideman,MTL,D,46,1,0.7375,0.7253,5.8,4.5,4.9,3.7,5.5,5.9,3.3,3.8,3.6,3.5,3.7,3.8,4.6,4.6,3.2,2.5,,,,,,
Conor Timmins,BUF,D,159,4,0.7382,0.7109,7.5,7.6,6.9,7.0,5.8,5.8,5.0,5.0,5.3,5.3,3.7,3.8,7.3,7.5,5.1,5.1,-0.2015,-0.0676,0.114,-0.0517,0.114,RISING
Nikolas Matinpalo,OTT,D,95,2,0.7235,0.7164,4.6,6.4,3.7,4.7,4.4,4.5,6.5,6.3,5.7,6.6,3.9,3.8,6.9,7.3,4.9,5.2,,,-0.0317,-0.0317,-0.0317,STABLE
Adam Wilsby,NSH,D,80,2,0.7441,0.6997,5.2,5.8,4.9,5.3,7.6,7.3,5.3,5.2,6.0,5.6,3.6,3.8,6.6,6.8,4.8,4.6,,,0.3957,0.3957,0.3957,RISING
Oliver Ekman-Larsson,TOR,D,289,4,0.7468,0.6815,8.9,8.3,8.5,8.3,6.8,6.5,6.4,6.2,6.9,6.3,3.4,3.7,8.2,8.2,5.3,5.0,0.4671,-0.2351,0.0636,0.0985,0.0636,RISING
Justin Faulk,DET,D,298,4,0.7443,0.6793,8.8,8.0,8.5,8.2,8.3,8.2,7.2,7.3,7.4,7.0,3.5,3.7,8.2,8.3,4.8,4.6,-0.0837,0.0785,0.1793,0.0581,0.1793,RISING
Cal Foote,NJD,D,54,1,0.7239,0.7059,5.3,4.4,4.8,4.1,8.0,8.4,7.2,7.8,6.5,7.4,3.9,3.7,5.9,6.2,4.1,4.2,,,,,,
Pierre-Olivier Joseph,VAN,D,205,4,0.7417,0.6973,6.8,6.2,6.0,5.4,8.0,8.0,7.1,7.3,5.7,5.4,3.5,3.7,7.1,7.2,3.9,3.6,-0.095,-0.1146,0.0906,-0.0397,0.0906,RISING
Torey Krug,STL,D,140,2,0.7439,0.6897,9.7,8.4,9.4,8.7,7.4,7.2,5.6,5.5,6.4,6.0,3.5,3.7,7.7,7.7,4.8,4.6,-0.2443,,,-0.2443,,
Jack St. Ivany,PIT,D,53,1,0.7347,0.7225,5.6,6.6,4.9,5.4,4.9,4.8,3.9,3.8,3.7,3.8,3.6,3.7,6.4,6.6,4.5,4.5,,,,,,
John Ludvig,COL,D,41,1,0.7416,0.7093,1.7,1.5,1.2,0.7,4.8,4.8,3.9,3.9,4.6,4.3,3.5,3.7,5.3,5.3,4.0,3.4,,,,,,
Albert Johansson,DET,D,143,2,0.7513,0.6906,6.6,7.2,5.9,6.3,6.0,5.7,6.2,5.8,5.6,4.7,3.4,3.7,6.9,7.0,4.2,3.8,,,-0.0588,-0.0588,-0.0588,DECLINING
Zac Jones,NYR,D,93,2,0.7247,0.7065,3.9,4.0,3.3,3.1,4.1,4.1,4.7,4.6,6.2,7.0,3.8,3.7,6.6,6.8,3.0,2.8,,-0.0106,,-0.0106,-0.0106,STABLE
Andreas Englund,NSH,D,167,3,0.7338,0.7086,6.4,5.4,5.9,5.2,7.0,7.2,5.9,6.1,5.4,5.6,3.7,3.7,7.0,7.2,4.5,4.5,0.2831,-0.0366,,0.1232,-0.0366,STABLE
Rasmus Andersson,VGK,D,319,4,0.7497,0.6816,9.9,9.0,9.7,9.4,7.3,6.9,5.6,5.4,6.6,5.8,3.4,3.7,8.7,8.7,5.7,5.5,-0.0238,0.0737,-0.0377,0.0041,-0.0377,STABLE
Logan Mailloux,STL,D,74,1,0.7497,0.7001,7.5,8.6,7.2,8.1,6.5,6.4,4.4,4.5,4.9,4.1,3.4,3.7,4.6,5.1,3.9,4.1,,,,,,
Logan Stanley,BUF,D,183,3,0.7376,0.6902,6.4,6.9,5.9,6.3,6.7,6.5,6.2,6.0,6.4,6.4,3.5,3.6,5.9,6.1,3.5,3.4,,-0.1216,-0.0813,-0.1015,-0.0813,DECLINING
Jon Merrill,MIN,D,208,3,0.7311,0.6882,8.3,8.0,7.9,7.9,7.2,7.4,7.3,7.6,7.2,7.6,3.7,3.6,7.4,7.7,3.8,3.9,-0.2624,-0.0161,,-0.1393,-0.0161,STABLE
Derek Forbort,VAN,D,145,3,0.7358,0.6926,9.1,8.7,8.5,8.3,7.4,7.5,6.9,7.1,6.4,6.5,3.6,3.6,7.5,7.7,3.7,3.6,0.4727,-0.3327,,0.07,-0.3327,DECLINING
Alexander Alexeyev,WSH,D,79,2,0.7317,0.698,8.0,6.8,7.2,6.3,7.6,7.7,6.2,6.4,5.9,6.3,3.6,3.6,4.8,5.1,3.1,3.0,-0.028,,,-0.028,,
Egor Zamula,CBJ,D,176,3,0.7363,0.6879,7.6,7.4,7.5,7.6,7.2,7.3,6.4,6.5,6.7,6.8,3.5,3.6,7.7,7.8,5.6,5.4,,-0.3442,-0.0125,-0.1783,-0.0125,STABLE
Connor Mackey,NYR,D,36,1,0.7209,0.5632,7.4,5.6,7.0,5.9,3.7,3.9,8.5,8.2,3.6,4.7,0.0,0.0,4.6,4.9,0.0,0.0,,,,,,
Ilya Solovyov,PIT,D,45,1,0.7498,0.672,6.6,6.5,6.0,5.9,6.4,6.0,5.3,4.9,7.4,6.7,3.4,3.6,6.4,6.4,4.2,3.8,,,,,,
Owen Power,BUF,D,315,4,0.7419,0.6784,8.5,7.9,8.2,7.9,8.4,8.3,6.9,7.0,7.3,7.0,3.5,3.6,8.3,8.4,5.3,5.1,0.1616,-0.1103,0.2892,0.1135,0.2892,RISING
Ryan Shea,PIT,D,150,3,0.7336,0.6837,6.6,7.4,5.7,6.0,6.7,6.9,5.7,5.9,7.1,7.3,3.5,3.5,8.0,8.3,4.5,4.8,,-0.0384,0.3119,0.1368,0.3119,RISING
Keaton Middleton,COL,D,44,1,0.7102,0.7521,0.0,3.5,0.0,2.1,6.2,7.0,2.9,3.9,1.8,3.5,3.9,3.5,6.3,6.9,5.5,6.3,,,,,,
Victor Mancini,VAN,D,55,2,0.7416,0.6976,4.2,6.1,3.7,4.8,5.4,5.2,5.4,5.2,4.7,4.4,3.3,3.5,4.4,4.8,1.8,1.9,,,-0.3458,-0.3458,-0.3458,DECLINING
Axel Sandin-Pellikka,DET,D,68,1,0.7498,0.675,6.5,7.0,6.0,6.4,5.1,4.7,4.4,4.1,6.4,5.6,3.2,3.5,6.0,6.2,3.9,3.8,,,,,,
Spencer Stastney,EDM,D,117,3,0.727,0.6822,8.5,8.4,7.7,7.5,8.3,8.4,6.7,7.1,7.4,8.1,3.6,3.5,7.9,8.2,4.4,4.7,,0.0089,0.5075,0.2582,0.5075,RISING
Connor Clifton,PIT,D,280,4,0.7362,0.6787,6.9,6.7,6.6,6.6,7.3,7.5,6.4,6.7,7.0,7.1,3.4,3.5,7.6,7.7,4.6,4.5,-0.0135,-0.158,0.1243,-0.0157,0.1243,RISING
Drew Helleson,ANA,D,119,2,0.7397,0.6878,6.5,7.4,6.0,6.6,6.1,5.9,4.6,4.5,5.8,5.7,3.3,3.5,6.8,7.0,4.5,4.4,,,0.2712,0.2712,0.2712,RISING
Louis Crevier,CHI,D,134,3,0.7604,0.6731,6.6,5.7,5.9,5.2,6.5,5.6,8.3,7.3,6.1,4.6,3.1,3.5,6.9,6.8,3.3,2.7,,0.3141,0.0477,0.1809,0.0477,STABLE
Tyler Kleven,OTT,D,166,2,0.7308,0.6828,6.1,7.0,5.3,5.7,6.2,6.3,7.8,7.8,7.3,7.7,3.6,3.5,8.0,8.2,4.7,4.9,,,0.3151,0.3151,0.3151,RISING
