rank,player_id,player_name,position,team_recent,n_seasons,toi_total,NFI_pct,NFI_pct_ZA,NFI_pct_3A,CF_pct,CF_pct_ZA,RelNFI_pct,RelNFI_F_pct,RelNFI_A_pct,NFQOC,NFQOL,oz_ratio,NFI_pct_3A_MOM_3yr,rank_NFI_ZA,rank_CF_ZA,rank_change
64,8480192,Johnathan Kovacevic,D,NJD,4,4354.25,0.502811,0.534813,0.555796,0.494042,0.526044,1.72292,1.306718,0.416202,0.501815,0.464571,0.408565,-0.015033,124,103,-21
65,8474150,Mikael Backlund,F,CGY,4,5370.7,0.527175,0.556518,0.556272,0.523148,0.552491,1.696839,0.243794,1.453045,0.503318,0.494894,0.416163,-0.014207,38,21,-17
66,8477409,Carter Verhaeghe,F,FLA,4,5042.266667,0.549142,0.529965,0.509505,0.498484,0.479308,1.68384,1.930584,-0.246744,0.503062,0.52551,0.55479,-0.006897,142,463,321
67,8484145,Zach Benson,F,BUF,3,2761.966667,0.511412,0.510777,0.523438,0.508097,0.507462,1.674246,1.827108,-0.152862,0.499273,0.475076,0.501815,,243,219,-24
68,8479325,Charlie McAvoy,D,BOS,4,5570.483333,0.530257,0.505781,0.502971,0.509932,0.485456,1.659244,0.209071,1.450173,0.504576,0.495616,0.569933,-0.020526,267,422,155
69,8475913,Mark Stone,F,VGK,4,3976.566667,0.571926,0.543149,0.524107,0.523607,0.49483,1.651805,-0.873242,2.525047,0.496751,0.528538,0.58222,-0.02114,85,346,261
70,8477497,Sean Monahan,F,CBJ,4,3714.85,0.51043,0.517394,0.527937,0.504243,0.511207,1.648272,-0.394763,2.043035,0.500843,0.479483,0.480103,-0.008786,206,185,-21
71,8481656,Aliaksei Protas,F,WSH,4,3863.966667,0.524981,0.53665,0.539998,0.51007,0.521739,1.642381,1.521128,0.121253,0.502946,0.491043,0.466659,0.013291,115,121,6
72,8474578,Erik Karlsson,D,PIT,4,7052.5,0.526624,0.500476,0.500516,0.498708,0.47256,1.635689,1.258431,0.377258,0.502821,0.496073,0.574707,0.007507,301,500,199
73,8477476,Artturi Lehkonen,F,COL,4,4212.85,0.555156,0.523659,0.500368,0.509241,0.477745,1.635224,0.698351,0.936873,0.502317,0.529785,0.58999,0.010319,178,471,293
74,8471675,Sidney Crosby,F,PIT,4,5679.583333,0.53017,0.489626,0.49348,0.503753,0.463209,1.615878,1.314008,0.30187,0.503213,0.487205,0.61584,-0.017483,366,541,175
75,8480069,Cale Makar,D,COL,4,6563.766667,0.557494,0.512321,0.492053,0.505319,0.460145,1.61418,-1.278636,2.892816,0.500309,0.528431,0.629069,-0.033257,231,550,319
76,8484801,Macklin Celebrini,F,SJS,2,2456.133333,0.477115,0.457007,0.483455,0.492382,0.472274,1.6116,0.456112,1.155489,0.500477,0.445595,0.557453,,512,502,-10
77,8477495,Seth Jones,D,FLA,4,5798.283333,0.446702,0.439274,0.48103,0.486231,0.478803,1.59823,-0.764356,2.362587,0.503901,0.431906,0.521223,-0.006422,546,467,-79
78,8477998,Warren Foegele,F,LAK,4,3844.966667,0.569083,0.568156,0.537391,0.523096,0.522168,1.570833,2.525578,-0.954745,0.500429,0.546554,0.502652,-0.02822,22,117,95
79,8481533,Trevor Zegras,F,PHI,4,3946.316667,0.464173,0.434518,0.478237,0.482512,0.452857,1.548279,1.312698,0.235581,0.502077,0.43297,0.584728,0.022099,552,558,6
80,8478115,Pierre Engvall,F,NYI,3,2847.166667,0.539421,0.542966,0.544815,0.515843,0.519388,1.542085,1.970004,-0.427919,0.496514,0.495186,0.489871,,86,136,50
81,8477511,Anthony Mantha,F,PIT,3,2810.016667,0.526665,0.517667,0.513838,0.509681,0.500683,1.53181,0.983986,0.547824,0.504654,0.503067,0.525708,,204,287,83
82,8481535,Nils Hoglander,F,VAN,4,2355.183333,0.52952,0.52059,0.524266,0.495822,0.486892,1.528183,1.82196,-0.293777,0.500598,0.489315,0.525515,0.009207,192,403,211
83,8474586,Jordan Eberle,F,SEA,4,4274.483333,0.522584,0.508224,0.51757,0.500686,0.486325,1.527471,0.489434,1.038037,0.50091,0.478183,0.541031,0.019648,257,409,152
84,8479337,Alex DeBrincat,F,DET,4,5397.8,0.497731,0.485898,0.49908,0.51312,0.501287,1.505866,0.263133,1.242733,0.502892,0.473235,0.533809,0.008169,390,281,-109
85,8476918,Jimmy Vesey,F,NYR,3,2510.516667,0.514682,0.551241,0.580758,0.512885,0.549444,1.502576,1.298654,0.203922,0.500858,0.451375,0.395546,,56,27,-29
86,8474149,Evgenii Dadonov,F,DAL,3,2776.016667,0.517273,0.5164,0.513158,0.483293,0.482421,1.499609,1.730224,-0.230614,0.496922,0.505258,0.502494,,210,451,241
87,8474716,Jared Spurgeon,D,MIN,4,4315.416667,0.536113,0.541702,0.546217,0.52366,0.52925,1.491123,-0.373781,1.864905,0.501289,0.491667,0.484031,-0.01022,95,81,-14
88,8478498,Jake DeBrusk,F,VAN,4,4517.733333,0.5193,0.515614,0.513307,0.502397,0.49871,1.484128,0.122898,1.36123,0.503676,0.496716,0.510534,-0.01199,217,307,90
89,8479385,Jordan Kyrou,F,STL,4,4935.416667,0.49447,0.469294,0.490798,0.497269,0.472093,1.462843,0.624012,0.838831,0.502824,0.464031,0.571933,0.040409,470,506,36
90,8473533,Jordan Staal,F,CAR,4,4424.316667,0.589189,0.597571,0.571997,0.533994,0.542376,1.460424,0.193457,1.266967,0.503826,0.534446,0.476053,-4.6e-05,4,37,33
