player_id,season,toi_sec,cf_fen,ca_fen,cf_cor,ca_cor,cf_cm,ca_cm,pos,name,fen_pct,cor_pct,cm_pct,team,oz_ratio,NFI_pct,CF_pct,FF_pct,ZA_NFI_emp,ZA_CF_emp,ZA_CF_trad,ZA_FF_emp,ZA_FF_trad,IOC_NFI,IOL_NFI,FA_NFI_emp,IOC_CF,IOL_CF,FA_CF_emp,FA_CF_trad,IOC_FF,IOL_FF,FA_FF_emp,FA_FF_trad,toi_min,small_sample
8477950,20252026,53159.0,589,536,779,763,180,219,D,Tony DeAngelo,0.5235555555555556,0.5051880674448768,0.45112781954887216,NYI,0.5598290598290598,0.45112781954887216,0.5051880674448768,0.5235555555555556,0.44472021277235435,0.5028595002915186,0.5030940503508596,0.5164298241730408,0.5214615384615384,0.5020557869940112,0.484135996495192,0.45411342515471725,0.5006649539131452,0.48692010495525323,0.5098996235750711,0.5101889722679572,0.5032976646319848,0.481397997354596,0.528748619284243,0.5350468992515194,885.9833333333333,False
8480762,20252026,30226.0,368,266,470,402,155,100,F,Eric Robinson,0.580441640378549,0.5389908256880734,0.6078431372549019,CAR,0.5993485342019544,0.6078431372549019,0.5389908256880734,0.580441640378549,0.5972030512697908,0.535124147285673,0.535513626991005,0.5686090799139125,0.5769644416814805,0.49343800239395597,0.5290997818389734,0.5722963494757566,0.4939692789553879,0.5338631288572917,0.5098439655641376,0.5100286254302918,0.4906460103209071,0.5901540222615835,0.5027892201190105,0.5047418523488576,503.76666666666665,False
8484938,20252026,12130.0,94,103,136,134,46,37,F,Arttu Hyry,0.47715736040609136,0.5037037037037037,0.5542168674698795,DAL,0.39325842696629215,0.5542168674698795,0.5037037037037037,0.47715736040609136,0.5656487373448386,0.5078581216667174,0.5074396587598834,0.48987044296093096,0.48089331546227115,0.505603423043302,0.5143150648861894,0.5568544944045845,0.5029360575712224,0.5017425652908174,0.5098328291174701,0.5094380988896636,0.5044514328689852,0.4823889101396034,0.5022026922517607,0.4945519032299171,202.16666666666666,True
8478856,20252026,44580.0,420,451,593,598,139,172,F,Conor Garland,0.48220436280137774,0.4979009235936188,0.44694533762057875,VAN,0.4469914040114613,0.44694533762057875,0.4979009235936188,0.48220436280137774,0.4526224824702606,0.49996403599781186,0.49975622445321766,0.4885177666398767,0.4840596636609766,0.5013119987356883,0.4674543313778921,0.4726994671001224,0.5017803154662996,0.48416255368468686,0.5097490159140291,0.5096196359539866,0.5045012568992194,0.47469661406227665,0.5058937221522355,0.5032180745153966,743.0,False
8476902,20252026,69385.0,500,539,753,729,189,181,D,Esa Lindell,0.48123195380173245,0.5080971659919028,0.5108108108108108,DAL,0.4779874213836478,0.5108108108108108,0.5080971659919028,0.48123195380173245,0.513168326511605,0.5089539029634214,0.5088676062434752,0.4838536851594501,0.48200239405330475,0.5047586456811494,0.5378378541685644,0.4883279694237939,0.501151251394286,0.5002650792201592,0.5096069456147511,0.5095293861382544,0.5042692994747351,0.487514834119646,0.4927398226216823,0.49189571139099336,1156.4166666666667,False
8478911,20252026,61224.0,585,626,856,832,201,222,D,Matt Roy,0.48307184145334436,0.5071090047393365,0.475177304964539,WSH,0.4543524416135881,0.475177304964539,0.5071090047393365,0.48307184145334436,0.4800660932103171,0.5088856230815483,0.5087066692828609,0.4885085345964186,0.48466950599686875,0.5037569442193797,0.496178019803274,0.4823501058506304,0.5000075055166168,0.497731784845073,0.5095187851003519,0.50934510617316,0.5042410062263575,0.49025839848269587,0.4955897491116689,0.49259414491245207,1020.4,False
8475184,20252026,46251.0,491,372,616,542,158,147,F,Chris Kreider,0.5689455388180765,0.531951640759931,0.5180327868852459,ANA,0.6291208791208791,0.5180327868852459,0.531951640759931,0.5689455388180765,0.5042041253216386,0.5269262126687551,0.5274324099907002,0.5535670471098942,0.5644263080488457,0.49151476938844163,0.5107186770023059,0.49049786314695787,0.4943008444029278,0.519971643267902,0.5092766116983779,0.5096356628301942,0.4892686133459711,0.5267058164261458,0.5283268334941966,0.5363628382623998,770.85,False
8482113,20252026,41761.0,334,316,434,436,122,118,F,Anton Lundell,0.5138461538461538,0.49885057471264366,0.5083333333333333,FLA,0.47854785478547857,0.5083333333333333,0.49885057471264366,0.5138461538461538,0.5106308274179829,0.4996854994274616,0.4996013997951519,0.5164011367393185,0.5145969789286621,0.5098273638159134,0.4555628756730797,0.5430096033482034,0.5026623159622795,0.48668828070350273,0.5091875217202773,0.5091823067131384,0.5064860629052014,0.5011836853095867,0.5176425840333134,0.51627062613165,696.0166666666667,False
8485512,20252026,20050.0,203,173,270,246,71,62,F,Tim Washe,0.5398936170212766,0.5232558139534884,0.5338345864661654,ANA,0.38235294117647056,0.5338345864661654,0.5232558139534884,0.5398936170212766,0.5464344182788139,0.5278346770953859,0.527373461012312,0.5539055594037005,0.5440112640801001,0.4895646949157474,0.5191684819994349,0.5261111041621153,0.49290618976424233,0.5189818987534404,0.5090664239939752,0.5084457058081269,0.48760177539583033,0.5301804050424292,0.5254471945688336,0.5123556248313261,334.1666666666667,True
8476463,20252026,44743.0,464,444,667,609,133,132,D,Jonas Brodin,0.5110132158590308,0.5227272727272727,0.5018867924528302,MIN,0.5012919896640827,0.5018867924528302,0.5227272727272727,0.5110132158590308,0.5017484222068257,0.5226769880545258,0.5226820530890298,0.5108593379388104,0.5109679962207879,0.5008745398812874,0.5427086689124283,0.47166395076957207,0.49811998202492874,0.5212777012744221,0.5088227955498015,0.5087199909929427,0.49707959802171386,0.5158962779910999,0.4971315981122359,0.49584880300562656,745.7166666666667,False
8475798,20252026,50386.0,446,412,605,555,157,149,F,Mikael Granlund,0.5198135198135199,0.521551724137931,0.5130718954248366,ANA,0.45430809399477806,0.5130718954248366,0.521551724137931,0.5198135198135199,0.5179654332371902,0.5233300685043991,0.5231509408481139,0.5252554948249704,0.5214127365237027,0.49322414022046857,0.5225076657991321,0.49732212669517484,0.4955201850513232,0.5167177192156713,0.5088059657028922,0.5085064551842182,0.4905246505618002,0.5377340570478988,0.4935430529369483,0.486358735279699,839.7666666666667,False
8477429,20252026,49661.0,465,438,665,613,143,141,F,Andrew Copp,0.5149501661129569,0.5203442879499217,0.5035211267605634,DET,0.5285359801488834,0.5035211267605634,0.5203442879499217,0.5149501661129569,0.5004649640814408,0.5192336579942878,0.5193455286447108,0.5115514877807437,0.513951406807746,0.5049983889958249,0.49271463543064375,0.505690207158877,0.5007604453404407,0.5206533783982839,0.508799741620091,0.5088368153451777,0.5027194613984061,0.5109459816717113,0.5042750678969811,0.5061499777834935,827.6833333333333,False
8475760,20252026,25191.0,265,291,365,355,88,103,F,Nick Bjugstad,0.4766187050359712,0.5069444444444444,0.4607329842931937,NJD,0.42574257425742573,0.4607329842931937,0.5069444444444444,0.4766187050359712,0.4686858484323653,0.5098345684572757,0.5095434543454345,0.4854628765892338,0.4792177149369613,0.5015632489418244,0.48790930551789125,0.4753201393457303,0.498999372053918,0.4987475397871738,0.5087565924972606,0.5084551139630699,0.4966535869464621,0.49512376958190457,0.4850348908625896,0.4785727188019527,419.85,True
8485702,20252026,20367.0,193,224,285,286,61,78,F,Max Shabanov,0.4628297362110312,0.4991243432574431,0.43884892086330934,NYI,0.4779874213836478,0.43884892086330934,0.4991243432574431,0.4628297362110312,0.44120643656410363,0.49998108022896165,0.4998947835090154,0.46545146756874883,0.4636001764626035,0.5097988962875198,0.46867815132533014,0.4648678552118961,0.5022259817095819,0.48713306711758786,0.508739811457441,0.5087256104898581,0.511182984840817,0.4881661659120936,0.47786490760847367,0.47768893597237705,339.45,True
8481598,20252026,69396.0,559,614,782,790,228,212,D,Philip Broberg,0.47655583972719523,0.49745547073791346,0.5181818181818182,STL,0.44874274661508706,0.5181818181818182,0.49745547073791346,0.47655583972719523,0.523671396742358,0.4994504202982856,0.4992494746063854,0.4826606560166362,0.4783498435956672,0.5012344160020529,0.5045091410150967,0.5191205595953324,0.4988814602607826,0.4786464314242146,0.5087134321828756,0.5085786376751407,0.500819000005189,0.47886945112820484,0.4952111746919723,0.4920619553977878,1156.6,False
8477501,20252026,48753.0,537,412,677,617,198,141,F,Valeri Nichushkin,0.565858798735511,0.5231839258114374,0.584070796460177,COL,0.5203488372093024,0.584070796460177,0.5231839258114374,0.565858798735511,0.5818914650856055,0.5223919422156731,0.5224717165091117,0.5634352214920395,0.5651465894331854,0.499504301211253,0.5554935654989381,0.5426137762752041,0.4978273556394316,0.5204045958879345,0.5086499425006445,0.5086218330122535,0.4972482453233349,0.5560795054538448,0.523605206896464,0.5215862657537557,812.55,False
8480835,20252026,41633.0,456,331,579,535,137,111,F,Jack Drury,0.579415501905972,0.5197486535008977,0.5524193548387096,COL,0.4308176100628931,0.5524193548387096,0.5197486535008977,0.579415501905972,0.5598286898983488,0.5224412554113846,0.5221700371486965,0.5876552290302276,0.5818368855537708,0.49542448589976934,0.5516462463165719,0.520990399818577,0.49646688502598435,0.5175819006442886,0.5085762306005971,0.5081922715081765,0.49447502712442365,0.5432091790866167,0.5546312048479781,0.5455538622831131,693.8833333333333,False
