player_id,name,team,n_seasons,toi_total,raw_mean,ZA_mean,IOC_mean,IOL_mean,FA_mean,small_sample
8476826,Yanni Gourde,SEA,3,3644.95,0.5229350169740343,0.5250007150971988,0.500907880152975,0.5057932637310907,0.517019915737673,False
8479661,Tanner Jeannot,NSH,1,1084.0333333333333,0.4923747276688453,0.4967165616042849,0.5053019042656384,0.47732120158426444,0.5169598391624586,True
8479337,Alex DeBrincat,DET,3,3839.2833333333333,0.49198770376683587,0.48928829576085137,0.503838403567436,0.47062310046934175,0.5168693744568407,False
8480459,Pius Suter,DET,1,1110.8833333333334,0.4710144927536231,0.4770930602632386,0.5050449444547077,0.4570830610256676,0.5168683638662761,True
8483505,Matthew Poitras,BOS,2,876.4166666666666,0.5288596156293751,0.5157091737237219,0.49107562649806935,0.5006172842491902,0.5168085230947906,True
8477479,Tyler Bertuzzi,TOR,1,1287.1666666666667,0.5711892797319933,0.5624448396909445,0.5016855234193884,0.5425836662915761,0.5166181332255955,True
8481024,Linus Karlsson,VAN,2,806.55,0.46747967479674796,0.47027246485830104,0.5100504258098608,0.454534737032632,0.516541027265828,True
8477015,Connor Brown,NJD,1,846.3166666666667,0.5077881619937694,0.5023508499576957,0.5052961657480455,0.48774473705035576,0.516415076157095,True
8479591,Michael Eyssimont,TBL,2,1744.8833333333334,0.506706299541093,0.5114231898671788,0.49695018373944816,0.4942429322968533,0.516399371492329,False
8474189,Lars Eller,PIT,1,1315.85,0.4988344988344988,0.5242519014888161,0.4994360492227928,0.5055236320295089,0.5163871401094273,True
8478519,Anthony Cirelli,TBL,4,4669.433333333333,0.5505805984529877,0.555978696024597,0.5023871997700007,0.5372521893970101,0.516341074132843,False
8477444,Andre Burakovsky,CHI,1,794.6166666666667,0.4339080459770115,0.4215021998447631,0.500247400079135,0.4060073093266141,0.5162509487478103,True
8479675,Trevor Moore,LAK,4,4404.25,0.5551752173080421,0.5568348186959449,0.5002596892710442,0.5390259444974708,0.5156898776319946,False
8478233,Andrew Mangiapane,CGY,2,2579.766666666667,0.5475138260274575,0.5456176537468507,0.501566978882,0.5269329191263663,0.5156687840602105,False
8479385,Jordan Kyrou,STL,4,4935.416666666667,0.5090473756277366,0.5002302685377658,0.5036511659636285,0.48179476759168316,0.5155032535083881,False
8477353,Tyler Motte,OTT,1,779.5,0.4984709480122324,0.5146679540306524,0.5029871722015382,0.4971242623004564,0.5152758333363252,True
8473533,Jordan Staal,CAR,4,4424.316666666667,0.5851365955034931,0.5879974537222542,0.504301211918697,0.5710938942808242,0.5151137840951933,False
8476438,Brandon Saad,STL,3,3486.133333333333,0.4909700290011645,0.49344241095889146,0.5012153161401899,0.4751659325670339,0.5149675537710166,False
8480289,Morgan Barron,WPG,4,3023.2833333333333,0.5070368034854391,0.521455743218006,0.5000089805856947,0.5061676114951629,0.5149033238238554,False
8484829,Justin Hryckowian,DAL,1,691.9166666666666,0.5299539170506913,0.5350831589284457,0.5030715360285476,0.5207834756160403,0.5146612555694895,True
8475786,Zach Hyman,EDM,4,5252.3,0.5914542512018113,0.5810074320760283,0.4984933036161786,0.5646763398751812,0.5146513348189735,False
8478508,Yakov Trenin,NSH,2,2275.4666666666667,0.49349684132292826,0.5084462995103343,0.5050427898123692,0.4897683280233611,0.5146016329055408,False
8481711,Matias Maccelli,TOR,1,613.9833333333333,0.4724409448818897,0.4645961451386644,0.5020497323021942,0.4512058338419886,0.5142940962531974,True
8480980,Connor Dewar,MIN,2,1750.8833333333334,0.4984522764941015,0.513809129121992,0.500538401373064,0.4956204974455506,0.5142218537534673,False
8482809,Jackson Blake,CAR,2,1893.45,0.5812616510865276,0.5684068578994671,0.49678974954137023,0.5525248229237394,0.5136025954114722,False
8482703,Colton Dach,CHI,2,706.5666666666667,0.4398550724637681,0.44097068257217964,0.5058665828097566,0.427769119699562,0.5135999302145916,True
8483808,Andrei Kuzmenko,VAN,2,2392.4333333333334,0.5349837571412568,0.524476081958773,0.49674331369151603,0.5096100383340958,0.5130903686964005,False
8477450,Jason Dickinson,CHI,4,4171.333333333333,0.43216270394216183,0.44769965755186064,0.5072688811974038,0.43292338051054524,0.5130150698459317,False
8479977,Kailer Yamamoto,EDM,1,961.5333333333333,0.5695067264573991,0.5683526470349043,0.49717951698450624,0.5537496080309695,0.5129800007499974,True
8482077,Dylan Holloway,EDM,2,921.9,0.5821608298243812,0.5776142571932557,0.4901376763703046,0.5626949915540497,0.512940429995626,True
8480220,Noah Cates,PHI,4,4301.966666666666,0.5280634965555338,0.5325244052412501,0.5028707743715337,0.5175511275878809,0.5129324320653108,False
