shooting_player_id,player_name,total_es_attempts,netfront_attempts,netfront_attempt_rate,nf_rate_ci_lo,nf_rate_ci_hi,netfront_goals,netfront_goal_rate,confirmed_netfront
8480806,Isac Lundeström,101,21,0.2079,0.1402,0.297,2,0.0952,False
8480068,Ryan Poehling,188,39,0.2074,0.1556,0.271,6,0.1538,True
8479351,Sam Steel,188,39,0.2074,0.1556,0.271,6,0.1538,True
8480289,Morgan Barron,213,44,0.2066,0.1576,0.2659,10,0.2273,True
8482737,Zachary Bolduc,175,36,0.2057,0.1525,0.2716,5,0.1389,True
8478449,Roope Hintz,258,53,0.2054,0.1606,0.2589,9,0.1698,True
8481789,Tye Kartye,171,35,0.2047,0.151,0.2713,7,0.2,True
8477511,Anthony Mantha,192,39,0.2031,0.1523,0.2656,14,0.359,True
8475810,Bryan Rust,341,69,0.2023,0.1631,0.2482,10,0.1449,True
8479314,Matthew Tkachuk,228,46,0.2018,0.1548,0.2586,8,0.1739,True
8478020,Michael Amadio,223,45,0.2018,0.1544,0.2593,4,0.0889,True
8482117,Lukas Reichel,119,24,0.2017,0.1394,0.2826,5,0.2083,False
8476871,Tanner Pearson,180,36,0.2,0.1481,0.2644,3,0.0833,True
8480821,Filip Zadina,100,20,0.2,0.1334,0.2888,1,0.05,False
8477998,Warren Foegele,354,70,0.1977,0.1596,0.2424,12,0.1714,True
8482476,Emil Heineman,157,31,0.1975,0.1427,0.2666,4,0.129,False
8482665,Matty Beniers,269,53,0.197,0.1539,0.2487,8,0.1509,True
8481517,Brett Leason,113,22,0.1947,0.1322,0.2772,3,0.1364,False
8477426,Nick Paul,247,48,0.1943,0.1498,0.2482,9,0.1875,True
8480835,Jack Drury,211,41,0.1943,0.1466,0.253,4,0.0976,True
8479671,Mathieu Olivier,211,41,0.1943,0.1466,0.253,6,0.1463,True
8482702,Logan Stankoven,299,58,0.194,0.1532,0.2426,10,0.1724,True
