shooting_player_id,total_es_attempts,rebound_attempts,rebound_attempt_rate,reb_rate_ci_lo,reb_rate_ci_hi,rebound_goals,rebound_sh_pct,confirmed_netfront,rank_by_rate,rank_by_goals
8471685,200,21,0.105,0.0697,0.1552,1,0.0476,True,69,325
8477476,267,28,0.1049,0.0736,0.1474,9,0.3214,True,70,3
8477505,144,15,0.1042,0.0641,0.1648,2,0.1333,True,71,215
8479414,97,10,0.1031,0.057,0.1795,2,0.2,False,72,215
8481532,136,14,0.1029,0.0623,0.1654,2,0.1429,True,73,215
8478136,185,19,0.1027,0.0667,0.1548,1,0.0526,True,74,325
8479368,78,8,0.1026,0.0529,0.1895,2,,False,75,215
8476346,78,8,0.1026,0.0529,0.1895,0,,False,75,485
8475158,244,25,0.1025,0.0704,0.1469,8,0.32,True,77,5
8481553,176,18,0.1023,0.0657,0.1559,4,0.2222,True,78,83
8474679,177,18,0.1017,0.0653,0.155,5,0.2778,True,79,42
8477998,354,36,0.1017,0.0744,0.1376,7,0.1944,True,79,10
8482408,59,6,0.1017,0.0474,0.2046,0,,False,79,485
8480459,227,23,0.1013,0.0685,0.1474,3,0.1304,True,82,130
8477497,237,24,0.1013,0.069,0.1463,8,0.3333,True,82,5
8478432,89,9,0.1011,0.0541,0.1811,2,,False,84,215
8482117,119,12,0.1008,0.0586,0.168,2,0.1667,True,85,215
8479661,150,15,0.1,0.0615,0.1584,3,0.2,True,86,130
8480113,222,22,0.0991,0.0664,0.1455,4,0.1818,True,87,83
8474641,212,21,0.0991,0.0657,0.1467,2,0.0952,True,87,215
8477511,192,19,0.099,0.0643,0.1494,7,0.3684,True,89,10
8477479,293,29,0.099,0.0698,0.1385,8,0.2759,True,89,5
8478498,313,31,0.099,0.0707,0.1372,6,0.1935,True,89,23
8479336,182,18,0.0989,0.0635,0.1509,2,0.1111,True,92,215
8481556,91,9,0.0989,0.0529,0.1774,1,,False,92,325
8477392,71,7,0.0986,0.0486,0.1898,0,,False,94,485
8480281,203,20,0.0985,0.0647,0.1473,0,0.0,True,95,485
8476461,274,27,0.0985,0.0686,0.1396,3,0.1111,True,95,130
8482092,244,24,0.0984,0.067,0.1422,4,0.1667,True,97,83
8479992,204,20,0.098,0.0644,0.1466,1,0.05,True,98,325
8480014,225,22,0.0978,0.0655,0.1436,4,0.1818,True,99,83
8477903,164,16,0.0976,0.0609,0.1526,4,0.25,True,100,83
8480880,72,7,0.0972,0.0479,0.1874,1,,False,101,325
8483450,72,7,0.0972,0.0479,0.1874,1,,False,101,325
8477508,93,9,0.0968,0.0518,0.1738,1,,False,103,325
8481028,187,18,0.0963,0.0618,0.147,2,0.1111,True,104,215
8479315,52,5,0.0962,0.0418,0.2061,0,,False,105,485
8476456,209,20,0.0957,0.0628,0.1432,3,0.15,True,106,130
8475842,168,16,0.0952,0.0595,0.1491,1,0.0625,True,107,325
8482157,294,28,0.0952,0.0667,0.1342,5,0.1786,True,107,42
8482742,84,8,0.0952,0.0491,0.1768,1,,False,107,325
8481641,137,13,0.0949,0.0563,0.1556,2,0.1538,False,110,215
8478115,158,15,0.0949,0.0584,0.1507,2,0.1333,True,110,215
8479353,211,20,0.0948,0.0622,0.1419,4,0.2,True,112,83
8476468,243,23,0.0947,0.0639,0.138,5,0.2174,True,113,42
8480980,169,16,0.0947,0.0591,0.1483,2,0.125,True,113,215
8477989,201,19,0.0945,0.0614,0.1429,1,0.0526,True,115,325
8477573,127,12,0.0945,0.0549,0.1579,3,0.25,False,115,130
8476871,180,17,0.0944,0.0598,0.146,3,0.1765,True,117,130
8480995,170,16,0.0941,0.0588,0.1474,2,0.125,True,118,215
8482726,64,6,0.0938,0.0437,0.1898,2,,False,119,215
8481703,64,6,0.0938,0.0437,0.1898,1,,False,119,325
8475170,225,21,0.0933,0.0619,0.1385,2,0.0952,True,121,215
8471215,268,25,0.0933,0.064,0.1341,6,0.24,True,121,23
8482070,75,7,0.0933,0.0459,0.1803,2,,False,121,215
8474150,354,33,0.0932,0.0671,0.128,3,0.0909,True,124,130
8477426,247,23,0.0931,0.0629,0.1358,4,0.1739,True,125,83
8481725,97,9,0.0928,0.0496,0.167,1,,False,126,325
8485414,97,9,0.0928,0.0496,0.167,0,,False,126,485
8475744,54,5,0.0926,0.0402,0.1991,0,,False,128,485
8481186,119,11,0.0924,0.0524,0.158,2,0.1818,False,129,215
8476458,206,19,0.0922,0.0598,0.1396,5,0.2632,True,130,42
8480355,163,15,0.092,0.0566,0.1463,1,0.0667,False,131,325
8482062,163,15,0.092,0.0566,0.1463,2,0.1333,False,131,215
8475193,87,8,0.092,0.0473,0.1711,2,,False,131,215
8475191,273,25,0.0916,0.0628,0.1317,2,0.08,True,134,215
8483468,110,10,0.0909,0.0501,0.1593,1,0.1,False,135,325
8478047,276,25,0.0906,0.0621,0.1303,2,0.08,True,136,215
8481711,210,19,0.0905,0.0587,0.137,4,0.2105,True,137,83
8479351,188,17,0.0904,0.0572,0.14,4,0.2353,False,138,83
8478904,144,13,0.0903,0.0535,0.1483,1,0.0769,False,139,325
8479370,145,13,0.0897,0.0531,0.1473,2,0.1538,False,140,215
8482476,157,14,0.0892,0.0539,0.1441,1,0.0714,False,141,325
8478463,303,27,0.0891,0.062,0.1265,2,0.0741,True,142,215
8475913,225,20,0.0889,0.0583,0.1333,5,0.25,False,143,42
8476878,203,18,0.0887,0.0568,0.1358,0,0.0,False,144,485
8475287,260,23,0.0885,0.0597,0.1292,2,0.087,True,145,215
8483524,136,12,0.0882,0.0512,0.1479,3,0.25,False,146,130
8482110,261,23,0.0881,0.0594,0.1288,5,0.2174,True,147,42
8477404,375,33,0.088,0.0633,0.121,4,0.1212,True,148,83
8473453,137,12,0.0876,0.0508,0.1469,3,0.25,False,149,130
8476393,217,19,0.0876,0.0568,0.1327,3,0.1579,False,149,130
8474037,195,17,0.0872,0.0551,0.1352,3,0.1765,False,151,130
8474149,172,15,0.0872,0.0536,0.1389,2,0.1333,False,151,215
8478873,300,26,0.0867,0.0598,0.124,3,0.1154,True,153,130
8476419,185,16,0.0865,0.0539,0.1359,1,0.0625,False,154,325
8475169,266,23,0.0865,0.0583,0.1264,5,0.2174,True,154,42
8480813,162,14,0.0864,0.0522,0.1398,1,0.0714,False,156,325
8478434,197,17,0.0863,0.0546,0.1338,5,0.2941,False,157,42
8478133,151,13,0.0861,0.051,0.1417,1,0.0769,False,158,325
8481528,349,30,0.086,0.0609,0.1201,3,0.1,True,159,130
8482720,257,22,0.0856,0.0572,0.1262,7,0.3182,False,160,10
8476925,187,16,0.0856,0.0534,0.1345,3,0.1875,False,160,130
8480835,211,18,0.0853,0.0546,0.1308,1,0.0556,False,162,325
8478020,223,19,0.0852,0.0552,0.1292,2,0.1053,False,163,215
8480068,188,16,0.0851,0.0531,0.1338,2,0.125,False,164,215
8478401,212,18,0.0849,0.0544,0.1302,2,0.1111,False,165,215
8476981,236,20,0.0847,0.0555,0.1273,5,0.25,False,166,42
8481704,59,5,0.0847,0.0367,0.1835,0,,False,166,485
8473604,71,6,0.0845,0.0393,0.1724,0,,False,168,485
8480289,213,18,0.0845,0.0541,0.1296,5,0.2778,False,168,42
8479400,202,17,0.0842,0.0532,0.1306,3,0.1765,False,170,130
