tier,player_name,player_id,age,team_2526,seasons_in_db,career_composite,twoway_composite,defensive_score,rush_against_per60,career_gr,career_gap,career_rate,composite_2526,gr_2526,gap_2526,rate_2526,reb_shots_2526,sample_conf,ci_confirmed,trend,nf_traj,def_trajectory,combined_trajectory,gap_flag,rate_flag,gr_flag_active,n_primary_flags,flags
Tier1_healthy,Auston Matthews,8479318,29.0000,TOR,6.0000,0.5739,0.6277,0.7085,22.5794,0.1176,1.6100,0.2198,0.4649,0.5000,1.5625,0.2737,16.0000,Low,False,rising,stable,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Aliaksei Protas,8481656,25.0000,WSH,5.0000,0.6573,0.6199,0.5637,25.5116,0.1833,1.6200,0.2404,0.6042,0.5000,1.6000,0.2445,20.0000,Medium,False,stable,stable,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Sean Monahan,8477497,32.0000,CBJ,6.0000,0.6238,0.6170,0.6067,24.6405,0.1905,1.5700,0.2217,0.4518,0.2222,1.6111,0.2500,18.0000,Low,False,stable,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Jordan Martinook,8476921,,TOR,6.0000,0.4951,0.6161,0.7976,20.7746,0.1023,1.6600,0.2217,0.3618,0.1875,1.9375,0.2081,16.0000,Low,False,stable,rising,stable,elite_trajectory,True,False,False,1.0000,gap 1.94s vs career 1.66s (▲0.28s)
Tier1_healthy,Cole Caufield,8481540,25.0000,MTL,6.0000,0.5371,0.6127,0.7260,22.2247,0.1818,1.8300,0.1407,0.3652,0.5625,1.8125,0.1623,16.0000,Low,False,rising,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Tyler Bertuzzi,8477479,31.0000,LAK,6.0000,0.5481,0.6074,0.6964,22.8237,0.2063,1.8300,0.2483,0.5138,0.6471,1.8824,0.2843,17.0000,Low,False,rising,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Charlie Coyle,8475745,,CBJ,6.0000,0.7158,0.5900,0.4013,28.8015,0.2241,1.4000,0.2189,0.5138,0.4118,1.5882,0.2880,17.0000,Low,True,rising,stable,stable,elite_trajectory,False,True,False,1.0000,rate 0.288 vs career 0.219 (▲32%)
Tier1_healthy,Nathan MacKinnon,8477492,31.0000,NYI,6.0000,0.4510,0.5885,0.7948,20.8316,0.1236,1.7100,0.1248,0.6307,0.6667,1.7333,0.1532,15.0000,Low,False,rising,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Anthony Cirelli,8478519,,TBL,6.0000,0.6664,0.5858,0.4649,27.5131,0.2162,1.6500,0.2807,0.5327,0.4762,1.7143,0.3855,21.0000,Medium,True,rising,stable,stable,elite_trajectory,False,True,False,1.0000,rate 0.386 vs career 0.281 (▲37%)
Tier1_healthy,Bo Horvat,8477500,31.0000,NYI,6.0000,0.5970,0.5842,0.5649,25.4876,0.1739,1.5100,0.1814,0.4351,0.2500,1.5000,0.1510,16.0000,Low,False,declining,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Jake DeBrusk,8478498,30.0000,VAN,6.0000,0.5760,0.5811,0.5886,25.0067,0.1848,1.7800,0.2248,0.2426,0.1333,1.9333,0.2411,15.0000,Low,False,stable,stable,improving,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Noah Cates,8480220,27.0000,PIT,5.0000,0.5585,0.5764,0.6033,24.7103,0.1923,1.7100,0.2874,0.4209,0.3750,1.6875,0.3210,16.0000,Low,False,stable,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Jason Zucker,8475722,,BUF,6.0000,0.5155,0.5764,0.6677,23.4053,0.1467,1.7600,0.2543,0.5455,0.6667,1.9333,0.3742,15.0000,Low,False,rising,stable,stable,elite_trajectory,False,True,False,1.0000,rate 0.374 vs career 0.254 (▲47%)
Tier1_healthy,Nico Hischier,8480002,27.0000,NJD,6.0000,0.5749,0.5750,0.5751,25.2808,0.1000,1.5100,0.2466,0.6389,0.4118,1.3529,0.2066,17.0000,Low,False,stable,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Kiefer Sherwood,8480748,,VAN,6.0000,0.5219,0.5735,0.6509,23.7450,0.1250,1.6700,0.1357,0.7118,0.3333,1.2667,0.1530,15.0000,Low,False,stable,rising,stable,elite_trajectory,True,False,False,1.0000,gap 1.27s vs career 1.67s (▼0.40s)
Tier1_healthy,Ridly Greig,8482092,24.0000,OTT,4.0000,0.5399,0.5673,0.6083,24.6082,0.1042,1.4800,0.2422,0.5432,0.5294,1.4118,0.2810,17.0000,Low,False,stable,rising,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Joel Eriksson Ek,8478493,29.0000,MIN,6.0000,0.6191,0.5666,0.4877,27.0500,0.1860,1.6000,0.2480,0.4849,0.4375,1.5625,0.2262,16.0000,Low,False,stable,stable,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Drew O'Connor,8482055,,UTA,6.0000,0.5574,0.5530,0.5463,25.8644,0.1053,1.6100,0.2744,0.3846,0.3333,1.9524,0.3108,21.0000,Medium,False,rising,stable,stable,elite_trajectory,True,False,False,1.0000,gap 1.95s vs career 1.61s (▲0.34s)
Tier1_healthy,Filip Forsberg,8476887,32.0000,NSH,6.0000,0.4744,0.5513,0.6667,23.4264,0.1789,1.8200,0.1520,0.4047,0.4000,1.7000,0.1253,20.0000,Medium,False,declining,stable,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Connor McMichael,8481580,25.0000,WSH,4.0000,0.5991,0.5495,0.4750,27.3087,0.2027,1.7300,0.2663,0.3395,0.3158,1.7368,0.2446,19.0000,Low,False,stable,stable,improving,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Timo Meier,8478414,30.0000,NJD,6.0000,0.4931,0.5486,0.6317,24.1339,0.1154,1.7900,0.1662,0.3548,0.3182,1.9091,0.1803,22.0000,Medium,False,stable,stable,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Sidney Crosby,8471675,39.0000,PIT,6.0000,0.4792,0.5363,0.6220,24.3316,0.1089,1.6100,0.2210,0.5202,0.6667,1.7333,0.2486,15.0000,Low,False,stable,stable,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Nick Cousins,8476393,,OTT,6.0000,0.4728,0.5331,0.6235,24.3012,0.1020,1.6300,0.1810,0.4499,0.3750,1.6875,0.2754,16.0000,Low,False,rising,rising,stable,elite_trajectory,False,True,False,1.0000,rate 0.275 vs career 0.181 (▲52%)
Tier1_healthy,Mason McTavish,8482745,,ANA,5.0000,0.5509,0.5327,0.5054,26.6923,0.1379,1.6700,0.2476,0.3912,0.0667,1.4000,0.2314,15.0000,Low,False,stable,stable,stable,elite_trajectory,True,False,False,1.0000,gap 1.40s vs career 1.67s (▼0.27s)
Tier1_healthy,A.J. Greer,8478421,30.0000,FLA,5.0000,0.4360,0.5149,0.6333,24.1023,0.1111,1.7400,0.2344,0.3839,0.3889,1.7222,0.2435,18.0000,Low,False,stable,stable,improving,elite_trajectory,False,False,False,0.0000,all clear
Tier1_healthy,Anthony Beauvillier,8478463,29.0000,ANA,6.0000,0.5442,0.5131,0.4665,27.4813,0.1098,1.6600,0.2204,0.4410,0.4286,1.7619,0.2451,21.0000,Medium,False,stable,stable,stable,elite_trajectory,False,False,False,0.0000,all clear
Tier2_watch,Connor McDavid,8478402,29.0000,EDM,6.0000,0.5929,0.6671,0.7784,21.1634,0.0917,1.4400,0.2537,0.6337,0.6500,1.2500,0.2562,20.0000,Medium,False,stable,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Gabriel Vilardi,8480014,27.0000,WPG,6.0000,0.6216,0.6646,0.7292,22.1608,0.1562,1.5200,0.3098,0.5523,0.6667,1.6000,0.3046,15.0000,Low,False,stable,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Sebastian Aho,8478427,29.0000,CAR,6.0000,0.5094,0.6544,0.8719,19.2692,0.1928,1.9300,0.2214,0.3979,0.3125,1.9375,0.1960,16.0000,Low,False,stable,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Jordan Eberle,8474586,,SEA,6.0000,0.5978,0.6540,0.7384,21.9743,0.1552,1.5900,0.1875,0.6307,0.6000,1.6000,0.2350,15.0000,Low,False,rising,declining,stable,offensive_decline,False,True,False,1.0000,rate 0.235 vs career 0.187 (▲25%)
Tier2_watch,Pius Suter,8480459,30.0000,STL,6.0000,0.6896,0.6402,0.5660,25.4645,0.1744,1.5000,0.2720,0.6140,0.5333,1.3333,0.3288,15.0000,Low,False,rising,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Anders Lee,8475314,,NYI,6.0000,0.6226,0.6128,0.5980,24.8165,0.1143,1.4000,0.3644,0.2833,0.1818,1.4848,0.3958,33.0000,High,False,stable,declining,stable,offensive_decline,False,False,True,0.0000,GR 0.182 vs career 0.114 (▲59%) [GR★]
Tier2_watch,Tomas Hertl,8476881,33.0000,NJD,6.0000,0.6141,0.6112,0.6067,24.6404,0.1507,1.6400,0.2567,0.3684,0.0588,1.4706,0.2678,17.0000,Low,False,stable,declining,improving,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Zach Hyman,8475786,,EDM,6.0000,0.5648,0.6096,0.6769,23.2200,0.1197,1.6200,0.3605,0.5092,0.5556,1.7222,0.4615,18.0000,Low,False,rising,declining,stable,offensive_decline,False,True,False,1.0000,rate 0.462 vs career 0.360 (▲28%)
Tier2_watch,Chris Kreider,8475184,35.0000,ANA,6.0000,0.5406,0.6048,0.7012,22.7280,0.1467,1.6800,0.2468,0.5957,0.3333,1.5333,0.2865,15.0000,Low,False,rising,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Brock Nelson,8475754,35.0000,COL,6.0000,0.6131,0.5990,0.5779,25.2237,0.1134,1.4700,0.2353,0.5376,0.3043,1.4348,0.2832,23.0000,Medium,False,rising,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Trent Frederic,8479365,,EDM,6.0000,0.6556,0.5926,0.4981,26.8412,0.1354,1.4900,0.2329,0.4279,0.1250,1.3125,0.3158,16.0000,Low,False,rising,declining,stable,offensive_decline,False,True,False,1.0000,rate 0.316 vs career 0.233 (▲36%)
Tier2_watch,Brayden Schenn,8475170,35.0000,BOS,6.0000,0.6103,0.5917,0.5637,25.5120,0.1304,1.5500,0.1915,0.4134,0.1579,1.5789,0.2367,19.0000,Low,False,rising,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Kirill Marchenko,8480893,26.0000,CBJ,4.0000,0.5224,0.5797,0.6657,23.4461,0.1667,1.6700,0.1313,0.3102,0.2000,1.6667,0.1133,15.0000,Low,False,declining,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Dylan Cozens,8481528,25.0000,OTT,6.0000,0.5771,0.5706,0.5608,25.5715,0.1047,1.5800,0.1968,0.4010,0.1765,1.4706,0.2386,17.0000,Low,False,rising,declining,improving,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Barrett Hayton,8480849,26.0000,UTA,6.0000,0.4747,0.5380,0.6329,24.1098,0.0597,1.6600,0.2948,0.3212,0.0588,1.7059,0.3000,17.0000,Low,False,stable,rising,improving,both_improving,False,False,False,0.0000,all clear
Tier2_watch,Bryan Rust,8475810,34.0000,PIT,6.0000,0.5550,0.5370,0.5100,26.5998,0.0879,1.5700,0.2624,0.5322,0.3529,1.4118,0.2765,17.0000,Low,False,stable,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Boone Jenner,8476432,,CBJ,6.0000,0.6584,0.5346,0.3489,29.8625,0.1600,1.5100,0.2232,0.3183,0.3182,1.7727,0.2436,22.0000,Medium,False,stable,declining,stable,offensive_decline,True,False,False,1.0000,gap 1.77s vs career 1.51s (▲0.26s)
Tier2_watch,Vladimir Tarasenko,8475765,35.0000,MIN,6.0000,0.5060,0.5300,0.5659,25.4671,0.1481,1.6900,0.1456,0.3099,0.2000,1.8667,0.1692,15.0000,Low,False,rising,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Lawson Crouse,8478474,29.0000,UTA,6.0000,0.6104,0.5292,0.4075,28.6757,0.1111,1.5100,0.1948,0.5896,0.3750,1.3750,0.2426,16.0000,Low,False,rising,declining,improving,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Ryan Hartman,8477451,,MIN,6.0000,0.5334,0.5292,0.5229,26.3386,0.1081,1.5700,0.1507,0.5620,0.7500,1.8125,0.1905,16.0000,Low,False,rising,declining,stable,offensive_decline,False,True,False,1.0000,rate 0.190 vs career 0.151 (▲26%)
Tier2_watch,Dylan Holloway,8482077,25.0000,STL,4.0000,0.3862,0.5267,0.7375,21.9929,0.0606,1.7600,0.1639,0.3703,0.1250,1.6875,0.1422,16.0000,Low,False,declining,declining,improving,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Alex Laferriere,8482155,25.0000,LAK,3.0000,0.3884,0.5255,0.7312,22.1193,0.1154,1.8700,0.1514,0.5732,0.5556,1.7778,0.1536,18.0000,Low,False,stable,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Yakov Trenin,8478508,,MIN,6.0000,0.5756,0.5250,0.4492,27.8305,0.1067,1.5500,0.2090,0.5534,0.2667,1.4000,0.3094,15.0000,Low,False,rising,declining,stable,offensive_decline,False,True,False,1.0000,rate 0.309 vs career 0.209 (▲48%)
Tier2_watch,Michael McCarron,8477446,31.0000,NSH,5.0000,0.6059,0.5243,0.4019,28.7890,0.1818,1.5800,0.2739,0.2766,0.2222,1.7222,0.3421,18.0000,Low,False,rising,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Bobby McMann,8482259,30.0000,TOR,4.0000,0.5304,0.5231,0.5122,26.5541,0.1538,1.7700,0.1423,0.4531,0.3750,1.8750,0.1312,16.0000,Low,False,declining,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Casey Cizikas,8475231,35.0000,NYI,6.0000,0.6243,0.5161,0.3539,29.7613,0.0896,1.4500,0.2747,0.4782,0.2105,1.5789,0.3380,19.0000,Low,False,rising,rising,improving,both_improving,False,False,False,0.0000,all clear
Tier2_watch,Andrew Copp,8477429,,DET,6.0000,0.5195,0.5016,0.4748,27.3122,0.0789,1.5000,0.2376,0.4315,0.1429,1.4286,0.3952,21.0000,Medium,False,rising,declining,stable,offensive_decline,False,True,False,1.0000,rate 0.395 vs career 0.238 (▲66%)
Tier2_watch,Rickard Rakell,8476483,,PIT,6.0000,0.4027,0.4995,0.6446,23.8726,0.0833,1.8100,0.2213,0.4360,0.4348,1.7826,0.3182,23.0000,Medium,False,rising,declining,stable,offensive_decline,False,True,False,1.0000,rate 0.318 vs career 0.221 (▲44%)
Tier2_watch,Jack McBain,8480855,,UTA,5.0000,0.5901,0.4951,0.3527,29.7860,0.1667,1.5600,0.2744,0.4651,0.2632,1.4737,0.3485,19.0000,Low,False,rising,declining,improving,offensive_decline,False,True,False,1.0000,rate 0.348 vs career 0.274 (▲27%)
Tier2_watch,Viktor Arvidsson,8478042,,BOS,6.0000,0.3012,0.4908,0.7753,21.2274,0.1053,1.8300,0.1307,0.3257,0.4000,1.8000,0.1695,20.0000,Medium,False,rising,rising,stable,stable,False,True,False,1.0000,rate 0.169 vs career 0.131 (▲30%)
Tier2_watch,Mikael Backlund,8474150,37.0000,CGY,6.0000,0.4403,0.4857,0.5539,25.7102,0.0909,1.6100,0.1402,0.5124,0.3333,1.5556,0.1703,18.0000,Low,False,rising,stable,stable,stable,False,False,False,0.0000,all clear
Tier2_watch,Cutter Gauthier,8483445,22.0000,ANA,2.0000,0.4484,0.4800,0.5273,26.2495,0.0789,1.6600,0.1010,0.4081,0.3500,1.7000,0.1040,20.0000,Medium,False,stable,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Alex DeBrincat,8479337,29.0000,DET,6.0000,0.3322,0.4761,0.6919,22.9150,0.1013,1.7600,0.1118,0.2854,0.1739,1.7826,0.0969,23.0000,Medium,False,stable,stable,stable,stable,False,False,False,0.0000,all clear
Tier2_watch,Taylor Hall,8475791,35.0000,CAR,6.0000,0.2838,0.4607,0.7261,22.2222,0.0980,1.8000,0.1705,0.6255,0.5333,1.6000,0.1845,15.0000,Low,False,rising,rising,stable,stable,False,False,False,0.0000,all clear
Tier2_watch,Mark Kastelic,8480355,27.0000,NJD,5.0000,0.4656,0.4601,0.4518,27.7775,0.0455,1.5900,0.2416,0.5466,0.3333,1.6111,0.2268,18.0000,Low,False,stable,declining,stable,offensive_decline,False,False,False,0.0000,all clear
Tier2_watch,Christian Dvorak,8477989,,PHI,6.0000,0.4344,0.4151,0.3861,29.1093,0.0678,1.7600,0.2765,0.4042,0.4737,1.8947,0.4202,19.0000,Low,False,rising,stable,stable,stable,False,True,False,1.0000,rate 0.420 vs career 0.276 (▲52%)
Tier3_declining,Alex Iafallo,8480113,,BUF,6.0000,0.5976,0.6353,0.6920,22.9142,0.1613,1.6800,0.2419,0.6060,0.3333,1.4000,0.3148,15.0000,Low,False,rising,rising,stable,elite_trajectory,True,True,False,2.0000,gap 1.40s vs career 1.68s (▼0.28s) | rate 0.315 vs career 0.242 (▲30%)
Tier3_declining,Linus Karlsson,8481024,,VAN,2.0000,0.5456,0.5456,,,0.1026,1.5100,0.3628,0.4417,0.2258,1.6129,0.3631,31.0000,High,defensive data insufficient,stable,stable,,stable,False,False,True,0.0000,GR 0.226 vs career 0.103 (▲120%) [GR★]
Tier3_declining,Drake Batherson,8480208,,OTT,6.0000,0.3674,0.5012,0.7019,22.7122,0.1831,1.9700,0.1650,0.3066,0.5625,2.3125,0.2213,16.0000,Low,False,rising,stable,stable,elite_trajectory,True,True,False,2.0000,gap 2.31s vs career 1.97s (▲0.34s) | rate 0.221 vs career 0.165 (▲34%)
Tier3_declining,Nicholas Robertson,8481582,,TOR,6.0000,0.2394,0.3754,0.5793,25.1963,0.0909,1.7300,0.1221,0.4772,0.2667,1.3333,0.1929,15.0000,Low,False,rising,stable,stable,stable,True,True,False,2.0000,gap 1.33s vs career 1.73s (▼0.40s) | rate 0.193 vs career 0.122 (▲58%)
insufficient_sample,Phillip Danault,8476479,,CHI,,0.8005,0.7375,0.6431,23.9046,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,True,stable,declining,stable,offensive_decline,,,,0.0000,—
insufficient_sample,Mikko Rantanen,8478420,,DAL,,0.6883,0.7212,0.7705,21.3240,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,True,rising,declining,stable,offensive_decline,,,,0.0000,—
insufficient_sample,Nick Schmaltz,8477951,,UTA,,0.6924,0.7008,0.7135,22.4784,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,True,stable,rising,improving,both_improving,,,,0.0000,—
insufficient_sample,Jared McCann,8477955,,SEA,,0.7190,0.7005,0.6727,23.3048,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,True,stable,declining,stable,offensive_decline,,,,0.0000,—
insufficient_sample,Oskar Sundqvist,8476897,,OTT,,0.8294,0.7000,0.5060,26.6805,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,True,stable,stable,stable,elite_trajectory,,,,0.0000,—
insufficient_sample,Jack Hughes,8481559,,WSH,,0.6842,0.6962,0.7143,22.4621,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,stable,declining,stable,offensive_decline,,,,0.0000,—
insufficient_sample,Jesperi Kotkaniemi,8480829,,CAR,,0.5666,0.6905,0.8763,19.1819,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,rising,declining,stable,offensive_decline,,,,0.0000,—
insufficient_sample,Elias Pettersson,8480012,,VAN,,0.6507,0.6886,0.7455,21.8306,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,stable,stable,stable,elite_trajectory,,,,0.0000,—
insufficient_sample,Connor Zary,8482074,,CGY,,0.6362,0.6825,0.7518,21.7016,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,True,stable,stable,stable,elite_trajectory,,,,0.0000,—
insufficient_sample,Andrew Mangiapane,8478233,,EDM,,0.7164,0.6806,0.6269,24.2316,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,True,rising,declining,stable,offensive_decline,,,,0.0000,—
insufficient_sample,Ryan Donato,8477987,,CHI,,0.6965,0.6801,0.6555,23.6521,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,True,declining,stable,stable,elite_trajectory,,,,0.0000,—
insufficient_sample,Morgan Geekie,8479987,,BOS,,0.7151,0.6801,0.6275,24.2196,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,True,stable,rising,stable,elite_trajectory,,,,0.0000,—
insufficient_sample,Dylan Strome,8478440,,WSH,,0.6749,0.6764,0.6787,23.1830,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,True,stable,rising,stable,elite_trajectory,,,,0.0000,—
insufficient_sample,Josh Anderson,8476981,,MTL,,0.7842,0.6723,0.5044,26.7122,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,True,stable,stable,stable,elite_trajectory,,,,0.0000,—
insufficient_sample,Andre Burakovsky,8477444,,CHI,,0.7101,0.6698,0.6092,24.5898,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,rising,stable,stable,elite_trajectory,,,,0.0000,—
insufficient_sample,Sam Bennett,8477935,,FLA,,0.6486,0.6682,0.6976,22.8004,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,stable,rising,stable,elite_trajectory,,,,0.0000,—
insufficient_sample,James van Riemsdyk,8474037,,DET,,0.6899,0.6669,0.6324,24.1202,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,stable,stable,stable,elite_trajectory,,,,0.0000,—
insufficient_sample,J.T. Miller,8476468,,NYR,,0.7000,0.6657,0.6142,24.4890,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,rising,stable,stable,elite_trajectory,,,,0.0000,—
insufficient_sample,Andrei Svechnikov,8480830,,TOR,,0.5255,0.6653,0.8749,19.2088,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,stable,declining,stable,offensive_decline,,,,0.0000,—
insufficient_sample,Steven Stamkos,8474564,,FLA,,0.6866,0.6606,0.6216,24.3401,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,rising,declining,stable,offensive_decline,,,,0.0000,—
insufficient_sample,Mark Stone,8475913,,VGK,,0.6318,0.6586,0.6988,22.7752,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,stable,declining,stable,offensive_decline,,,,0.0000,—
insufficient_sample,Carter Verhaeghe,8477409,,FLA,,0.6123,0.6582,0.7270,22.2049,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,stable,declining,stable,offensive_decline,,,,0.0000,—
insufficient_sample,Aleksander Barkov,8477493,,FLA,,0.6094,0.6582,0.7313,22.1176,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,stable,declining,stable,offensive_decline,,,,0.0000,—
insufficient_sample,Nick Foligno,8473422,,CHI,,0.7243,0.6581,0.5589,25.6098,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,stable,stable,stable,elite_trajectory,,,,0.0000,—
insufficient_sample,Pavel Dorofeyev,8481604,,NJD,,0.5522,0.6574,0.8152,20.4175,0.0000,0.0000,0.0000,,,,,0.0000,Insuf,False,declining,declining,improving,offensive_decline,,,,0.0000,—
