player_id,player_name,seasons,total_toi_mins,rush_against_per60_career,rush_against_per60_by_season,team_2526
8477220.0000,Nate Schmidt,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",7746.5833,24.7929,"{""20202021"": 32.4994, ""20212022"": 26.8921, ""20222023"": 24.9612, ""20232024"": 20.2951, ""20242025"": 21.1612, ""20252026"": 23.4767}",
8480878.0000,Nils Lundkvist,"[20212022, 20222023, 20232024, 20242025, 20252026]",3427.4333,24.7707,"{""20212022"": 28.3089, ""20222023"": 24.2812, ""20232024"": 25.1384, ""20242025"": 25.3146, ""20252026"": 22.3883}",
8481056.0000,Spencer Stastney,"[20222023, 20232024, 20242025, 20252026]",1444.8500,24.7500,"{""20222023"": 29.386, ""20232024"": 25.6948, ""20242025"": 25.3192, ""20252026"": 22.6819}",
8476292.0000,Ondrej Palat,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",6800.3000,24.7401,"{""20202021"": 23.3517, ""20212022"": 26.4512, ""20222023"": 24.4148, ""20232024"": 22.7192, ""20242025"": 26.8766, ""20252026"": 23.474}",
8480220.0000,Noah Cates,"[20212022, 20222023, 20232024, 20242025, 20252026]",4513.9000,24.7103,"{""20212022"": 28.877, ""20222023"": 28.3351, ""20232024"": 21.4408, ""20242025"": 24.4312, ""20252026"": 20.916}",
8479348.0000,Kale Clague,"[20202021, 20212022, 20222023, 20232024]",1447.4667,24.7052,"{""20202021"": 29.0635, ""20212022"": 22.7035, ""20222023"": 23.8347, ""20232024"": 32.5939}",
8478451.0000,Ethan Bear,"[20202021, 20212022, 20222023, 20232024]",3287.6833,24.6922,"{""20202021"": 27.3867, ""20212022"": 19.9697, ""20222023"": 26.6513, ""20232024"": 24.3198}",
8480817.0000,K'Andre Miller,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",9866.9000,24.6704,"{""20202021"": 26.7548, ""20212022"": 25.9005, ""20222023"": 24.3037, ""20232024"": 26.8776, ""20242025"": 24.4482, ""20252026"": 16.0893}",
8478874.0000,Adam Gaudette,"[20202021, 20212022, 20232024, 20242025, 20252026]",2497.5833,24.6478,"{""20202021"": 27.3235, ""20212022"": 23.9439, ""20232024"": 3.0612, ""20242025"": 23.3802, ""20252026"": 26.167}",
8477497.0000,Sean Monahan,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5624.8833,24.6405,"{""20202021"": 25.1734, ""20212022"": 26.1858, ""20222023"": 20.8668, ""20232024"": 24.0993, ""20242025"": 23.9829, ""20252026"": 26.1347}",
8476881.0000,Tomas Hertl,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",7653.2833,24.6404,"{""20202021"": 26.9026, ""20212022"": 29.1575, ""20222023"": 23.7918, ""20232024"": 27.0793, ""20242025"": 19.7721, ""20252026"": 19.5757}",
8482092.0000,Ridly Greig,"[20222023, 20232024, 20242025, 20252026]",3567.1000,24.6082,"{""20222023"": 23.4853, ""20232024"": 25.6005, ""20242025"": 25.0113, ""20252026"": 23.0332}",
8483524.0000,Shane Wright,"[20222023, 20232024, 20242025, 20252026]",1809.9333,24.5976,"{""20222023"": 24.7544, ""20232024"": 21.0559, ""20242025"": 25.4932, ""20252026"": 23.5722}",
8477444.0000,Andre Burakovsky,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5834.1167,24.5898,"{""20202021"": 22.1639, ""20212022"": 25.5867, ""20222023"": 22.0432, ""20232024"": 24.3806, ""20242025"": 26.5488, ""20252026"": 25.7483}",
8479398.0000,Samuel Girard,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",8355.2000,24.5811,"{""20202021"": 24.162, ""20212022"": 27.4376, ""20222023"": 25.6354, ""20232024"": 22.7191, ""20242025"": 23.1501, ""20252026"": 23.1115}",
8482768.0000,Fedor Svechkov,"[20242025, 20252026]",1194.8000,24.5564,"{""20242025"": 22.8113, ""20252026"": 26.4104}",
8477998.0000,Warren Foegele,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",6429.3333,24.5531,"{""20202021"": 26.2529, ""20212022"": 24.0683, ""20222023"": 24.4475, ""20232024"": 24.5219, ""20242025"": 23.157, ""20252026"": 26.5496}",
8474600.0000,Roman Josi,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",9839.3167,24.5505,"{""20202021"": 26.3311, ""20212022"": 27.3726, ""20222023"": 25.0148, ""20232024"": 21.6088, ""20242025"": 22.402, ""20252026"": 24.5052}",
8482929.0000,Emil Lilleberg,"[20232024, 20242025, 20252026]",2422.1167,24.5488,"{""20232024"": 21.6388, ""20242025"": 25.3773, ""20252026"": 26.4286}",
8481546.0000,Cam York,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5841.5167,24.5279,"{""20202021"": 26.2848, ""20212022"": 26.728, ""20222023"": 24.6025, ""20232024"": 23.1912, ""20242025"": 25.7365, ""20252026"": 23.9781}",
8477939.0000,William Nylander,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",8704.1833,24.5055,"{""20202021"": 23.6862, ""20212022"": 24.0818, ""20222023"": 23.3199, ""20232024"": 24.7195, ""20242025"": 26.2008, ""20252026"": 24.6966}",
8477986.0000,Brandon Montour,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",10103.2667,24.4970,"{""20202021"": 30.7079, ""20212022"": 23.8176, ""20222023"": 24.1202, ""20232024"": 21.3055, ""20242025"": 25.5352, ""20252026"": 24.3975}",
8476468.0000,J.T. Miller,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",8435.6167,24.4890,"{""20202021"": 27.2828, ""20212022"": 27.3091, ""20222023"": 23.9964, ""20232024"": 21.9077, ""20242025"": 22.3596, ""20252026"": 24.8884}",
8481618.0000,Alex Newhook,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",5108.5167,24.4885,"{""20202021"": 21.6081, ""20212022"": 25.5851, ""20222023"": 23.1621, ""20232024"": 24.2695, ""20242025"": 24.8325, ""20252026"": 25.6517}",
8477476.0000,Artturi Lehkonen,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",7102.9667,24.4884,"{""20202021"": 29.3059, ""20212022"": 27.1378, ""20222023"": 23.0624, ""20232024"": 21.316, ""20242025"": 22.5497, ""20252026"": 24.6729}",
8479420.0000,Tage Thompson,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",7076.2333,24.4876,"{""20202021"": 32.8492, ""20212022"": 26.2688, ""20222023"": 24.0734, ""20232024"": 22.7692, ""20242025"": 23.6985, ""20252026"": 21.4983}",
8475191.0000,Reilly Smith,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",7100.5500,24.4460,"{""20202021"": 20.9332, ""20212022"": 23.972, ""20222023"": 24.3717, ""20232024"": 25.6283, ""20242025"": 27.5382, ""20252026"": 23.5287}",
8475227.0000,Chris Wideman,"[20212022, 20222023]",1575.8667,24.4437,"{""20212022"": 22.7868, ""20222023"": 26.98}",
8482667.0000,William Eklund,"[20212022, 20222023, 20232024, 20242025, 20252026]",4125.2667,24.4348,"{""20212022"": 23.1694, ""20222023"": 23.4405, ""20232024"": 26.1985, ""20242025"": 23.9014, ""20252026"": 22.7283}",
8476454.0000,Ryan Nugent-Hopkins,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",9491.7333,24.3623,"{""20202021"": 23.482, ""20212022"": 28.6978, ""20222023"": 24.8398, ""20232024"": 21.2109, ""20242025"": 23.7927, ""20252026"": 25.4971}",
8474564.0000,Steven Stamkos,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",8529.1333,24.3401,"{""20202021"": 25.6465, ""20212022"": 24.8961, ""20222023"": 26.8113, ""20232024"": 22.3467, ""20242025"": 22.4501, ""20252026"": 23.4536}",
8480884.0000,Calen Addison,"[20202021, 20212022, 20222023, 20232024]",2541.6667,24.3384,"{""20202021"": 28.5869, ""20212022"": 27.8485, ""20222023"": 22.0325, ""20232024"": 25.2926}",
8475168.0000,Matt Duchene,"[20202021, 20212022, 20222023, 20232024, 20242025, 20252026]",7526.8167,24.3370,"{""20202021"": 25.2877, ""20212022"": 25.2929, ""20222023"": 25.0513, ""20232024"": 24.3598, ""20242025"": 23.9217, ""20252026"": 20.8676}",
