player_name,player_id,team_2526,offensive_composite,defensive_score,twoway_composite,rush_against_per60,ci_confirmed,trend,total_toi_mins,sample_confidence
Matt Roy,8478911,WSH,0.0000,0.4757,0.1903,27.2938,,,8426.0833,High
Ross Johnston,8477527,ANA,0.0000,0.4731,0.1892,27.3476,,,1810.0333,Low
Lukas Reichel,8482117,CHI,0.0000,0.4719,0.1888,27.3705,,,2468.3500,Medium
Nick Leddy,8475181,SJS,0.0000,0.4659,0.1864,27.4925,,,8024.7333,High
Dylan DeMelo,8476331,WPG,0.0000,0.4658,0.1863,27.4940,,,8923.4000,High
Nick Blankenburg,8483565,NSH,0.0000,0.4598,0.1839,27.6166,,,2665.7833,Medium
Travis Sanheim,8477948,PIT,0.0000,0.4546,0.1818,27.7212,,,9811.2667,High
Marcus Pettersson,8477969,VAN,0.0000,0.4545,0.1818,27.7236,,,8107.1667,High
Marat Khusnutdinov,8482177,BOS,0.0000,0.4541,0.1816,27.7322,,,1737.3333,Low
Louis Crevier,8481806,CHI,0.0000,0.4535,0.1814,27.7428,,,1782.0833,Low
Mathew Dumba,8476856,PIT,0.0000,0.4533,0.1813,27.7478,,,7116.2333,High
Chris Tanev,8475690,TOR,0.0000,0.4532,0.1813,27.7493,,,8101.8167,High
Trevor van Riemsdyk,8477845,ANA,0.0000,0.4501,0.1801,27.8119,,,6825.8667,High
Timothy Liljegren,8480043,SJS,0.0000,0.4498,0.1799,27.8177,,,5254.2167,High
J.J. Moser,8482655,TBL,0.0000,0.4494,0.1797,27.8274,,,6308.9000,High
Liam O'Brien,8477070,UTA,0.0000,0.4487,0.1795,27.8411,,,2288.7000,Medium
Haydn Fleury,8477938,COL,0.0000,0.4486,0.1794,27.8424,,,3174.3000,High
Jeff Petry,8473507,TOR,0.0000,0.4477,0.1791,27.8607,,,7354.4333,High
Alex Vlasic,8481568,LAK,0.0000,0.4467,0.1787,27.8810,,,4857.0667,High
Justin Faulk,8475753,STL,0.0000,0.4467,0.1787,27.8820,,,9651.4000,High
Simon Holmstrom,8481601,NYI,0.0000,0.4447,0.1779,27.9217,,,3665.9667,High
Collin Graf,8484911,SJS,0.0000,0.4433,0.1773,27.9492,,,1487.7000,Low
Philippe Myers,8479026,MTL,0.0000,0.4390,0.1756,28.0379,,,2379.6333,Medium
