rank_2526,player_name,player_id,team,es,nf,nf_rate,nf_goals,reb_shots,goal_rate,ci_lo,ci_hi,avg_x,avg_y,avg_gap,pos_dist,norm_gr,norm_gap,norm_pos,composite,ci_confirmed
28,Yakov Trenin,8478508,MIN,181,56,0.30939226519337015,4,15,0.26666666666666666,0.1089727610318281,0.5195088965768675,81.30357142857143,-0.4107142857142857,1.4,1.36674236558232,0.23468634686346862,0.8369426751592358,0.694769011539926,0.5534,True
29,Gabriel Vilardi,8480014,WPG,197,60,0.30456852791878175,10,15,0.6666666666666666,0.41713125151212976,0.8482389930530876,82.91666666666667,0.55,1.6,2.968070828744569,0.6863468634686346,0.6535031847133758,0.27229292568867236,0.5523,True
30,Mark Kastelic,8480355,BOS,194,44,0.2268041237113402,6,18,0.3333333333333333,0.1627855436366286,0.5625093065574964,80.95454545454545,0.5454545454545454,1.6111111111111112,1.099398783858892,0.3099630996309963,0.6433121019108281,0.7653018675917858,0.5466,True
31,Jason Zucker,8475722,BUF,163,61,0.37423312883435583,10,15,0.6666666666666666,0.41713125151212976,0.8482389930530876,81.8688524590164,0.3114754098360656,1.9333333333333333,1.8946309520601028,0.6863468634686346,0.3477707006369427,0.5554969577975777,0.5455,True
32,Ridly Greig,8482092,OTT,210,59,0.28095238095238095,9,17,0.5294117647058824,0.30962897311549487,0.738351988039119,82.94915254237289,-0.1694915254237288,1.411764705882353,2.95401897342839,0.5313653136531366,0.8261521168977145,0.2760002055937607,0.5432,True
33,Brock Nelson,8475754,COL,226,64,0.2831858407079646,7,23,0.30434782608695654,0.15603828020972454,0.5086612906057261,81.359375,-0.953125,1.434782608695652,1.6602251823924368,0.277234076688593,0.805040155081695,0.6173398803136638,0.5376,True
34,Anthony Cirelli,8478519,TBL,166,64,0.3855421686746988,10,21,0.47619047619047616,0.28343712296762946,0.6763078209973324,81.71875,0.203125,1.7142857142857142,1.7307112203152206,0.47127042698998417,0.5486806187443132,0.5987436546836173,0.5327,True
35,Bryan Rust,8475810,PIT,217,60,0.2764976958525346,6,17,0.35294117647058826,0.17309486143904904,0.5870003327878818,82.06666666666666,0.2833333333333333,1.411764705882353,2.085998295514374,0.33210332103321033,0.8261521168977145,0.5050087986958174,0.5322,True
36,Sidney Crosby,8471675,PIT,185,46,0.24864864864864866,10,15,0.6666666666666666,0.41713125151212976,0.8482389930530876,82.65217391304348,-1.1956521739130435,1.7333333333333334,2.909228520761367,0.6863468634686346,0.5312101910828025,0.28781720351865947,0.5202,True
37,Jimmy Snuggerud,8483516,STL,249,38,0.15261044176706828,7,21,0.3333333333333333,0.17194536432683688,0.5462692434278971,81.36842105263158,0.42105263157894735,1.619047619047619,1.431733737761622,0.3099630996309963,0.6360327570518653,0.6776224353289519,0.5181,True
38,Tyler Bertuzzi,8477479,CHI,204,58,0.28431372549019607,11,17,0.6470588235294118,0.4129996672121182,0.826905138560951,82.3103448275862,-0.4827586206896552,1.8823529411764706,2.3602434425720826,0.6642066420664207,0.39452978643686776,0.43265511301671444,0.5138,True
39,Charlie Coyle,8475745,CBJ,184,53,0.28804347826086957,7,17,0.4117647058823529,0.21610786039131383,0.6399492561448447,81.94339622641509,0.6226415094339622,1.588235294117647,2.040703638972257,0.3985239852398524,0.6642937429748972,0.51695881997259,0.5138,True
40,Mikael Backlund,8474150,CGY,276,47,0.17028985507246377,6,18,0.3333333333333333,0.1627855436366286,0.5625093065574964,81.72340425531915,-0.06382978723404255,1.5555555555555556,1.7245858833327226,0.3099630996309963,0.694267515923567,0.6003596931494393,0.5124,True
41,Zach Hyman,8475786,EDM,195,90,0.46153846153846156,10,18,0.5555555555555556,0.3371606942825164,0.7544076889861088,82.44444444444444,0.2111111111111111,1.7222222222222223,2.4535436705324543,0.5608856088560886,0.5414012738853502,0.4080398538587726,0.5092,True
42,Alex Ovechkin,8471214,WSH,318,54,0.16981132075471697,8,17,0.47058823529411764,0.26164801196088106,0.6903710268845051,80.25925925925925,0.7962962962962963,2.0588235294117645,0.8374384484885173,0.46494464944649444,0.23267141251405044,0.8344144698351794,0.5061,True
43,Emil Heineman,8482476,NYI,236,40,0.1694915254237288,3,18,0.16666666666666666,0.05836470400465757,0.39222499638359243,81.05,-0.225,1.5,1.0738365797457237,0.12177121771217712,0.7452229299363058,0.7720459055502041,0.5039,False
44,Matt Savoie,8483512,EDM,201,48,0.23880597014925373,3,17,0.17647058823529413,0.0619101371254899,0.41029929017375777,81.14583333333333,-0.6458333333333334,1.4705882352941178,1.3153078431387124,0.13284132841328417,0.7721993255901086,0.7083389044254196,0.4973,False
45,Joel Eriksson Ek,8478493,MIN,221,50,0.22624434389140272,7,16,0.4375,0.2309836333518552,0.6682180439322347,82.64,0.1,1.5625,2.641893260523597,0.4275830258302583,0.6878980891719746,0.3583478641254434,0.4849,True
46,Casey Cizikas,8475231,NYI,142,48,0.3380281690140845,4,19,0.21052631578947367,0.08507538491591576,0.43334714240266087,81.33333333333333,-0.3333333333333333,1.5789473684210527,1.3743685418725489,0.17129539716449793,0.6728126047603085,0.6927570088913594,0.4782,False
47,Nicholas Robertson,8481582,TOR,197,38,0.19289340101522842,4,15,0.26666666666666666,0.1089727610318281,0.5195088965768675,81.97368421052632,-1.631578947368421,1.3333333333333333,2.560757548925069,0.23468634686346862,0.8980891719745224,0.3797537771829128,0.4772,True
48,Nino Niederreiter,8475799,WPG,119,37,0.31092436974789917,4,16,0.25,0.10181901984237346,0.49498768929398645,82.64864864864865,-0.1891891891891892,1.3125,2.6553968090088453,0.2158671586715867,0.9171974522292995,0.35478524318889637,0.4679,True
49,Gabriel Landeskog,8476455,COL,200,52,0.26,7,15,0.4666666666666667,0.24809225259746442,0.6988336984894921,81.48076923076923,-0.9230769230769231,1.9333333333333333,1.7449207777747522,0.4605166051660517,0.3477707006369427,0.5949947684586597,0.467,True
50,Jack McBain,8480855,UTA,198,69,0.3484848484848485,5,19,0.2631578947368421,0.11806238339540162,0.48791968441070643,82.18840579710145,0.2753623188405797,1.4736842105263157,2.205661882389163,0.23072441250728296,0.7693597049949716,0.4734381341102719,0.4651,True
51,Auston Matthews,8479318,TOR,274,75,0.2737226277372263,8,16,0.5,0.2799923761135083,0.7200076238864916,82.45333333333333,-2.1333333333333333,1.5625,3.2511468062140096,0.4981549815498155,0.6878980891719746,0.1976094152715534,0.4649,True
52,Shane Wright,8483524,SEA,147,36,0.24489795918367346,6,18,0.3333333333333333,0.1627855436366286,0.5625093065574964,81.13888888888889,1.8611111111111112,1.6111111111111112,2.181926320739496,0.3099630996309963,0.6433121019108281,0.4797002517281841,0.4609,True
53,ID:8485414,8485414,PIT,207,41,0.19806763285024154,3,15,0.2,0.07047420643610414,0.4518593533465045,82.09756097560975,0.7317073170731707,1.4,2.221521470582572,0.15940959409594097,0.8369426751592358,0.4692539227524517,0.4556,False
54,Bobby McMann,8482259,TOR,282,37,0.13120567375886524,6,16,0.375,0.18480982554752806,0.613593529020652,81.48648648648648,0.5945945945945946,1.875,1.6009949426616072,0.3570110701107011,0.4012738853503185,0.6329665055945864,0.4531,True
