season,team,pillars,p_nf,p_sv,p_ga,nf_rate,save_pct,ga_pg,points_pct,gp,playoff_depth
20222023,MIN,3,True,True,True,0.1509358019722278,0.9088803088803089,2.8780487804878048,0.628,82,R1_exit
20222023,WPG,3,True,True,True,0.15911485774499473,0.9096022498995581,2.7439024390243905,0.5793,82,R1_exit
20222023,NYI,3,True,True,True,0.15173262251384048,0.9121779859484778,2.7439024390243905,0.5671,82,R1_exit
20202021,COL,2,False,True,True,0.14088729016786572,0.9053295932678822,2.4107142857142856,0.7321,56,R2_exit
20202021,VGK,2,False,True,True,0.14583333333333334,0.9186197916666666,2.232142857142857,0.7321,56,CF_exit
20212022,COL,2,False,True,True,0.13914279910623603,0.9106737320211961,2.8780487804878048,0.7256,82,Cup_winner
20242025,WPG,2,False,True,True,0.1457572066585465,0.9140939597315436,2.341463414634146,0.7073,82,R2_exit
20202021,FLA,2,False,True,True,0.14178168130489335,0.9079102715466352,2.7857142857142856,0.7054,56,R1_exit
20232024,NYR,2,False,True,True,0.1425260718424102,0.90468364831553,2.8292682926829267,0.6951,82,CF_exit
20222023,CAR,2,True,False,True,0.18560755013763272,0.8975903614457832,2.6951219512195124,0.689,82,CF_exit
20232024,DAL,2,True,False,True,0.15298000388274122,0.8997050147492626,2.902439024390244,0.689,82,CF_exit
20202021,PIT,2,False,True,True,0.14619080301990392,0.9065641632170314,2.8214285714285716,0.6875,56,R1_exit
20212022,CGY,2,False,True,True,0.1432004806729421,0.9123689727463312,2.548780487804878,0.6768,82,R2_exit
20232024,CAR,2,True,False,True,0.15330007674597085,0.8969896519285042,2.6707317073170733,0.6768,82,R2_exit
20232024,WPG,2,False,True,True,0.14862124898621248,0.9181743421052632,2.426829268292683,0.6707,82,R1_exit
20202021,MIN,2,False,True,True,0.13476112026359144,0.9054290718038529,2.892857142857143,0.6696,56,R1_exit
20202021,TBL,2,False,True,True,0.1404399323181049,0.9054477144646211,2.6964285714285716,0.6696,56,Cup_winner
20222023,COL,2,False,True,True,0.14737060902099355,0.910546875,2.8271604938271606,0.6605,81,R1_exit
20242025,TOR,2,False,True,True,0.1413484971567831,0.9030654515327258,2.8536585365853657,0.6585,82,R2_exit
20212022,BOS,2,False,True,True,0.11926977687626775,0.9059468578658794,2.7195121951219514,0.6524,82,R1_exit
20202021,BOS,2,False,True,True,0.11221635063723967,0.9103989535644212,2.4464285714285716,0.6518,56,R2_exit
20202021,EDM,2,False,True,True,0.14748784440842788,0.9103086779266162,2.75,0.6429,56,R1_exit
20212022,EDM,2,True,True,False,0.1723563696919234,0.9050656660412758,3.0853658536585367,0.6341,82,CF_exit
20242025,TBL,2,False,True,True,0.1506198347107438,0.9036559139784947,2.731707317073171,0.622,82,R1_exit
20242025,EDM,2,True,False,True,0.15678889990089198,0.8929055580659738,2.8902439024390243,0.6159,82,Final_loss
20232024,LAK,2,False,True,True,0.14175654853620956,0.903308981521272,2.7439024390243905,0.6037,82,R1_exit
20212022,DAL,2,True,True,False,0.1654199615302415,0.9031505250875146,3.0365853658536586,0.5976,82,R1_exit
20242025,FLA,2,True,False,True,0.1511305037683459,0.8960258780036968,2.7439024390243905,0.5976,82,Cup_winner
20202021,NSH,2,False,True,True,0.133419689119171,0.9118145845110232,2.7857142857142856,0.5714,56,R1_exit
20202021,WPG,2,False,True,True,0.1195364238410596,0.9096736596736597,2.767857142857143,0.5625,56,R2_exit
20242025,NJD,2,True,False,True,0.15282115344576305,0.8962826984855439,2.7560975609756095,0.5549,82,R1_exit
20212022,WPG,2,True,True,False,0.15848261327713384,0.9046052631578947,3.182926829268293,0.5427,82,missed_playoffs
20202021,NYR,2,False,True,True,0.14366855997327097,0.904961147638972,2.8392857142857144,0.5357,56,missed_playoffs
