player_name,player_id,team_2526,offensive_composite,defensive_score,twoway_composite,rush_against_per60,ci_confirmed,trend,total_toi_mins,sample_confidence,rush_against_per60_by_season,def_trajectory,nf_traj,combined_trajectory
Noah Juulsen,8478454,PHI,0.0000,0.4777,0.1911,27.2539,,,2168.5000,Medium,"{""20202021"": 33.844, ""20212022"": 34.7086, ""20222023"": 23.3875, ""20232024"": 26.5962, ""20242025"": 28.7284, ""20252026"": 25.3752}",stable,neutral,stable
Will Borgen,8478840,NYR,0.0000,0.4775,0.1910,27.2581,,,5998.2167,High,"{""20202021"": 35.4171, ""20212022"": 23.6562, ""20222023"": 25.9172, ""20232024"": 28.9558, ""20242025"": 26.9179, ""20252026"": 28.163}",stable,insufficient_data,stable
Nicolas Hague,8479980,NSH,0.0000,0.4770,0.1908,27.2678,,,7340.5333,High,"{""20202021"": 22.8379, ""20212022"": 24.5609, ""20222023"": 28.6802, ""20232024"": 30.2985, ""20242025"": 26.7126, ""20252026"": 28.4387}",stable,declining,offensive_decline
Denton Mateychuk,8483485,CBJ,0.0000,0.4760,0.1904,27.2873,,,1651.3167,Low,"{""20242025"": 27.5572, ""20252026"": 27.0692}",stable,neutral,stable
Matt Roy,8478911,WSH,0.0000,0.4757,0.1903,27.2938,,,8426.0833,High,"{""20202021"": 29.6748, ""20212022"": 24.8932, ""20222023"": 26.3839, ""20232024"": 26.8814, ""20242025"": 27.9268, ""20252026"": 30.2234}",stable,insufficient_data,stable
Ross Johnston,8477527,ANA,0.0000,0.4731,0.1892,27.3476,,,1810.0333,Low,"{""20202021"": 38.9127, ""20212022"": 30.4806, ""20222023"": 29.8157, ""20232024"": 26.5317, ""20242025"": 25.8266, ""20252026"": 22.5083}",improving,insufficient_data,stable
Lukas Reichel,8482117,CHI,0.0000,0.4719,0.1888,27.3705,,,2468.3500,Medium,"{""20212022"": 21.495, ""20222023"": 28.6903, ""20232024"": 28.0138, ""20242025"": 28.0064, ""20252026"": 23.8504}",stable,declining,offensive_decline
Nick Leddy,8475181,SJS,0.0000,0.4659,0.1864,27.4925,,,8024.7333,High,"{""20202021"": 27.3263, ""20212022"": 26.8393, ""20222023"": 28.9411, ""20232024"": 28.6045, ""20242025"": 22.9581, ""20252026"": 27.2717}",stable,neutral,stable
Dylan DeMelo,8476331,WPG,0.0000,0.4658,0.1863,27.4940,,,8923.4000,High,"{""20202021"": 28.1686, ""20212022"": 29.0625, ""20222023"": 27.8658, ""20232024"": 27.7752, ""20242025"": 26.8597, ""20252026"": 24.9334}",stable,neutral,stable
Nick Blankenburg,8483565,NSH,0.0000,0.4598,0.1839,27.6166,,,2665.7833,Medium,"{""20212022"": 25.3659, ""20222023"": 31.7269, ""20232024"": 33.9186, ""20242025"": 25.5386, ""20252026"": 24.9425}",improving,insufficient_data,stable
Travis Sanheim,8477948,PIT,0.0000,0.4546,0.1818,27.7212,,,9811.2667,High,"{""20202021"": 26.8162, ""20212022"": 32.1851, ""20222023"": 30.3519, ""20232024"": 25.3184, ""20242025"": 25.6569, ""20252026"": 25.4596}",stable,insufficient_data,stable
Marcus Pettersson,8477969,VAN,0.0000,0.4545,0.1818,27.7236,,,8107.1667,High,"{""20202021"": 23.3534, ""20212022"": 25.4846, ""20222023"": 29.6206, ""20232024"": 29.2033, ""20242025"": 28.7395, ""20252026"": 27.4105}",stable,insufficient_data,stable
Marat Khusnutdinov,8482177,BOS,0.0000,0.4541,0.1816,27.7322,,,1737.3333,Low,"{""20232024"": 24.5988, ""20242025"": 30.9996, ""20252026"": 24.6425}",stable,insufficient_data,stable
Louis Crevier,8481806,CHI,0.0000,0.4535,0.1814,27.7428,,,1782.0833,Low,"{""20232024"": 28.8038, ""20242025"": 29.7445, ""20252026"": 26.0879}",stable,insufficient_data,stable
Mathew Dumba,8476856,PIT,0.0000,0.4533,0.1813,27.7478,,,7116.2333,High,"{""20202021"": 28.2732, ""20212022"": 28.9881, ""20222023"": 25.8241, ""20232024"": 29.7146, ""20242025"": 25.2825, ""20252026"": 29.2899}",stable,declining,offensive_decline
Chris Tanev,8475690,TOR,0.0000,0.4532,0.1813,27.7493,,,8101.8167,High,"{""20202021"": 26.6043, ""20212022"": 31.105, ""20222023"": 26.0128, ""20232024"": 25.3709, ""20242025"": 28.9129, ""20252026"": 28.1709}",stable,neutral,stable
Trevor van Riemsdyk,8477845,ANA,0.0000,0.4501,0.1801,27.8119,,,6825.8667,High,"{""20202021"": 27.5815, ""20212022"": 27.1365, ""20222023"": 30.2535, ""20232024"": 28.1961, ""20242025"": 25.4588, ""20252026"": 28.7107}",stable,insufficient_data,stable
Timothy Liljegren,8480043,SJS,0.0000,0.4498,0.1799,27.8177,,,5254.2167,High,"{""20202021"": 19.8785, ""20212022"": 26.9536, ""20222023"": 27.3984, ""20232024"": 27.1755, ""20242025"": 27.9427, ""20252026"": 32.4}",declining,neutral,defensive_decline
J.J. Moser,8482655,TBL,0.0000,0.4494,0.1797,27.8274,,,6308.9000,High,"{""20212022"": 31.3511, ""20222023"": 30.5188, ""20232024"": 27.6617, ""20242025"": 22.9548, ""20252026"": 25.8676}",improving,declining,offensive_decline
Liam O'Brien,8477070,UTA,0.0000,0.4487,0.1795,27.8411,,,2288.7000,Medium,"{""20202021"": 27.3996, ""20212022"": 28.6588, ""20222023"": 31.1299, ""20232024"": 27.2098, ""20242025"": 24.5717, ""20252026"": 22.728}",improving,rising,both_improving
Haydn Fleury,8477938,COL,0.0000,0.4486,0.1794,27.8424,,,3174.3000,High,"{""20202021"": 24.624, ""20212022"": 28.9794, ""20222023"": 33.0517, ""20232024"": 28.1467, ""20242025"": 26.0047, ""20252026"": 30.1997}",stable,neutral,stable
Jeff Petry,8473507,TOR,0.0000,0.4477,0.1791,27.8607,,,7354.4333,High,"{""20202021"": 24.1096, ""20212022"": 27.6291, ""20222023"": 28.4469, ""20232024"": 31.4511, ""20242025"": 32.0027, ""20252026"": 24.3667}",stable,neutral,stable
Alex Vlasic,8481568,LAK,0.0000,0.4467,0.1787,27.8810,,,4857.0667,High,"{""20212022"": 29.6319, ""20222023"": 32.0837, ""20232024"": 26.5985, ""20242025"": 28.2033, ""20252026"": 28.4793}",stable,insufficient_data,stable
Justin Faulk,8475753,STL,0.0000,0.4467,0.1787,27.8820,,,9651.4000,High,"{""20202021"": 27.7286, ""20212022"": 28.9058, ""20222023"": 29.9648, ""20232024"": 28.4063, ""20242025"": 24.8968, ""20252026"": 26.8501}",stable,declining,offensive_decline
Simon Holmstrom,8481601,NYI,0.0000,0.4447,0.1779,27.9217,,,3665.9667,High,"{""20222023"": 29.9531, ""20232024"": 30.7895, ""20242025"": 26.1818, ""20252026"": 25.6196}",stable,declining,offensive_decline
Collin Graf,8484911,SJS,0.0000,0.4433,0.1773,27.9492,,,1487.7000,Low,"{""20232024"": 25.3085, ""20242025"": 28.7752, ""20252026"": 27.8011}",stable,insufficient_data,stable
Philippe Myers,8479026,MTL,0.0000,0.4390,0.1756,28.0379,,,2379.6333,Medium,"{""20202021"": 27.3833, ""20212022"": 28.3782, ""20222023"": 24.5734, ""20232024"": 23.6032, ""20242025"": 26.8348, ""20252026"": 32.1554}",stable,neutral,stable
Carson Soucy,8477369,NYR,0.0000,0.4373,0.1749,28.0710,,,6401.6333,High,"{""20202021"": 32.9568, ""20212022"": 28.5605, ""20222023"": 26.5719, ""20232024"": 26.8993, ""20242025"": 28.3535, ""20252026"": 26.0186}",stable,declining,offensive_decline
Kaiden Guhle,8482087,MTL,0.0000,0.4361,0.1744,28.0959,,,4130.1333,High,"{""20222023"": 29.3785, ""20232024"": 28.6901, ""20242025"": 25.962, ""20252026"": 28.9914}",stable,neutral,stable
Sam Lafferty,8478043,LAK,0.0000,0.4346,0.1738,28.1272,,,3995.4167,High,"{""20202021"": 30.4775, ""20212022"": 35.0534, ""20222023"": 26.9733, ""20232024"": 24.9151, ""20242025"": 27.7874, ""20252026"": 21.2399}",improving,stable,stable
Calle Jarnkrok,8475714,TOR,0.0000,0.4336,0.1734,28.1463,,,5050.0500,High,"{""20202021"": 30.0508, ""20212022"": 26.8748, ""20222023"": 27.9462, ""20232024"": 25.865, ""20242025"": 32.049, ""20252026"": 29.7948}",stable,rising,stable
Ryan Shea,8478854,PIT,0.0000,0.4239,0.1696,28.3421,,,1949.7500,Low,"{""20232024"": 27.1345, ""20242025"": 27.2101, ""20252026"": 29.5488}",stable,neutral,stable
Jacob Trouba,8476885,ANA,0.0000,0.4225,0.1690,28.3707,,,9510.5000,High,"{""20202021"": 26.9633, ""20212022"": 28.0938, ""20222023"": 24.9033, ""20232024"": 29.2678, ""20242025"": 33.6634, ""20252026"": 27.1131}",stable,rising,stable
Kevin Bahl,8480860,MIN,0.0000,0.4225,0.1690,28.3713,,,5113.6167,High,"{""20202021"": 32.4279, ""20212022"": 33.3869, ""20222023"": 25.3831, ""20232024"": 26.6115, ""20242025"": 30.2491, ""20252026"": 28.4497}",stable,insufficient_data,stable
Alec Martinez,8474166,CHI,0.0000,0.4199,0.1680,28.4244,,,6001.1833,High,"{""20202021"": 25.1359, ""20212022"": 25.6274, ""20222023"": 30.0081, ""20232024"": 29.9739, ""20242025"": 30.8518}",stable,insufficient_data,stable
Ty Dellandrea,8480848,DAL,0.0000,0.4188,0.1675,28.4461,,,3488.7000,High,"{""20202021"": 24.6802, ""20212022"": 48.2143, ""20222023"": 27.6744, ""20232024"": 24.6376, ""20242025"": 32.0529, ""20252026"": 31.7016}",stable,stable,stable
Colton Parayko,8476892,STL,0.0000,0.4187,0.1675,28.4488,,,9440.1333,High,"{""20202021"": 31.9158, ""20212022"": 30.3703, ""20222023"": 28.5809, ""20232024"": 27.7695, ""20242025"": 25.0432, ""20252026"": 28.2791}",stable,stable,stable
Logan Stanley,8479378,WPG,0.0000,0.4173,0.1669,28.4761,,,3904.3333,High,"{""20202021"": 25.4777, ""20212022"": 31.4757, ""20222023"": 31.165, ""20232024"": 27.3929, ""20242025"": 28.2289, ""20252026"": 27.1931}",stable,neutral,stable
Adam Pelech,8476917,NYI,0.0000,0.4171,0.1668,28.4807,,,8382.5167,High,"{""20202021"": 31.1321, ""20212022"": 30.6498, ""20222023"": 27.6001, ""20232024"": 29.3955, ""20242025"": 23.9243, ""20252026"": 26.2348}",improving,declining,offensive_decline
