season,team,n_elite_nf,elite_player_names,elite_reb_shots,elite_reb_goals,points_pct,points,gp,playoff_depth
20242025,STL,0,,0,0,0.5854,96,82,R1_exit
20242025,CGY,0,,0,0,0.5854,96,82,missed_playoffs
20212022,VGK,0,,0,0,0.5732,94,82,missed_playoffs
20202021,NSH,0,,0,0,0.5714,64,56,R1_exit
20222023,NSH,0,,0,0,0.5679,92,81,missed_playoffs
20222023,CGY,0,,0,0,0.5671,93,82,missed_playoffs
20222023,FLA,0,,0,0,0.561,92,82,Final_loss
20232024,STL,0,,0,0,0.561,92,82,missed_playoffs
20232024,DET,0,,0,0,0.5549,91,82,missed_playoffs
20242025,NJD,0,,0,0,0.5549,91,82,R1_exit
20222023,BUF,0,,0,0,0.5494,89,81,missed_playoffs
20212022,WPG,0,,0,0,0.5427,89,82,missed_playoffs
20242025,UTA,0,,0,0,0.5427,89,82,missed_playoffs
20242025,CBJ,0,,0,0,0.5427,89,82,missed_playoffs
20232024,PIT,0,,0,0,0.5366,88,82,missed_playoffs
20202021,NYR,0,,0,0,0.5357,60,56,missed_playoffs
20222023,OTT,0,,0,0,0.5244,86,82,missed_playoffs
20242025,DET,0,,0,0,0.5244,86,82,missed_playoffs
20242025,NYR,0,,0,0,0.5183,85,82,missed_playoffs
20202021,PHI,0,,0,0,0.5179,58,56,missed_playoffs
20232024,BUF,0,,0,0,0.5122,84,82,missed_playoffs
20232024,NJD,0,,0,0,0.4939,81,82,missed_playoffs
20232024,CGY,0,,0,0,0.4939,81,82,missed_playoffs
20202021,CGY,0,,0,0,0.4911,55,56,missed_playoffs
20222023,DET,0,,0,0,0.4878,80,82,missed_playoffs
20242025,PIT,0,,0,0,0.4878,80,82,missed_playoffs
20242025,ANA,0,,0,0,0.4878,80,82,missed_playoffs
20202021,ARI,0,,0,0,0.4821,54,56,missed_playoffs
20242025,BUF,0,,0,0,0.4817,79,82,missed_playoffs
20232024,OTT,0,,0,0,0.4756,78,82,missed_playoffs
20212022,SJS,0,,0,0,0.4695,77,82,missed_playoffs
20232024,ARI,0,,0,0,0.4695,77,82,missed_playoffs
20212022,ANA,0,,0,0,0.4634,76,82,missed_playoffs
20212022,BUF,0,,0,0,0.4573,75,82,missed_playoffs
