rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
251,Henry Thrun,TOR,D,124,288,360,280,-0.27678,-0.38466,4.7,8481567
252,Drew Helleson,ANA,D,119,298,269,285,-0.27422,-0.38144,4.7,8481563
253,Kevin Korchinski,CHI,D,105,281,207,234,-0.26443,-0.38274,4.7,8483466
254,Haydn Fleury,WPG,D,129,170,227,230,-0.27598,-0.39436,4.6,8477938
255,Esa Lindell,DAL,D,326,554,883,816,-0.32734,-0.39042,4.6,8476902
256,Simon Benoit,TOR,D,293,367,698,656,-0.32463,-0.39481,4.6,8481122
257,Sam Dickinson,SJS,D,71,149,149,155,-0.2459,-0.39077,4.6,8484806
258,Matt Benning,TOR,D,99,137,275,239,-0.28436,-0.4004,4.5,8476988
259,Olli Määttä,CGY,D,269,601,571,692,-0.32779,-0.39604,4.5,8476874
260,Jon Merrill,MIN,D,208,342,354,358,-0.30266,-0.39751,4.5,8475750
261,Marco Scandella,STL,D,85,125,146,170,-0.26569,-0.40298,4.5,8474618
262,Wyatt Kaiser,CHI,D,175,424,414,459,-0.31926,-0.40296,4.5,8482176
263,Pavel Mintyukov,ANA,D,203,483,527,459,-0.3167,-0.40048,4.5,8483490
264,Jake Bean,CGY,D,166,398,316,347,-0.31239,-0.40818,4.4,8479402
265,Oliver Ekman-Larsson,TOR,D,289,775,651,753,-0.34622,-0.41124,4.4,8475171
266,Ryan Pulock,NYI,D,290,682,831,802,-0.34224,-0.40515,4.4,8477506
267,Logan Stanley,BUF,D,183,261,327,372,-0.31651,-0.40907,4.4,8479378
268,Noah Juulsen,PHI,D,153,293,286,291,-0.30628,-0.41096,4.4,8478454
269,Nick DeSimone,UTA,D,97,200,138,184,-0.28217,-0.41337,4.4,8480084
270,Dmitri Simashev,UTA,D,27,69,58,70,-0.19222,-0.40578,4.4,8484386
271,Carson Soucy,NYI,D,269,530,536,589,-0.34994,-0.42295,4.3,8477369
272,Erik Brannstrom,VAN,D,178,403,295,363,-0.33008,-0.4227,4.3,8480073
273,Nick Holden,OTT,D,65,113,112,140,-0.26675,-0.41681,4.3,8474207
274,Chad Ruhwedel,NYR,D,104,126,166,150,-0.27391,-0.4183,4.3,8477244
275,Isaak Phillips,WPG,D,55,101,129,121,-0.25818,-0.41862,4.3,8482192
276,Mason Lohrei,BOS,D,191,481,340,436,-0.33923,-0.42381,4.3,8482511
277,Marc-Edouard Vlasic,SJS,D,162,260,433,379,-0.34006,-0.4305,4.2,8471709
278,Justin Schultz,SEA,D,143,379,269,318,-0.32647,-0.42584,4.2,8474602
279,Erik Gudbranson,CBJ,D,201,502,602,560,-0.36558,-0.43984,4.1,8475790
280,John Klingberg,SJS,D,147,438,382,380,-0.35036,-0.4405,4.1,8475906
281,Alexander Alexeyev,WSH,D,79,128,151,154,-0.30258,-0.4438,4.1,8480823
282,Ian Mitchell,BOS,D,63,123,109,114,-0.27867,-0.44316,4.1,8480070
283,Nikolas Matinpalo,OTT,D,95,143,139,229,-0.32455,-0.44051,4.1,8484321
284,Alexander Petrovic,DAL,D,60,91,132,115,-0.27245,-0.43662,4.1,8475755
285,Keaton Middleton,COL,D,44,40,56,78,-0.24361,-0.44218,4.1,8479387
286,Axel Sandin-Pellikka,DET,D,68,151,131,127,-0.28751,-0.4434,4.1,8484223
287,Ben Hutton,VGK,D,138,311,180,275,-0.3429,-0.44825,4.0,8477018
288,Joshua Brown,EDM,D,129,238,322,265,-0.33943,-0.44666,4.0,8477384
289,Nikita Okhotiuk,CGY,D,62,116,146,113,-0.28324,-0.44742,4.0,8481537
290,Vincent Desharnais,SJS,D,218,377,397,452,-0.36606,-0.44831,4.0,8479576
291,Spencer Stastney,EDM,D,117,211,215,244,-0.33255,-0.44477,4.0,8481056
292,Ryan Johnson,BUF,D,47,100,75,88,-0.26531,-0.4516,4.0,8481564
293,Kale Clague,BUF,D,36,87,65,72,-0.25361,-0.45885,3.9,8479348
294,Shakir Mukhamadullin,SJS,D,83,170,235,226,-0.34615,-0.4618,3.9,8482166
295,Philippe Myers,TOR,D,91,152,137,161,-0.33673,-0.47258,3.8,8479026
296,TJ Brodie,CHI,D,190,463,435,462,-0.38402,-0.46445,3.8,8474673
297,William Lagesson,DET,D,47,69,64,92,-0.29286,-0.47088,3.8,8478021
298,Travis Hamonic,DET,D,208,422,450,459,-0.41271,-0.49197,3.6,8474612
299,Brayden Pachal,CGY,D,174,344,250,327,-0.39524,-0.4897,3.6,8481167
300,Morgan Rielly,TOR,D,297,911,646,678,-0.43475,-0.49992,3.5,8476853
301,Kevin Shattenkirk,BOS,D,136,308,312,301,-0.40138,-0.49871,3.5,8474031
302,Matthew Schaefer,NYI,D,82,190,174,213,-0.37832,-0.49466,3.5,8485366
303,Riley Stillman,EDM,D,59,105,87,126,-0.36155,-0.51139,3.4,8479388
304,Jan Rutta,SJS,D,180,331,440,416,-0.42424,-0.50682,3.4,8480172
305,Travis Dermott,MIN,D,80,140,192,193,-0.38837,-0.50907,3.4,8478408
306,Jack Thompson,SJS,D,34,82,66,61,-0.2938,-0.50738,3.4,8482144
307,Derek Forbort,VAN,D,145,203,324,321,-0.42625,-0.51964,3.3,8475762
308,Calle Rosen,STL,D,55,115,81,110,-0.36013,-0.51896,3.3,8480157
309,Timothy Liljegren,WSH,D,238,596,573,587,-0.44627,-0.5153,3.3,8480043
310,Brad Hunt,COL,D,47,54,50,81,-0.33206,-0.51589,3.3,8476779
