rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
102,Michael McLeod,NJD,C,125,364,624,457,0.7177,0.66937,7.2,8479415
103,Casey Cizikas,NYI,C,314,761,1285,1191,0.70403,0.67064,7.2,8475231
104,Sam Bennett,FLA,C,284,1367,1023,1253,0.69355,0.6686,7.2,8477935
105,Reese Johnson,MIN,C,102,137,267,265,0.74877,0.67004,7.2,8481147
106,Jonathan Drouin,STL,L,244,1101,819,1026,0.69529,0.66747,7.2,8477494
107,Mason Shaw,MIN,C,79,112,200,173,0.75538,0.66817,7.2,8479972
108,Zach Benson,BUF,L,211,729,709,786,0.70076,0.66654,7.2,8484145
109,Steven Lorentz,TOR,C,269,416,778,800,0.70817,0.66274,7.1,8478904
110,Artemi Panarin,LAK,L,321,1709,914,1295,0.68622,0.66382,7.1,8478550
111,Reilly Smith,VGK,R,302,1182,1130,1202,0.68956,0.6626,7.1,8475191
112,Trevor Moore,LAK,C,280,1086,1158,1258,0.69161,0.66351,7.1,8479675
113,Michael Amadio,OTT,C,293,869,1210,1164,0.6962,0.66481,7.1,8478020
114,Charlie Coyle,CBJ,C,329,1068,1694,1317,0.68985,0.66147,7.1,8475745
115,Elias Pettersson,VAN,C,299,1299,1214,1140,0.6874,0.66167,7.1,8480012
116,Ryan Nugent-Hopkins,EDM,C,311,1367,1212,1213,0.68664,0.66156,7.1,8476454
117,Rasmus Asplund,FLA,C,52,99,184,154,0.75691,0.66385,7.1,8479335
118,Peyton Krebs,BUF,C,317,1003,1191,1202,0.69482,0.66563,7.1,8481522
119,Anders Lee,NYI,L,327,1472,1217,1296,0.68653,0.66237,7.1,8475314
120,Brendan Lemieux,CAR,L,77,182,136,210,0.73212,0.66347,7.1,8477962
121,Noel Acciari,PIT,C,278,420,1483,852,0.70911,0.66394,7.1,8478569
122,Jayson Megna,BOS,C,56,109,178,135,0.75282,0.66416,7.1,8477126
123,Jordan Greenway,BUF,L,203,675,826,816,0.69693,0.66123,7.1,8478413
124,Jansen Harkins,ANA,C,173,244,585,488,0.7242,0.66498,7.1,8478424
125,Kevin Stenlund,UTA,C,296,722,1290,906,0.69926,0.66483,7.1,8478831
126,Justin Kirkland,CGY,C,50,84,152,115,0.7626,0.6614,7.1,8477993
127,Igor Chernyshov,SJS,L,27,131,95,118,0.74549,0.66464,7.1,8484994
128,Luke Kunin,FLA,C,246,717,900,852,0.69118,0.65642,7.0,8479316
129,Chris Kreider,ANA,L,303,1317,1136,1351,0.68225,0.6566,7.0,8475184
130,William Karlsson,VGK,C,220,926,823,781,0.68975,0.65922,7.0,8476448
131,Nicolas Roy,COL,C,279,718,1130,1219,0.6923,0.65759,7.0,8478462
132,Taylor Hall,CAR,L,228,949,709,868,0.68948,0.65932,7.0,8475791
133,Boone Jenner,CBJ,C,219,946,1063,973,0.6883,0.65807,7.0,8476432
134,Mitch Marner,VGK,R,311,1576,1198,1392,0.68287,0.65947,7.0,8478483
135,Auston Matthews,TOR,C,282,1567,1118,1427,0.68042,0.65692,7.0,8479318
136,Dylan Holloway,STL,L,224,809,679,797,0.68924,0.65651,7.0,8482077
137,Lawson Crouse,UTA,L,319,1093,1272,1471,0.68526,0.65712,7.0,8478474
138,Barrett Hayton,UTA,C,264,1065,1124,1021,0.68945,0.66102,7.0,8480849
139,Clayton Keller,UTA,R,322,1702,1307,1508,0.68129,0.65876,7.0,8479343
140,Noah Cates,PHI,L,301,1040,1276,1366,0.68751,0.6587,7.0,8480220
141,Parker Kelly,COL,L,296,594,882,978,0.69858,0.6605,7.0,8480448
142,Sam Steel,DAL,C,294,933,948,1100,0.69156,0.66119,7.0,8479351
143,Jamie Benn,DAL,L,304,1288,1184,1137,0.68606,0.66019,7.0,8473994
144,David Perron,DET,L,266,879,944,1053,0.68878,0.65741,7.0,8474102
145,Nico Hischier,NJD,C,309,1542,1647,1694,0.68105,0.65736,7.0,8480002
146,Drew O'Connor,VAN,L,290,877,981,1045,0.6883,0.65687,7.0,8482055
147,Simon Holmstrom,NYI,R,279,964,1025,997,0.69049,0.6606,7.0,8481601
148,Martin Pospisil,CGY,C,166,814,518,722,0.69107,0.65849,7.0,8481028
149,Tim Washe,ANA,C,40,82,173,108,0.76232,0.65977,7.0,8485512
150,Nick Bonino,NYR,C,107,290,456,327,0.71035,0.65566,6.9,8474009
151,Timo Meier,NJD,R,304,1445,1432,1479,0.68065,0.65615,6.9,8478414
152,Keegan Kolesar,VGK,R,318,714,1116,1484,0.68978,0.65491,6.9,8478434
153,Michael Bunting,DAL,L,313,1381,884,1165,0.67928,0.6542,6.9,8478047
154,Mikko Rantanen,DAL,R,308,2216,1354,1617,0.67531,0.65552,6.9,8478420
155,Jaden Schwartz,SEA,C,264,1107,1141,1123,0.68158,0.65355,6.9,8475768
156,Bo Horvat,NYI,C,309,1482,1329,1292,0.67869,0.65448,6.9,8477500
157,Dakota Joshua,TOR,C,254,682,972,1052,0.68792,0.65217,6.9,8478057
158,Bryan Rust,PIT,R,286,1709,1090,1529,0.67426,0.65167,6.9,8475810
159,Ryan Poehling,ANA,C,272,681,1057,1029,0.6886,0.65284,6.9,8480068
160,Jason Zucker,BUF,L,282,1103,952,996,0.68226,0.65419,6.9,8475722
161,Alex Tuch,BUF,R,310,1540,1237,1466,0.67873,0.65498,6.9,8477949
162,Phillip Di Giuseppe,VAN,L,101,291,309,343,0.70974,0.65513,6.9,8476858
163,Josh Doan,BUF,R,144,560,524,564,0.69337,0.65397,6.9,8482659
164,Curtis Douglas,VAN,C,42,80,53,118,0.75799,0.65373,6.9,8480876
165,Blake Lizotte,PIT,C,257,586,941,807,0.68945,0.65086,6.8,8481481
166,Viktor Arvidsson,BOS,L,231,857,893,925,0.6822,0.65028,6.8,8478042
167,David Pastrnak,BOS,R,323,1938,1182,1150,0.6698,0.64854,6.8,8477956
168,Sean Monahan,CBJ,C,240,1042,1112,981,0.67978,0.65084,6.8,8477497
169,Andrew Cogliano,COL,C,154,267,522,496,0.70388,0.64654,6.8,8471699
170,Vasily Podkolzin,EDM,R,221,863,657,862,0.682,0.65018,6.8,8481617
171,Nick Bjugstad,NJD,C,281,860,1167,1202,0.68063,0.64873,6.8,8475760
172,Carter Verhaeghe,FLA,C,315,1488,1209,1390,0.67097,0.64668,6.8,8477409
173,Brock Nelson,COL,C,324,1523,1299,1342,0.67497,0.65103,6.8,8475754
174,Tyler Toffoli,SJS,R,319,1447,1163,1341,0.67442,0.64984,6.8,8475726
175,Dillon Dube,CGY,C,125,482,346,457,0.68944,0.64677,6.8,8479346
176,Lucas Raymond,DET,L,318,1245,1493,1428,0.67318,0.64662,6.8,8482078
177,Adam Lowry,WPG,C,305,826,1570,1456,0.6836,0.6511,6.8,8476392
178,Nikolaj Ehlers,CAR,L,278,1375,877,1021,0.6748,0.64958,6.8,8477940
179,Warren Foegele,OTT,L,299,1128,1135,1243,0.67526,0.64738,6.8,8477998
180,Jonny Brodzinski,NYR,C,180,460,553,578,0.69352,0.64993,6.8,8477380
181,Pavel Dorofeyev,VGK,L,230,1099,749,790,0.67742,0.6492,6.8,8481604
182,John Leonard,DET,L,23,63,70,56,0.7663,0.6484,6.8,8481077
183,Akil Thomas,LAK,C,32,64,92,90,0.76387,0.64677,6.8,8480851
184,Gabriel Landeskog,COL,L,60,286,253,255,0.70604,0.65079,6.8,8476455
185,Eeli Tolvanen,SEA,R,300,1058,1164,1149,0.67218,0.64331,6.7,8480009
186,Nikita Kucherov,TBL,R,317,1835,1165,1281,0.66778,0.6459,6.7,8476453
187,Pierre-Edouard Bellemare,SEA,L,113,215,253,288,0.71006,0.64615,6.7,8477930
188,A.J. Greer,FLA,L,279,601,657,881,0.68104,0.64273,6.7,8478421
189,Zachary Aston-Reese,CBJ,C,186,387,658,598,0.69104,0.64331,6.7,8479944
190,Logan O'Connor,COL,R,231,486,978,892,0.6879,0.64536,6.7,8481186
191,Oliver Bjorkstrand,TBL,R,322,1130,1013,1233,0.6726,0.64469,6.7,8477416
192,Derek Ryan,EDM,C,186,450,616,566,0.68773,0.64347,6.7,8478585
193,Jeff Carter,PIT,C,151,232,823,411,0.70656,0.64498,6.7,8470604
194,Nick Schmaltz,UTA,C,305,1503,1234,1321,0.66874,0.64454,6.7,8477951
195,Jesper Boqvist,FLA,C,268,822,767,932,0.67575,0.643,6.7,8480003
196,Erik Haula,NSH,L,306,1222,1253,1194,0.66973,0.64286,6.7,8475287
197,Miles Wood,CBJ,L,241,622,945,831,0.68052,0.64287,6.7,8477425
198,Kevin Hayes,PIT,C,252,874,970,807,0.67498,0.64322,6.7,8475763
199,Alex DeBrincat,DET,R,328,1464,1316,1338,0.67013,0.64563,6.7,8479337
200,Mathew Barzal,NYI,C,249,1277,798,969,0.67147,0.64523,6.7,8478445
201,Ryan Hartman,MIN,R,278,1163,1180,1152,0.67368,0.6462,6.7,8477451
202,Mason Marchment,CBJ,L,279,1259,1047,1115,0.67092,0.64448,6.7,8478975
203,Tommy Novak,PIT,C,258,1001,525,851,0.67332,0.64365,6.7,8478438
204,Tom Wilson,WSH,R,260,1151,1031,1075,0.6728,0.64516,6.7,8476880
205,Logan Cooley,UTA,C,210,859,710,730,0.67575,0.64372,6.7,8483431
206,Dmitri Voronkov,CBJ,L,211,1024,691,875,0.67185,0.64249,6.7,8481716
207,Jeff Malott,LAK,L,70,133,158,205,0.72727,0.646,6.7,8482408
208,Nino Niederreiter,WPG,R,297,917,1203,1338,0.67069,0.63962,6.6,8475799
209,Cody Glass,NJD,C,248,852,868,906,0.67367,0.64146,6.6,8479996
210,Kaapo Kakko,SEA,R,286,1112,922,1175,0.66535,0.63709,6.6,8481554
211,Ross Colton,COL,C,294,939,1109,1137,0.66821,0.63746,6.6,8479525
212,Mika Zibanejad,NYR,C,326,1450,1424,1579,0.66159,0.63684,6.6,8476459
213,Jimmy Vesey,COL,L,204,513,795,775,0.67874,0.63713,6.6,8476918
214,Mark Stone,VGK,R,226,1226,883,915,0.66528,0.63839,6.6,8475913
215,Jake Evans,MTL,C,286,661,1327,1135,0.67742,0.64085,6.6,8478133
216,Brendan Gallagher,MTL,R,273,773,912,1077,0.67198,0.6381,6.6,8475848
217,Yanni Gourde,TBL,C,300,1064,1219,1383,0.67036,0.64154,6.6,8476826
218,Nick Ritchie,CGY,L,74,241,257,250,0.7021,0.64155,6.6,8477941
