rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
109,Nate Schmidt,UTA,D,81,201,177,242,0.23928,0.18239,5.5,8477220
110,Brandon Montour,SEA,D,63,191,176,162,0.23837,0.18143,5.5,8477986
111,Arber Xhekaj,MTL,D,65,93,66,108,0.27246,0.17981,5.4,8482964
112,Shayne Gostisbehere,CAR,D,55,188,86,145,0.26147,0.18023,5.4,8476906
113,Dylan DeMelo,WPG,D,81,250,185,250,0.23613,0.18069,5.4,8476331
114,Tom Willander,VAN,D,69,135,146,151,0.24211,0.17981,5.4,8484240
115,Kaedan Korczak,VGK,D,78,158,118,184,0.24744,0.17837,5.3,8481527
116,Pavel Mintyukov,ANA,D,72,178,160,167,0.23812,0.17875,5.3,8483490
117,Jordan Spence,OTT,D,73,229,104,195,0.25333,0.17956,5.3,8481606
118,Johnathan Kovacevic,NJD,D,34,60,86,88,0.25924,0.17833,5.3,8480192
119,Oliver Ekman-Larsson,TOR,D,78,245,191,197,0.23236,0.1781,5.2,8475171
120,Jonas Siegenthaler,NJD,D,82,183,210,240,0.22977,0.17803,5.2,8478399
121,Ryan Graves,PIT,D,22,28,50,62,0.28276,0.17697,5.2,8477435
122,Vladislav Gavrikov,NYR,D,82,251,204,239,0.22756,0.17537,5.1,8478882
123,Nick Jensen,OTT,D,61,113,104,147,0.24991,0.17662,5.1,8475324
124,Nick Blankenburg,COL,D,60,104,103,108,0.24982,0.17624,5.1,8483565
125,Brandon Carlo,TOR,D,55,108,125,149,0.24169,0.17507,5.0,8478443
126,Rasmus Andersson,VGK,D,81,257,236,241,0.22361,0.17512,5.0,8478397
127,Adam Larsson,SEA,D,81,227,256,256,0.22075,0.17428,5.0,8476457
128,J.J. Moser,TBL,D,79,234,194,199,0.2283,0.17485,5.0,8482655
129,Emil Andrae,PHI,D,61,135,106,117,0.24624,0.17406,5.0,8482126
130,Ty Emberson,EDM,D,71,114,131,137,0.2376,0.17285,4.9,8480834
131,Nick Leddy,SJS,D,32,94,69,71,0.26214,0.17291,4.9,8475181
132,Dylan Samberg,WPG,D,65,128,169,167,0.22776,0.17099,4.8,8480049
133,Andrew Peeke,BOS,D,77,141,188,177,0.22358,0.1699,4.7,8479369
134,Darren Raddysh,TBL,D,73,209,172,173,0.22566,0.16958,4.7,8478178
