rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
24,K'Andre Miller,CAR,D,72,244,167,210,0.07903,-0.0555,7.6,8480817
25,Jalen Chatfield,CAR,D,72,216,169,202,0.08087,-0.05671,7.6,8478970
26,Brock Faber,MIN,D,80,275,298,296,0.06042,-0.05331,7.6,8482122
27,Niko Mikkola,FLA,D,68,180,185,226,0.06592,-0.0641,7.5,8478859
28,Drew Doughty,LAK,D,71,205,181,222,0.06712,-0.06403,7.5,8474563
29,Nikolas Matinpalo,OTT,D,50,68,78,126,0.11417,-0.06007,7.5,8484321
30,Ian Moore,ANA,D,66,127,137,106,0.12329,-0.06662,7.5,8482178
31,Shea Theodore,VGK,D,71,215,174,192,0.06765,-0.07324,7.4,8477447
32,Kaedan Korczak,VGK,D,78,158,118,184,0.07594,-0.06809,7.4,8481527
33,Marcus Pettersson,VAN,D,81,167,256,228,0.05502,-0.07428,7.4,8477969
34,Jackson LaCombe,ANA,D,81,261,249,244,0.05421,-0.07093,7.4,8481605
35,Tyler Kleven,OTT,D,70,138,101,194,0.06577,-0.07455,7.4,8482095
36,Erik Karlsson,PIT,D,75,253,196,217,0.05308,-0.07952,7.3,8474578
37,Rasmus Sandin,WSH,D,73,188,175,172,0.0718,-0.07698,7.3,8480873
38,Ryan McDonagh,TBL,D,48,108,124,112,0.10411,-0.08043,7.3,8474151
39,Rasmus Dahlin,BUF,D,77,258,202,265,0.03079,-0.08909,7.2,8480839
40,Bowen Byram,BUF,D,82,219,256,234,0.0366,-0.09096,7.2,8481524
41,Jacob Trouba,ANA,D,80,249,243,251,0.03028,-0.0928,7.2,8476885
42,Dougie Hamilton,NJD,D,77,214,168,226,0.03585,-0.09379,7.1,8476462
43,Brenden Dillon,NJD,D,82,186,173,165,0.0517,-0.09982,7.1,8475455
44,Sean Walker,CAR,D,81,256,191,233,0.03194,-0.09566,7.1,8480336
45,Pavel Mintyukov,ANA,D,72,178,160,167,0.05119,-0.09964,7.1,8483490
46,Andrew Peeke,BOS,D,77,141,188,177,0.04148,-0.10502,7.0,8479369
47,Hampus Lindholm,BOS,D,67,143,155,170,0.04674,-0.10272,7.0,8476854
48,Darren Raddysh,TBL,D,73,209,172,173,0.04399,-0.10419,7.0,8478178
49,Nick DeSimone,UTA,D,39,77,59,72,0.125,-0.10454,7.0,8480084
50,Sam Rinzel,CHI,D,54,153,101,131,0.05094,-0.11903,6.9,8483506
51,Alexandre Carrier,MTL,D,73,129,152,197,0.02687,-0.11188,6.9,8478851
52,Nick Jensen,OTT,D,61,113,104,147,0.04125,-0.11925,6.9,8475324
53,Travis Sanheim,PHI,D,81,182,217,264,0.00543,-0.11437,6.9,8477948
54,Denton Mateychuk,CBJ,D,75,180,162,168,0.03158,-0.11856,6.9,8483485
55,Nick Blankenburg,COL,D,60,104,103,108,0.06827,-0.11898,6.9,8483565
56,Connor Murphy,EDM,D,79,112,192,194,0.01832,-0.12136,6.8,8476473
57,Sam Malinski,COL,D,81,191,170,185,0.01672,-0.12618,6.8,8484258
58,Alex Vlasic,CHI,D,81,161,259,239,0.00364,-0.12204,6.8,8481568
59,Mattias Samuelsson,BUF,D,78,229,232,261,0.00038,-0.12003,6.8,8480807
60,Moritz Seider,DET,D,82,201,262,247,0.00387,-0.11988,6.8,8481542
61,Shayne Gostisbehere,CAR,D,55,188,86,145,0.03796,-0.12307,6.8,8476906
62,Dylan DeMelo,WPG,D,81,250,185,250,-0.00376,-0.12672,6.8,8476331
63,Uvis Balinskis,FLA,D,54,138,102,153,0.03254,-0.1246,6.8,8484304
64,Declan Chisholm,WSH,D,26,31,40,51,0.1434,-0.12731,6.8,8480990
65,Mikey Anderson,LAK,D,79,172,228,228,-0.00626,-0.13483,6.7,8479998
66,MacKenzie Weegar,UTA,D,78,270,226,270,-0.01554,-0.13368,6.7,8477346
67,Ben Chiarot,DET,D,82,214,234,227,-0.00165,-0.13062,6.7,8475279
68,Spencer Stastney,EDM,D,66,114,127,134,0.03275,-0.135,6.7,8481056
69,Timothy Liljegren,WSH,D,48,107,141,127,0.04214,-0.13004,6.7,8480043
70,Yan Kuznetsov,CGY,D,57,164,142,188,0.01075,-0.13084,6.7,8482165
71,Braden Schneider,NYR,D,82,137,188,179,-0.00053,-0.14543,6.6,8482073
72,Brandt Clarke,LAK,D,81,258,160,189,0.0028,-0.13837,6.6,8482730
73,Louis Crevier,CHI,D,78,117,225,220,-0.01373,-0.1444,6.6,8481806
74,Jake Middleton,MIN,D,75,167,184,175,0.00727,-0.13944,6.6,8478136
75,Nils Lundkvist,DAL,D,52,94,125,147,0.01803,-0.14197,6.6,8480878
76,Dmitri Simashev,UTA,D,27,69,58,70,0.0937,-0.13819,6.6,8484386
77,Jordan Spence,OTT,D,73,229,104,195,-0.00554,-0.14442,6.6,8481606
78,Vincent Iorio,NYR,D,27,47,43,57,0.11155,-0.1453,6.6,8482861
79,Zach Whitecloud,CGY,D,78,169,188,209,-0.0173,-0.15117,6.5,8480727
