player_name,team,pos,GP,toi_per_game,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,OZE,DZE,NZE,DNZE,OZE_score,DZE_score,NZE_score,DNZE_score,CF_pct
Moritz Seider,DET,D,82,19.272,133,248,338,0.601,0.1691,0.1969,-0.1291,5.2,5.5,6.5,6.1,0.505
Nate Schmidt,UTA,D,81,16.627,196,180,333,0.6977,0.1403,0.2184,-0.0939,9.2,3.7,7.6,7.0,0.5032
Neal Pionk,WPG,D,51,17.586,110,108,184,0.6348,0.1167,0.166,-0.1779,6.6,2.3,5.0,5.0,0.503
Nick Blankenburg,COL,D,60,13.395,71,71,143,0.5861,0.1584,0.1801,-0.1683,4.6,4.8,5.7,5.2,0.483
Nick DeSimone,UTA,D,39,13.797,56,62,119,0.6152,0.1208,0.2101,-0.1615,5.8,2.5,7.2,5.4,0.5163
Nick Jensen,OTT,D,61,15.693,98,100,193,0.6484,0.1537,0.191,-0.1108,7.2,4.6,6.2,6.6,0.484
Nick Leddy,SJS,D,32,16.189,79,51,91,0.5675,0.1484,0.183,-0.221,3.8,4.2,5.9,3.9,0.4834
Nick Perbix,NSH,D,78,15.563,142,148,246,0.6244,0.145,0.1397,-0.223,6.2,4.0,3.8,3.9,0.4944
Nick Seeler,PHI,D,80,15.223,118,139,212,0.5523,0.1121,0.174,-0.1682,3.2,2.0,5.4,5.2,0.5396
Nicolas Hague,NSH,D,62,16.588,102,106,205,0.6375,0.1518,0.1654,-0.2114,6.7,4.4,5.0,4.1,0.4874
Nikita Zadorov,BOS,D,81,17.223,135,209,294,0.5349,0.1548,0.1933,-0.1649,2.4,4.6,6.4,5.3,0.5087
Niko Mikkola,FLA,D,68,17.175,146,159,290,0.6589,0.1453,0.234,-0.0368,7.6,4.0,8.3,8.4,0.4942
Nikolas Matinpalo,OTT,D,50,13.98,64,74,179,0.5767,0.089,0.1541,-0.1908,4.2,0.5,4.5,4.6,0.4804
Nils Lundkvist,DAL,D,52,15.839,83,114,219,0.5469,0.118,0.1935,-0.1479,2.9,2.3,6.4,5.7,0.4949
Noah Dobson,MTL,D,80,17.51,187,182,328,0.6087,0.1567,0.1815,-0.149,5.5,4.7,5.8,5.7,0.5104
Noah Hanifin,VGK,D,71,18.97,251,152,297,0.6548,0.1664,0.2202,-0.0702,7.5,5.3,7.7,7.6,0.5143
Noah Juulsen,PHI,D,52,12.216,93,59,117,0.5694,0.0842,0.1197,-0.2883,3.9,0.3,2.8,2.3,0.4959
Olen Zellweger,ANA,D,76,14.617,121,107,216,0.6175,0.166,0.218,-0.0948,5.9,5.3,7.5,7.0,0.4944
Oliver Bonk,PHI,D,1,12.733,4,0,0,,,,,,,,,0.421
