player_name,team,pos,PFR,PUR,PAR,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,player_OZ_retention_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio,ROC,ROL,ROC_adj,ROL_adj,context_flag,CF_pct,player_id,seasons_covered,player_DZ_time_pct,PUR_raw,PAR_raw,teammates_avg_OZ_retention,teammates_avg_DZ_escape,ROC_weight_sec,ROL_weight_sec
Darnell Nurse,EDM,D,1.0746,0.8925,0.8306,378,6900.28,18.255,836,2.212,829,2.193,69.76,30.39,0.9913,1.1462,0.9666,1.0426,0.9411,0.7712,0.7584,0.7475,0.7174,🟢 Elite — system supported,0.5065,8477498,"2022-23, 2023-24, 2024-25, 2025-26",69.61,2.5227,2.3713,0.7217,0.2915,819377,398687
Josh Manson,COL,D,1.0757,0.762,0.7084,253,3930.02,15.534,403,1.593,625,2.47,72.55,29.52,1.0309,1.1137,0.9943,1.0197,1.0357,0.7605,0.8114,0.7378,0.7479,🟡 Solid — system supported,0.512,8476312,"2022-23, 2023-24, 2024-25, 2025-26",70.48,2.1538,2.0226,0.7297,0.2896,461415,238967
Brock Faber,MIN,D,1.0761,0.9724,0.9036,254,4880.42,19.214,569,2.24,645,2.539,70.2,32.21,0.9974,1.2151,0.9854,1.0914,0.9441,0.7749,0.8458,0.7502,0.8032,🟢 Elite — system supported,0.4984,8482122,"2022-23, 2023-24, 2024-25, 2025-26",67.79,2.7484,2.5799,0.7124,0.2951,579439,294029
Sean Walker,CAR,D,1.0778,0.7721,0.7163,339,5312.83,15.672,786,2.319,608,1.794,74.06,29.2,1.0523,1.1013,1.0124,1.0061,0.9451,0.7642,0.7461,0.7406,0.7029,🟡 Solid — system supported,0.5334,8480336,"2022-23, 2023-24, 2024-25, 2025-26",70.8,2.1821,2.0452,0.7316,0.2902,628383,315445
Calvin de Haan,NYR,D,1.0841,0.6831,0.6301,160,2191.4,13.696,215,1.344,265,1.656,75.38,29.4,1.0711,1.1092,1.0348,0.9967,1.0178,0.7507,0.7817,0.7279,0.7198,🔴 Underperforming — no excuse,0.5308,8475177,"2022-23, 2023-24, 2024-25",70.6,1.9306,1.7989,0.7285,0.295,257020,119258
Sam Malinski,COL,D,1.0848,0.7594,0.7,185,2827.28,15.283,318,1.719,368,1.989,70.76,30.93,1.0054,1.1668,0.9704,1.0524,0.9443,0.7543,0.8163,0.7328,0.7525,🟡 Solid — system supported,0.5201,8484258,"2023-24, 2024-25, 2025-26",69.07,2.1462,1.9986,0.7292,0.2939,330941,158521
Dmitry Orlov,SJS,D,1.0862,0.9038,0.8321,338,5786.23,17.119,690,2.041,702,2.077,70.92,34.47,1.0076,1.3004,0.9746,1.1718,0.9502,0.766,0.7937,0.7418,0.7372,🟢 Elite — system supported,0.514,8475200,"2022-23, 2023-24, 2024-25, 2025-26",65.53,2.5545,2.3756,0.7276,0.2942,681613,345530
Brett Pesce,NJD,D,1.0973,0.8666,0.7897,283,5020.45,17.74,778,2.749,665,2.35,73.89,28.78,1.0499,1.0855,0.9987,0.9672,0.9866,0.7692,0.8496,0.7449,0.7901,🟢 Elite — system supported,0.517,8477488,"2022-23, 2023-24, 2024-25, 2025-26",71.22,2.4492,2.2548,0.7398,0.2975,591191,305723
Brady Skjei,NSH,D,1.0974,0.8606,0.7842,350,6091.82,17.405,813,2.323,776,2.217,73.16,29.74,1.0396,1.1219,0.9959,0.9937,1.0114,0.769,0.8243,0.7457,0.7661,🟢 Elite — system supported,0.5071,8476869,"2022-23, 2023-24, 2024-25, 2025-26",70.26,2.4323,2.2389,0.7346,0.2993,718343,366862
Mattias Ekholm,EDM,D,1.1132,0.9227,0.8289,347,6022.78,17.357,854,2.461,678,1.954,74.3,33.62,1.0557,1.2683,1.0163,1.0926,0.9818,0.7788,0.901,0.754,0.8188,🟢 Elite — system supported,0.5275,8475218,"2022-23, 2023-24, 2024-25, 2025-26",66.38,2.6079,2.3665,0.731,0.3077,717759,362406
Evan Bouchard,EDM,D,1.1172,0.9563,0.856,385,6772.68,17.591,1005,2.61,708,1.839,73.91,35.16,1.0502,1.3263,1.0084,1.1405,0.9421,0.7808,0.8752,0.7558,0.7986,🟢 Elite — system supported,0.5293,8480803,"2022-23, 2023-24, 2024-25, 2025-26",64.84,2.7029,2.444,0.7329,0.3083,805428,397923
Devon Toews,COL,D,1.1183,0.9997,0.8939,329,6093.8,18.522,1204,3.66,743,2.258,74.38,34.53,1.0568,1.3026,1.0067,1.1245,1.007,0.7729,0.8865,0.7494,0.8008,🟢 Elite — system supported,0.5102,8478038,"2022-23, 2023-24, 2024-25, 2025-26",65.47,2.8255,2.5522,0.7388,0.3071,719800,370645
Cale Makar,COL,D,1.125,0.9666,0.8593,315,5582.77,17.723,1300,4.127,625,1.984,74.43,35.17,1.0576,1.3268,1.0061,1.1349,0.9772,0.7749,0.9296,0.7518,0.8409,🟢 Elite — system supported,0.506,8480069,"2022-23, 2023-24, 2024-25, 2025-26",64.83,2.7321,2.4533,0.7398,0.3099,659704,337468
Joel Nystrom,CAR,D,1.1281,0.6477,0.5741,38,522.15,13.741,117,3.079,51,1.342,72.86,27.18,1.0353,1.0253,0.9794,0.8657,1.0596,0.7592,0.7765,0.7358,0.7111,🔴 Underperforming — no excuse,0.5479,8482911,2025-26,72.82,1.8306,1.6392,0.7439,0.314,62012,30319
Alexander Nikishin,CAR,D,1.1282,0.7589,0.6726,85,1278.42,15.04,247,2.906,112,1.318,72.48,31.17,1.0298,1.1759,0.9717,1.0032,0.985,0.7582,0.7481,0.7366,0.6918,🟡 Solid — system supported,0.5337,8482100,"2024-25, 2025-26",68.83,2.1448,1.9204,0.7459,0.3107,150101,76123
Brent Burns,COL,D,1.1328,0.8425,0.7438,368,5969.63,16.222,922,2.505,738,2.005,74.57,32.1,1.0596,1.211,1.0,1.0249,1.0017,0.7652,0.8943,0.743,0.7935,🟢 Elite — system supported,0.5211,8470613,"2022-23, 2023-24, 2024-25, 2025-26",67.9,2.3813,2.1236,0.7458,0.3132,701053,358566
Jalen Chatfield,CAR,D,1.1358,0.8298,0.7306,336,5193.5,15.457,775,2.307,564,1.679,74.69,34.08,1.0613,1.2857,1.0049,1.0824,0.9717,0.7612,0.8458,0.7395,0.7749,🟡 Solid — system supported,0.5331,8478970,"2022-23, 2023-24, 2024-25, 2025-26",65.92,2.3453,2.0859,0.7432,0.3149,611461,306788
Jaccob Slavin,CAR,D,1.1423,0.9338,0.8175,317,5611.02,17.7,852,2.688,606,1.912,74.56,33.06,1.0595,1.247,0.9941,1.0455,0.9615,0.7665,0.8377,0.7444,0.7439,🟢 Elite — system supported,0.5262,8476958,"2022-23, 2023-24, 2024-25, 2025-26",66.94,2.6394,2.3341,0.75,0.3162,660959,338408
