player_name,team,pos,PFR,PUR,PAR,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,player_OZ_retention_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio,ROC,ROL,ROC_adj,ROL_adj,context_flag,CF_pct,player_id,seasons_covered,player_DZ_time_pct,PUR_raw,PAR_raw,teammates_avg_OZ_retention,teammates_avg_DZ_escape,ROC_weight_sec,ROL_weight_sec
Tyler Bertuzzi,CHI,L,0.816,0.6831,0.8371,79,1135.77,14.377,171,2.165,156,1.975,68.71,26.9,0.9577,0.9805,0.9955,1.1529,0.8998,0.6446,0.5938,0.7083,0.716,🟢 Elite — self made,0.4895,8477479,"2022-23, 2023-24, 2024-25, 2025-26",73.1,2.2398,2.4827,0.6902,0.2333,185768,127954
Ryan Donato,CHI,C,0.8161,0.5992,0.7343,82,1047.87,12.779,115,1.402,154,1.878,69.22,26.01,0.9648,0.9481,0.996,1.1241,0.9433,0.6333,0.5722,0.6984,0.6852,🟢 Elite — self made,0.4861,8477987,"2022-23, 2023-24, 2024-25, 2025-26",73.99,1.9648,2.1777,0.6949,0.2313,166629,121381
Justin Hryckowian,DAL,C,0.8166,0.5135,0.6289,81,890.27,10.991,88,1.086,114,1.407,68.57,26.07,0.9557,0.9504,1.0208,1.0905,1.0427,0.6307,0.546,0.6929,0.6562,🔴 Underperforming — tough situation,0.5103,8484829,"2024-25, 2025-26",73.93,1.6839,1.8652,0.6717,0.239,140200,92610
Nick Lardis,CHI,L,0.8182,0.4909,0.6,41,436.78,10.653,78,1.902,50,1.22,70.68,24.54,0.9851,0.8946,1.0133,1.0648,1.0732,0.615,0.5808,0.6773,0.7014,🔴 Underperforming — tough situation,0.4717,8484185,2025-26,75.46,1.6096,1.7795,0.6975,0.2305,69093,49040
Colin Blackwell,DAL,C,0.8191,0.4332,0.5289,70,677.05,9.672,62,0.886,105,1.5,65.66,25.02,0.9152,0.912,0.9842,1.0336,1.0441,0.6196,0.5407,0.68,0.6523,🔴 Underperforming — tough situation,0.4801,8476278,"2022-23, 2023-24, 2024-25, 2025-26",74.98,1.4205,1.5687,0.6672,0.242,102996,49373
Sam Steel,DAL,C,0.8195,0.6638,0.81,73,942.12,12.906,154,2.11,116,1.589,72.53,29.83,1.0109,1.0873,1.0825,1.2334,0.9311,0.635,0.5733,0.6984,0.6885,🟢 Elite — self made,0.5015,8479351,"2022-23, 2023-24, 2024-25, 2025-26",70.17,2.1766,2.4024,0.67,0.2418,153400,104536
Connor Bedard,CHI,C,0.8213,0.8096,0.9857,69,1102.42,15.977,201,2.913,102,1.478,72.83,28.85,1.0151,1.0519,1.059,1.2173,0.9266,0.6414,0.5866,0.7025,0.7049,🟢 Elite — self made,0.4574,8484144,"2023-24, 2024-25, 2025-26",71.15,2.6545,2.9233,0.6877,0.237,180420,128178
Frank Nazar,CHI,C,0.8221,0.5669,0.6896,66,869.78,13.179,153,2.318,143,2.167,66.46,22.73,0.9264,0.8286,0.9594,0.9715,0.9274,0.634,0.591,0.6963,0.7165,🟡 Solid — self made,0.4586,8483493,"2023-24, 2024-25, 2025-26",77.27,1.859,2.0453,0.6928,0.234,139098,102908
Evander Kane,VAN,L,0.825,0.7558,0.9161,71,1006.98,14.183,193,2.718,138,1.944,73.01,31.71,1.0176,1.1561,1.0422,1.3412,0.9952,0.6308,0.574,0.698,0.6758,🟢 Elite — self made,0.5014,8475169,"2022-23, 2023-24, 2024-25, 2025-26",68.29,2.4781,2.717,0.7005,0.2365,161959,100060
Oskar Back,DAL,C,0.8255,0.3994,0.4838,72,711.85,9.887,59,0.819,92,1.278,67.56,19.37,0.9417,0.7063,1.0133,0.7924,1.0709,0.6148,0.5483,0.6789,0.6651,🔴 Underperforming — tough situation,0.4857,8480840,"2024-25, 2025-26",80.63,1.3096,1.4349,0.6668,0.2445,106866,50896
Mavrik Bourque,DAL,C,0.8273,0.6287,0.7599,82,1124.48,13.713,111,1.354,108,1.317,71.94,23.8,1.0027,0.8675,1.0742,0.9705,1.0271,0.6359,0.5831,0.6994,0.7013,🟢 Elite — self made,0.4865,8482145,"2023-24, 2024-25, 2025-26",76.2,2.0614,2.2537,0.6697,0.2452,180762,128279
Teuvo Teravainen,CHI,L,0.8295,0.5018,0.6049,75,914.5,12.193,142,1.893,129,1.72,71.8,18.6,1.0007,0.678,1.0426,0.7879,1.0539,0.6293,0.5919,0.6948,0.7164,🔴 Underperforming — tough situation,0.5179,8476882,"2022-23, 2023-24, 2024-25, 2025-26",81.4,1.6453,1.794,0.6886,0.236,145580,104748
Landon Slaggert,CHI,L,0.8299,0.428,0.5157,53,500.15,9.437,59,1.113,70,1.321,75.87,21.75,1.0576,0.7928,1.0793,0.9373,0.9564,0.6187,0.5424,0.6789,0.6465,🔴 Underperforming — tough situation,0.4416,8482172,"2023-24, 2024-25, 2025-26",78.25,1.4035,1.5296,0.703,0.232,77136,50262
