player_name,team,pos,PFR,PUR,PAR,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,player_OZ_retention_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio,ROC,ROL,ROC_adj,ROL_adj,context_flag,CF_pct,player_id,seasons_covered,player_DZ_time_pct,PUR_raw,PAR_raw,teammates_avg_OZ_retention,teammates_avg_DZ_escape,ROC_weight_sec,ROL_weight_sec
Noah Juulsen,PHI,D,0.9221,0.445,0.4826,52,635.25,12.216,93,1.788,59,1.135,67.0,25.25,0.9573,0.9081,0.9567,0.9938,1.0113,0.6528,0.5546,0.6637,0.5987,🔴 Underperforming — tough situation,0.4959,8478454,"2022-23, 2023-24, 2024-25, 2025-26",74.75,1.3942,1.4578,0.7003,0.2541,66802,30229
Morgan Rielly,TOR,D,0.9243,0.6525,0.706,78,1326.67,17.009,301,3.859,143,1.833,71.56,26.2,1.0224,0.9422,1.0363,1.0131,1.0041,0.6601,0.5767,0.6787,0.6185,🟢 Elite — self made,0.5031,8476853,"2022-23, 2023-24, 2024-25, 2025-26",73.8,2.0443,2.1325,0.6905,0.2586,144604,77672
Emil Andrae,PHI,D,0.9244,0.5455,0.5901,61,880.02,14.427,112,1.836,74,1.213,69.13,26.38,0.9878,0.9486,0.9863,1.0333,1.1189,0.6517,0.5937,0.6676,0.6418,🔴 Underperforming — tough situation,0.5019,8482126,"2023-24, 2024-25, 2025-26",73.62,1.709,1.7825,0.7009,0.2553,92496,53479
Jamie Drysdale,PHI,D,0.9245,0.6847,0.7406,78,1398.52,17.93,144,1.846,144,1.846,69.85,26.62,0.9981,0.9573,0.9943,1.045,1.0624,0.6643,0.5931,0.6793,0.6401,🟢 Elite — self made,0.5004,8482142,"2022-23, 2023-24, 2024-25, 2025-26",73.38,2.1449,2.2368,0.7026,0.2548,153155,81090
Colton Parayko,STL,D,0.9257,0.6845,0.7395,76,1423.23,18.727,169,2.224,231,3.039,73.76,22.74,1.0539,0.8178,1.0083,0.9413,1.0315,0.6528,0.6533,0.6739,0.7051,🟢 Elite — self made,0.4928,8476892,"2022-23, 2023-24, 2024-25, 2025-26",77.26,2.1444,2.2335,0.7315,0.2416,155873,71637
Philip Broberg,STL,D,0.9259,0.671,0.7247,80,1473.38,18.417,177,2.212,230,2.875,71.2,23.59,1.0173,0.8485,0.9672,0.9755,0.978,0.6541,0.651,0.6766,0.7038,🟢 Elite — self made,0.497,8481598,"2022-23, 2023-24, 2024-25, 2025-26",76.41,2.1021,2.1889,0.7361,0.2419,162040,86118
Simon Benoit,TOR,D,0.9267,0.522,0.5633,73,1103.2,15.112,63,0.863,224,3.068,69.05,21.75,0.9866,0.7822,0.9891,0.8513,0.9814,0.6547,0.5988,0.673,0.6431,🔴 Underperforming — tough situation,0.4852,8481122,"2022-23, 2023-24, 2024-25, 2025-26",78.25,1.6354,1.7015,0.6982,0.2555,116882,63201
Mario Ferraro,SJS,D,0.9267,0.6379,0.6884,81,1382.08,17.063,115,1.42,188,2.321,67.57,26.39,0.9654,0.949,1.0044,0.9874,0.9292,0.6549,0.5998,0.6721,0.6396,🟡 Solid — self made,0.4797,8479983,"2022-23, 2023-24, 2024-25, 2025-26",73.61,1.9984,2.0792,0.6727,0.2673,150185,77619
Cam York,PHI,D,0.9277,0.6596,0.711,74,1265.38,17.1,151,2.041,177,2.392,70.06,27.09,1.001,0.9742,0.9968,1.056,1.1153,0.6654,0.6857,0.6836,0.7426,🟢 Elite — self made,0.5228,8481546,"2022-23, 2023-24, 2024-25, 2025-26",72.91,2.0664,2.1475,0.7028,0.2566,140016,76535
Nick Seeler,PHI,D,0.9288,0.5199,0.5598,80,1217.82,15.223,118,1.475,139,1.738,64.21,23.13,0.9174,0.8316,0.9116,0.904,0.9996,0.6564,0.6123,0.6709,0.6623,🔴 Underperforming — tough situation,0.5396,8476372,"2022-23, 2023-24, 2024-25, 2025-26",76.87,1.6288,1.6908,0.7043,0.2558,129482,69884
