player_id,player_name,pos,team,seasons_covered,scenario,games_played,total_5v5_toi_minutes,toi_per_game,oz_faceoff_shifts,oz_faceoff_shifts_per_game,dz_faceoff_shifts,dz_faceoff_shifts_per_game,nz_faceoff_shifts,player_OZ_retention_pct,player_DZ_time_pct,player_DZ_escape_rate_pct,OUER,DUER,OAER,DAER,NZ_ratio
8484203,Bradly Nadeau,L,CAR,"2023-24, 2024-25, 2025-26",pooled,15,171.12,11.408,31,2.067,18,1.2,33,,,,,,,,
8477464,Nic Petan,C,MIN,"2022-23, 2023-24",pooled,16,170.42,10.651,28,1.75,28,1.75,26,,,,,,,,
8484325,Waltteri Merela,C,TBL,2023-24,pooled,19,169.9,8.942,25,1.316,26,1.368,44,,,,,,,,
8480842,Filip Hallander,C,PIT,"2022-23, 2025-26",pooled,15,168.07,11.204,25,1.667,21,1.4,44,,,,,,,,
8474818,Jordie Benn,D,TOR,2022-23,pooled,12,167.15,13.929,18,1.5,24,2.0,35,,,,,,,,
8478870,Rudolfs Balcers,L,TBL,2022-23,pooled,17,164.62,9.683,40,2.353,21,1.235,36,,,,,,,,
8484314,Jiri Smejkal,L,OTT,2023-24,pooled,20,164.0,8.2,25,1.25,18,0.9,24,,,,,,,,
8481575,Lassi Thomson,D,OTT,"2022-23, 2025-26",pooled,13,162.63,12.51,30,2.308,16,1.231,35,,,,,,,,
8485391,Anton Frondell,C,CHI,2025-26,pooled,12,161.22,13.435,19,1.583,19,1.583,35,,,,,,,,
8476850,Ryan Murray,D,EDM,2022-23,pooled,13,159.82,12.294,25,1.923,21,1.615,32,,,,,,,,
8484794,Michael Brandsegg-Nygård,R,DET,2025-26,pooled,14,158.67,11.333,23,1.643,28,2.0,45,,,,,,,,
8481461,Corey Schueneman,D,STL,"2022-23, 2024-25",pooled,11,156.65,14.241,25,2.273,16,1.455,32,,,,,,,,
8484929,Juha Jaaska,L,CAR,2024-25,pooled,18,156.58,8.699,36,2.0,16,0.889,36,,,,,,,,
8484135,Parker Ford,C,WPG,"2024-25, 2025-26",pooled,18,156.5,8.694,13,0.722,15,0.833,28,,,,,,,,
8484428,Charles Alexis Legault,D,CAR,2025-26,pooled,12,155.47,12.956,22,1.833,16,1.333,44,,,,,,,,
8483465,Joakim Kemell,R,NSH,"2024-25, 2025-26",pooled,17,155.4,9.141,19,1.118,23,1.353,38,,,,,,,,
8482072,Jack Ahcan,D,COL,"2024-25, 2025-26",pooled,13,155.32,11.947,8,0.615,23,1.769,38,,,,,,,,
8483531,Brian Halonen,L,NJD,"2023-24, 2024-25, 2025-26",pooled,19,153.47,8.077,24,1.263,14,0.737,34,,,,,,,,
8477341,Andreas Johnsson,L,SJS,2022-23,pooled,13,153.42,11.801,27,2.077,26,2.0,37,,,,,,,,
8481701,Santeri Hatakka,D,NJD,2023-24,pooled,12,152.33,12.694,25,2.083,23,1.917,41,,,,,,,,
8481712,Matěj  Blümel,R,BOS,"2022-23, 2024-25, 2025-26",pooled,17,152.23,8.955,26,1.529,29,1.706,28,,,,,,,,
8478011,Louie Belpedio,D,PHI,2023-24,pooled,12,149.07,12.422,21,1.75,18,1.5,35,,,,,,,,
8471887,Patric Hornqvist,R,FLA,2022-23,pooled,22,148.27,6.739,28,1.273,18,0.818,43,,,,,,,,
8482763,Fabian Lysell,R,BOS,2024-25,pooled,12,146.73,12.228,27,2.25,14,1.167,25,,,,,,,,
8481534,Raphael Lavoie,C,VGK,"2023-24, 2024-25, 2025-26",pooled,17,144.28,8.487,36,2.118,17,1.0,29,,,,,,,,
8481591,Sam Poulin,R,PIT,"2022-23, 2023-24, 2024-25, 2025-26",pooled,15,143.88,9.592,15,1.0,16,1.067,32,,,,,,,,
8482834,Jesper Froden,R,SEA,2022-23,pooled,15,141.35,9.423,31,2.067,18,1.2,26,,,,,,,,
8482206,Ethan Cardwell,R,SJS,"2024-25, 2025-26",pooled,13,140.97,10.844,17,1.308,21,1.615,22,,,,,,,,
8480056,Jack Rathbone,D,VAN,2022-23,pooled,11,140.08,12.735,20,1.818,10,0.909,24,,,,,,,,
