player_id,games_played,toi_5v5_sec,cf_5v5,ca_5v5,cfpct_5v5
8483457,138,151913,2532,2392,0.51422
8483460,72,57822,890,977,0.4767
8483461,1,732,14,18,0.4375
8483463,5,2957,43,35,0.55128
8483464,125,93473,1544,1479,0.51075
8483465,17,9324,141,171,0.45192
8483466,99,99030,1500,1718,0.46613
8483467,3,2477,29,35,0.45312
8483468,65,48728,850,844,0.50177
8483471,29,16457,249,256,0.49307
8483472,20,18102,273,264,0.50838
8483476,33,20325,282,341,0.45265
8483481,8,5248,97,81,0.54494
8483482,13,12457,173,220,0.4402
8483485,89,85372,1324,1359,0.49348
8483487,28,20016,332,289,0.53462
8483489,69,50999,797,768,0.50927
8483490,171,154063,2552,2647,0.49086
8483491,53,31586,522,513,0.50435
8483493,96,75445,1081,1276,0.45863
8483495,127,124659,2010,2086,0.49072
8483497,31,19131,315,305,0.50806
8483499,74,51071,730,846,0.4632
8483500,38,27371,419,398,0.51285
8483503,27,21258,310,330,0.48438
8483505,68,47851,746,809,0.47974
8483506,42,41607,608,711,0.46096
8483510,23,22137,356,346,0.50712
8483512,55,40698,660,622,0.51482
8483513,38,21068,293,367,0.44394
8483515,254,206946,3522,3424,0.50705
8483516,50,41645,616,714,0.46316
8483524,134,91314,1542,1522,0.50326
8483525,42,31253,494,445,0.52609
8483526,2,696,6,11,0.35294
8483531,14,6787,86,95,0.47514
8483538,1,663,10,12,0.45455
8483546,3,1957,30,37,0.44776
8483549,11,5236,68,82,0.45333
8483553,73,42509,624,585,0.51613
8483565,140,125838,2020,2162,0.48302
8483567,10,6796,105,109,0.49065
8483570,109,60051,820,884,0.48122
8483573,59,36542,593,592,0.50042
8483597,24,10908,143,186,0.43465
8483609,84,46676,741,743,0.49933
8483619,21,18402,251,289,0.46481
8483620,33,29116,460,523,0.46796
8483630,30,19442,275,310,0.47009
8483641,2,1060,5,21,0.19231
8483669,11,7238,112,112,0.5
8483675,1,378,12,14,0.46154
8483676,18,7271,117,112,0.51092
8483678,66,53305,780,837,0.48237
8483686,13,9861,140,143,0.4947
8483687,4,4430,59,59,0.5
8483690,47,31845,473,494,0.48914
8483709,3,2048,24,36,0.4
8483712,4,3705,56,58,0.49123
8483728,6,3168,44,49,0.47312
8483731,17,11609,156,181,0.46291
8483733,41,26468,368,408,0.47423
8483752,17,10590,145,169,0.46178
8483756,21,14408,253,227,0.52708
8483760,1,756,8,11,0.42105
8483763,1,1011,21,18,0.53846
8483766,1,701,10,16,0.38462
8483768,44,37889,570,643,0.46991
8483771,9,5546,84,90,0.48276
8483808,248,179683,2785,2813,0.4975
8483841,5,2566,42,49,0.46154
8483890,34,25485,407,368,0.52516
8483920,3,1668,28,19,0.59574
8483930,44,22491,330,329,0.50076
8484125,12,7469,92,130,0.41441
8484135,11,5742,82,90,0.47674
8484136,67,43757,612,620,0.49675
8484142,30,20978,339,272,0.55483
8484144,189,180875,2718,3224,0.45742
8484145,184,135382,2195,2115,0.50928
8484148,1,764,8,11,0.42105
8484149,32,16484,275,257,0.51692
8484150,28,25329,364,393,0.48085
8484152,7,6043,83,98,0.45856
8484153,171,136689,2310,2239,0.5078
8484158,42,33374,510,610,0.45536
8484160,19,10569,174,174,0.5
8484164,45,32092,494,473,0.51086
8484166,178,151691,2397,2560,0.48356
8484168,11,6429,106,95,0.52736
8484169,9,7874,112,127,0.46862
8484177,25,17151,285,252,0.53073
8484180,14,8880,159,124,0.56184
8484185,32,20720,283,317,0.47167
8484186,58,39419,656,657,0.49962
8484188,17,15328,231,240,0.49045
8484197,32,20874,312,315,0.49761
8484203,10,7392,119,110,0.51965
8484210,38,32455,438,523,0.45578
8484220,2,1475,16,21,0.43243
8484221,51,32731,489,538,0.47614
8484223,38,31306,482,531,0.47581
8484227,114,92379,1443,1514,0.48799
8484230,23,16593,236,263,0.47295
8484234,6,3750,41,72,0.36283
8484240,45,41522,576,632,0.47682
8484241,48,30961,470,574,0.45019
8484242,2,931,13,17,0.43333
8484254,10,7947,97,109,0.47087
8484255,10,4189,62,58,0.51667
8484256,5,4516,77,88,0.46667
8484258,150,135812,2358,2176,0.52007
8484259,2,757,13,8,0.61905
8484262,7,4922,64,74,0.46377
8484287,6,4688,61,73,0.45522
8484304,132,104161,1533,1596,0.48993
8484305,28,18466,282,285,0.49735
8484314,20,9840,178,155,0.53453
8484321,86,66324,982,1062,0.48043
8484325,19,10194,131,151,0.46454
8484326,1,560,11,10,0.52381
8484380,3,2447,44,28,0.61111
8484386,11,9437,134,128,0.51145
8484387,129,95705,1628,1454,0.52823
8484388,18,11612,195,178,0.52279
8484392,1,826,10,6,0.625
8484406,5,3105,34,54,0.38636
8484428,6,4839,82,69,0.54305
8484471,52,41849,646,680,0.48718
8484509,21,12713,169,169,0.5
8484529,2,627,11,13,0.45833
8484759,4,2945,50,55,0.47619
8484762,49,40722,732,671,0.52174
8484768,29,25407,388,423,0.47842
8484779,6,3572,46,54,0.46
8484783,52,51590,734,927,0.4419
8484793,7,3871,45,54,0.45455
8484794,10,6905,122,104,0.53982
8484797,4,2515,35,38,0.47945
8484798,49,46791,678,766,0.46953
8484800,36,26464,429,393,0.5219
8484801,118,111830,1772,1788,0.49775
8484806,45,42119,619,685,0.47469
8484821,1,650,10,6,0.625
8484829,55,35791,496,476,0.51029
8484839,5,4199,64,59,0.52033
8484860,29,22322,355,396,0.4727
8484873,14,12201,200,190,0.51282
